,PlayerName,Age,Birthdate,Nationality,Position,Club,TShirtNumber,Value,Captain
0,Cican Stankovic,27 Years,"Nov 4, 1992 ",Austria,Goalkeeper,Red Bull Salzburg,1,€3.50m,-
1,Alexander Walke,36 Years,"Jun 6, 1983 ",Germany,Goalkeeper,Red Bull Salzburg,33,€750k,-
2,Carlos Miguel Coronel,23 Years,"Dec 29, 1996 ",Brazil,Goalkeeper,Red Bull Salzburg,31,€500k,-
3,Philipp Köhn,22 Years,"Apr 2, 1998 ",Switzerland,Goalkeeper,Red Bull Salzburg,23,€300k,-
4,Maximilian Wöber,22 Years,"Feb 4, 1998 ",Austria,Defender,Red Bull Salzburg,39,€10.00m,-
5,Jérôme Onguéné,22 Years,"Dec 22, 1997 ",Cameroon,Defender,Red Bull Salzburg,6,€5.00m,-
6,André Ramalho,28 Years,"Feb 16, 1992 ",Brazil,Defender,Red Bull Salzburg,15,€3.00m,-
7,Albert Vallci,24 Years,"Jul 2, 1995 ",Austria,Defender,Red Bull Salzburg,5,€2.00m,-
8,Andreas Ulmer,34 Years,"Oct 30, 1985 ",Austria,Defender,Red Bull Salzburg,17,€1.00m,Team captain
9,Rasmus Kristensen,22 Years,"Jul 11, 1997 ",Denmark,Defender,Red Bull Salzburg,43,€4.00m,-
10,Patrick Farkas,27 Years,"Sep 9, 1992 ",Austria,Defender,Red Bull Salzburg,25,€1.50m,-
11,Antoine Bernede,20 Years,"May 26, 1999 ",France,Midfielder,Red Bull Salzburg,28,€6.00m,-
12,Enock Mwepu,22 Years,"Jan 1, 1998 ",Zambia,Midfielder,Red Bull Salzburg,45,€6.00m,-
13,Zlatko Junuzovic,32 Years,"Sep 26, 1987 ",Austria,Midfielder,Red Bull Salzburg,16,€4.00m,-
14,Majeed Ashimeru,22 Years,"Oct 10, 1997 ",Ghana,Midfielder,Red Bull Salzburg,4,€3.00m,-
15,Mohamed Camara,20 Years,"Jan 6, 2000 ",Mali,Midfielder,Red Bull Salzburg,19,€1.50m,-
16,Youba Diarra,22 Years,"Mar 24, 1998 ",Mali,Midfielder,Red Bull Salzburg,44,€750k,-
17,Dominik Szoboszlai,19 Years,"Oct 25, 2000 ",Hungary,Midfielder,Red Bull Salzburg,14,€15.00m,-
18,Masaya Okugawa,23 Years,"Apr 14, 1996 ",Japan,Midfielder,Red Bull Salzburg,37,€3.00m,-
19,Noah Okafor,19 Years,"May 24, 2000 ",Switzerland,Forward,Red Bull Salzburg,77,€8.00m,-
