,Name,URL,Age,Rank
0,Novak Djokovic,/en/players/novak-djokovic/d643/overview,32,1
1,Rafael Nadal,/en/players/rafael-nadal/n409/overview,33,2
2,Dominic Thiem,/en/players/dominic-thiem/tb69/overview,26,3
3,Roger Federer,/en/players/roger-federer/f324/overview,38,4
4,Daniil Medvedev,/en/players/daniil-medvedev/mm58/overview,24,5
5,Stefanos Tsitsipas,/en/players/stefanos-tsitsipas/te51/overview,21,6
6,Alexander Zverev,/en/players/alexander-zverev/z355/overview,22,7
7,Matteo Berrettini,/en/players/matteo-berrettini/bk40/overview,23,8
8,Gael Monfils,/en/players/gael-monfils/mc65/overview,33,9
9,David Goffin,/en/players/david-goffin/gb88/overview,29,10
10,Fabio Fognini,/en/players/fabio-fognini/f510/overview,32,11
11,Roberto Bautista Agut,/en/players/roberto-bautista-agut/bd06/overview,31,12
12,Diego Schwartzman,/en/players/diego-schwartzman/sm37/overview,27,13
13,Andrey Rublev,/en/players/andrey-rublev/re44/overview,22,14
14,Karen Khachanov,/en/players/karen-khachanov/ke29/overview,23,15
15,Denis Shapovalov,/en/players/denis-shapovalov/su55/overview,20,16
16,Stan Wawrinka,/en/players/stan-wawrinka/w367/overview,34,17
17,Cristian Garin,/en/players/cristian-garin/gd64/overview,23,18
18,Grigor Dimitrov,/en/players/grigor-dimitrov/d875/overview,28,19
19,Felix Auger-Aliassime,/en/players/felix-auger-aliassime/ag37/overview,19,20
20,John Isner,/en/players/john-isner/i186/overview,34,21
21,Benoit Paire,/en/players/benoit-paire/pd31/overview,30,22
22,Dusan Lajovic,/en/players/dusan-lajovic/l987/overview,29,23
23,Taylor Fritz,/en/players/taylor-fritz/fb98/overview,22,24
24,Pablo Carreno Busta,/en/players/pablo-carreno-busta/cd85/overview,28,25
25,Alex de Minaur,/en/players/alex-de-minaur/dh58/overview,21,26
26,Nikoloz Basilashvili,/en/players/nikoloz-basilashvili/bg23/overview,28,27
27,Daniel Evans,/en/players/daniel-evans/e687/overview,29,28
28,Hubert Hurkacz,/en/players/hubert-hurkacz/hb71/overview,23,29
29,Milos Raonic,/en/players/milos-raonic/r975/overview,29,30
30,Kei Nishikori,/en/players/kei-nishikori/n552/overview,30,31
31,Filip Krajinovic,/en/players/filip-krajinovic/kb05/overview,28,32
32,Borna Coric,/en/players/borna-coric/cg80/overview,23,33
