,ManagerName,Nationality,WorkedInClub,Country,FromDate,ToDate,Position
0,Juan Muñiz,-,Málaga CF,Spain,"18/19 (Jul 1, 2018)","18/19 (Apr 14, 2019)",Manager
1,Juan Muñiz,-,Levante UD,Spain,"16/17 (Jul 1, 2016)","17/18 (Mar 4, 2018)",Manager
2,Juan Muñiz,-,AD Alcorcón,Spain,"15/16 (Jul 1, 2015)","15/16 (Jun 30, 2016)",Manager
3,Juan Muñiz,-,Dnipro Dnipropetrovsk,Ukraine,"10/11 (Oct 3, 2010)","13/14 (May 25, 2014)",Assistant Manager
4,Juan Muñiz,-,Málaga CF,Spain,"08/09 (Jun 13, 2009)","09/10 (Jun 16, 2010)",Manager
5,Juan Muñiz,-,Racing Santander,Spain,"07/08 (Jun 19, 2008)","08/09 (Jun 13, 2009)",Manager
6,Juan Muñiz,-,Málaga CF,Spain,"06/07 (Nov 1, 2006)","07/08 (Jun 19, 2008)",Manager
7,Juan Muñiz,-,CA Marbella,Spain,"05/06 (Apr 7, 2006)","06/07 (Nov 1, 2006)",Manager
8,Manolo Jiménez,-,Al-Wahda FC Abu Dhabi,United Arab Emirates,"19/20 (Oct 17, 2019)",expected 30.06.2020,Manager
9,Manolo Jiménez,-,AEK Athens,Greece,"18/19 (Feb 6, 2019)","18/19 (May 27, 2019)",Manager
10,Manolo Jiménez,-,UD Las Palmas,Spain,"18/19 (Jul 1, 2018)","18/19 (Nov 16, 2018)",Manager
11,Manolo Jiménez,-,AEK Athens,Greece,"16/17 (Jan 19, 2017)","17/18 (Jun 30, 2018)",Manager
12,Manolo Jiménez,-,Al Rayyan Sports Club,Qatar,"13/14 (Nov 4, 2013)","13/14 (Jun 30, 2014)",Manager
13,Manolo Jiménez,-,Real Zaragoza,Spain,"11/12 (Jan 1, 2012)","12/13 (Jun 10, 2013)",Manager
14,Manolo Jiménez,-,AEK Athens,Greece,"10/11 (Oct 7, 2010)","11/12 (Oct 5, 2011)",Manager
15,Manolo Jiménez,-,Sevilla FC,Spain,"07/08 (Oct 27, 2007)","09/10 (Mar 23, 2010)",Manager
16,Manolo Jiménez,-,Sevilla FC B,Spain,"00/01 (Jul 1, 2000)","07/08 (Oct 26, 2007)",Manager
17,José Antonio Gordillo,-,Gimnàstic de Tarragona,Spain,"17/18 (May 14, 2018)","18/19 (Oct 22, 2018)",Manager
18,Joseba Etxeberria,-,Bilbao Athletic,Spain,"18/19 (Jul 1, 2019)",expected 30.06.2021,Manager
19,Joseba Etxeberria,-,CD Tenerife,Spain,"17/18 (Feb 5, 2018)","18/19 (Sep 17, 2018)",Manager
20,Joseba Etxeberria,-,SD Amorebieta,Spain,"17/18 (Jul 1, 2017)","17/18 (Feb 5, 2018)",Manager
21,Joseba Etxeberria,-,CD Basconia,Spain,"16/17 (Jul 1, 2016)","16/17 (Jun 30, 2017)",Manager
22,Joseba Etxeberria,-,Athletic Bilbao,Spain,"15/16 (Jul 1, 2015)","15/16 (Jun 30, 2016)",Assistant Manager
23,Joseba Etxeberria,-,Athletic Bilbao UEFA U19,Spain,"14/15 (Jul 1, 2014)","14/15 (Jun 30, 2015)",Manager
24,Joseba Etxeberria,-,Athletic Bilbao U19,Spain,"14/15 (Jul 1, 2014)","14/15 (Jun 30, 2015)",Manager
25,Imanol Idiákez,-,AEK Larnaca,Cyprus,"18/19 (Jan 15, 2019)","19/20 (Dec 9, 2019)",Manager
26,Imanol Idiákez,-,Real Zaragoza,Spain,"18/19 (Jul 1, 2018)","18/19 (Oct 22, 2018)",Manager
27,Imanol Idiákez,-,AEK Larnaca,Cyprus,"15/16 (Jun 1, 2016)","17/18 (May 31, 2018)",Manager
28,Imanol Idiákez,-,Lleida Esportiu,Spain,"14/15 (Jul 1, 2014)","15/16 (May 31, 2016)",Manager
29,Imanol Idiákez,-,CD Toledo,Spain,"13/14 (Jul 3, 2013)","13/14 (Jun 30, 2014)",Manager
30,Imanol Idiákez,-,Real Unión Club,Spain,"11/12 (Jun 7, 2012)","13/14 (Jul 1, 2013)",Manager
31,Imanol Idiákez,-,CD Guijuelo,Spain,"10/11 (Jun 15, 2011)","11/12 (Jun 7, 2012)",Manager
32,Imanol Idiákez,-,Club Polideportivo Ejido,Spain,"10/11 (Apr 25, 2011)","10/11 (Jun 15, 2011)",Manager
33,Imanol Idiákez,-,Real Sociedad B,Spain,"08/09 (Jul 1, 2008)","09/10 (Jun 30, 2010)",Manager
34,Aritz López Garai,-,CD Tenerife,Spain,"19/20 (Jul 1, 2019)","19/20 (Nov 18, 2019)",Manager
35,Aritz López Garai,-,CD Numancia,Spain,"18/19 (Jul 1, 2018)","18/19 (Jun 30, 2019)",Manager
36,Aritz López Garai,-,CF Reus Deportiu,Spain,"17/18 (Jul 1, 2017)","17/18 (Jun 30, 2018)",Manager
37,Javi López,-,CD Lugo,Spain,"18/19 (Jul 1, 2018)","18/19 (Oct 28, 2018)",Manager
38,Javi López,-,Celta Vigo B,Spain,"14/15 (Nov 12, 2014)","14/15 (Mar 16, 2015)",Manager
39,Javi López,-,Girona FC,Spain,"13/14 (Dec 19, 2013)","13/14 (Mar 9, 2014)",Manager
40,Javi López,-,FC Cartagena,Spain,"11/12 (Sep 20, 2011)","11/12 (Dec 22, 2011)",Manager
