,ManagerName,Nationality,WorkedInClub,CountryClub,FromDate,ToDate,Position
,,,,,,,
0,Jesse Marsch,United States,Red Bull Salzburg,Austria,"19/20 (Jul 1, 2019)",expected 30.06.2022,Manager
,,,,,,,
1,Jesse Marsch,United States,RB Leipzig,Germany,"18/19 (Jul 9, 2018)","18/19 (Jun 30, 2019)",Assistant Manager
,,,,,,,
2,Jesse Marsch,United States,New York Red Bulls,United States,"14/15 (Jan 7, 2015)","18/19 (Jul 6, 2018)",Manager
,,,,,,,
3,Jesse Marsch,United States,Princeton Tigers (Princeton University),United States,"13/14 (Aug 12, 2013)","14/15 (Dec 31, 2014)",Assistant Manager
,,,,,,,
4,Jesse Marsch,United States,Montreal Impact,Canada,"11/12 (Aug 11, 2011)","12/13 (Nov 3, 2012)",Manager
,,,,,,,
5,Jesse Marsch,United States,United States,USA,"09/10 (Feb 5, 2010)","11/12 (Jul 31, 2011)",Assistant Manager
,,,,,,,
6,Dietmar Kühbauer,Austria,Rapid Vienna,Austria,"18/19 (Oct 1, 2018)",expected 30.06.2021,Manager
,,,,,,,
7,Dietmar Kühbauer,Austria,SKN St. Pölten,Austria,"17/18 (Apr 1, 2018)","18/19 (Oct 1, 2018)",Manager
,,,,,,,
8,Dietmar Kühbauer,Austria,Wolfsberger AC,Austria,"13/14 (Sep 2, 2013)","15/16 (Nov 25, 2015)",Manager
,,,,,,,
9,Dietmar Kühbauer,Austria,FC Admira Wacker Mödling,Austria,"09/10 (Apr 26, 2010)","12/13 (Jun 11, 2013)",Manager
,,,,,,,
10,Dietmar Kühbauer,Austria,FC Admira Wacker Mödling II,Austria,"08/09 (Dec 1, 2008)","09/10 (Apr 26, 2010)",Manager
,,,,,,,
11,Valérien Ismaël,France,LASK,Austria,"19/20 (Jul 1, 2019)",expected -,Sporting Director
,,,,,,,
12,Valérien Ismaël,France,LASK,Austria,"19/20 (Jul 1, 2019)",expected 30.06.2022,Manager
,,,,,,,
13,Valérien Ismaël,France,Apollon Smyrnis,Greece,"18/19 (Jul 1, 2018)","18/19 (Aug 31, 2018)",Manager
,,,,,,,
14,Valérien Ismaël,France,VfL Wolfsburg,Germany,"16/17 (Nov 6, 2016)","16/17 (Feb 26, 2017)",Manager
,,,,,,,
15,Valérien Ismaël,France,VfL Wolfsburg,Germany,"16/17 (Oct 17, 2016)","16/17 (Nov 5, 2016)",Caretaker Manager
,,,,,,,
16,Valérien Ismaël,France,VfL Wolfsburg II,Germany,"15/16 (Jul 1, 2015)","16/17 (Oct 16, 2016)",Manager
,,,,,,,
17,Valérien Ismaël,France,1.FC Nuremberg,Germany,"14/15 (Jul 1, 2014)","14/15 (Nov 10, 2014)",Manager
,,,,,,,
18,Valérien Ismaël,France,VfL Wolfsburg II,Germany,"13/14 (Jul 1, 2013)","13/14 (Jun 30, 2014)",Manager
,,,,,,,
19,Valérien Ismaël,France,Hannover 96 II,Germany,"11/12 (Nov 27, 2011)","12/13 (Jun 30, 2013)",Manager
,,,,,,,
20,Valérien Ismaël,France,Hannover 96,Germany,"09/10 (Oct 1, 2009)","11/12 (Nov 26, 2011)",Executive Assistant
,,,,,,,
21,Nestor El Maestro,Serbia,SK Sturm Graz,Austria,"19/20 (Jul 1, 2019)",expected 30.06.2021,Manager
,,,,,,,
22,Nestor El Maestro,Serbia,CSKA Sofia,Bulgaria,"18/19 (Jul 1, 2018)","18/19 (Feb 8, 2019)",Manager
,,,,,,,
23,Nestor El Maestro,Serbia,Spartak Trnava,Slovakia,"17/18 (Jul 1, 2017)","17/18 (Jun 30, 2018)",Manager
,,,,,,,
24,Nestor El Maestro,Serbia,Austria Vienna,Austria,"16/17 (Sep 5, 2016)","16/17 (Jun 30, 2017)",Assistant Manager
,,,,,,,
25,Nestor El Maestro,Serbia,Hamburger SV,Germany,"13/14 (Feb 17, 2014)","14/15 (Sep 16, 2014)",Assistant Manager
,,,,,,,
26,Nestor El Maestro,Serbia,Hannover 96,Germany,"09/10 (Jan 19, 2010)","13/14 (Dec 27, 2013)",Assistant Manager
,,,,,,,
27,Nestor El Maestro,Serbia,FC Schalke 04,Germany,"06/07 (Jul 1, 2006)","07/08 (Apr 13, 2008)",Assistant Manager
,,,,,,,
28,Nestor El Maestro,Serbia,Valencia CF,Spain,"04/05 (Jul 1, 2004)","05/06 (Jun 30, 2006)",Youth Coach
,,,,,,,
29,Nestor El Maestro,Serbia,Austria Vienna,Austria,"02/03 (Jul 1, 2002)","03/04 (Jun 30, 2004)",Youth Coach
,,,,,,,
30,Christian Ilzer,Austria,Austria Vienna,Austria,"19/20 (Jul 1, 2019)",expected 30.06.2022,Manager
,,,,,,,
31,Christian Ilzer,Austria,Wolfsberger AC,Austria,"18/19 (Jun 1, 2018)","18/19 (Jun 30, 2019)",Manager
,,,,,,,
32,Christian Ilzer,Austria,TSV Hartberg,Austria,"17/18 (Jul 1, 2017)","17/18 (May 31, 2018)",Manager
,,,,,,,
33,Christian Ilzer,Austria,Wolfsberger AC,Austria,"15/16 (Nov 25, 2015)","16/17 (May 31, 2017)",Assistant Manager
,,,,,,,
34,Christian Ilzer,Austria,TSV Hartberg,Austria,"15/16 (Jun 5, 2015)","15/16 (Nov 25, 2015)",Manager
,,,,,,,
35,Christian Ilzer,Austria,SC Wiener Neustadt,Austria,"14/15 (Nov 12, 2014)","14/15 (Nov 23, 2014)",Caretaker Manager
,,,,,,,
36,Christian Ilzer,Austria,SC Wiener Neustadt,Austria,"13/14 (Jun 1, 2014)","14/15 (Jun 4, 2015)",Assistant Manager
,,,,,,,
37,Christian Ilzer,Austria,TSV Hartberg,Austria,"12/13 (Jun 8, 2013)","13/14 (May 31, 2014)",Assistant Manager
,,,,,,,
38,Christian Ilzer,Austria,SC Weiz,Austria,"12/13 (Jul 1, 2012)","12/13 (Jun 8, 2013)",Manager
,,,,,,,
39,Christian Ilzer,Austria,Austria U19,Austria U19,"11/12 (Sep 1, 2011)","13/14 (Jul 1, 2013)",Fitness Coach
,,,,,,,
40,Christian Ilzer,Austria,TSV Hartberg,Austria,"07/08 (Jul 1, 2007)","10/11 (Jun 30, 2011)",Assistant Manager
,,,,,,,
41,Christian Ilzer,Austria,USK Puch bei Weiz,Austria,"06/07 (Jul 1, 2006)","07/08 (Jun 30, 2008)",Player-Coach
,,,,,,,
42,Ferdinand Feldhofer,Austria,Wolfsberger AC,Austria,"19/20 (Dec 23, 2019)",expected 30.06.2021,Manager
,,,,,,,
43,Ferdinand Feldhofer,Austria,SV Lafnitz,Austria,"15/16 (Oct 10, 2015)","19/20 (Dec 23, 2019)",Manager
,,,,,,,
44,Zvonimir Soldo,Bosnia-Herzegovina,FC Admira Wacker Mödling,Austria,"19/20 (Feb 25, 2020)",expected -,Manager
,,,,,,,
45,Zvonimir Soldo,Bosnia-Herzegovina,Shandong Luneng Taishan,China,"16/17 (Feb 6, 2017)","17/18 (Dec 1, 2017)",Assistant Manager
,,,,,,,
46,Zvonimir Soldo,Bosnia-Herzegovina,1. FC Köln,Germany,"09/10 (Jul 1, 2009)","10/11 (Oct 24, 2010)",Manager
,,,,,,,
47,Zvonimir Soldo,Bosnia-Herzegovina,GNK Dinamo Zagreb,Croatia,"07/08 (Jan 15, 2008)","07/08 (Jun 30, 2008)",Manager
,,,,,,,
48,Zvonimir Soldo,Bosnia-Herzegovina,GNK Dinamo Zagreb U19,Croatia,"07/08 (Jul 1, 2007)","07/08 (Jan 14, 2008)",Manager
,,,,,,,
49,Robert Ibertsberger,Austria,SKN St. Pölten,Austria,"19/20 (Mar 9, 2020)",expected 30.06.2020,Manager
,,,,,,,
50,Robert Ibertsberger,Austria,Austria Vienna,Austria,"18/19 (Mar 11, 2019)","18/19 (Jun 30, 2019)",Caretaker Manager
,,,,,,,
51,Robert Ibertsberger,Austria,Austria Vienna,Austria,"18/19 (Jun 6, 2018)","18/19 (Mar 11, 2019)",Assistant Manager
,,,,,,,
52,Robert Ibertsberger,Austria,Wolfsberger AC,Austria,"17/18 (Mar 18, 2018)","17/18 (May 31, 2018)",Caretaker Manager
,,,,,,,
53,Robert Ibertsberger,Austria,Wolfsberger AC,Austria,"17/18 (Jun 1, 2017)","17/18 (Mar 17, 2018)",Assistant Manager
,,,,,,,
54,Robert Ibertsberger,Austria,SV Ried,Austria,"12/13 (Jan 29, 2013)","12/13 (May 31, 2013)",Individual Coach
,,,,,,,
55,Robert Ibertsberger,Austria,AKA OÖ West U18,Austria,"10/11 (Jul 1, 2010)","10/11 (Jun 30, 2011)",Manager
,,,,,,,
56,Robert Ibertsberger,Austria,AKA OÖ West U18,Austria,"10/11 (Jul 1, 2010)","16/17 (May 31, 2017)",Director of Football
,,,,,,,
