,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,NK Zagreb,NK Lokomotiva Zagreb,0,2,AwayTeam,1.Matchday,"Jul 20, 2012"
1,RNK Split,HNK Rijeka,2,0,HomeTeam,1.Matchday,"Jul 20, 2012"
2,GNK Dinamo Zagreb,NK Inter Zapresic,1,1,Draw,1.Matchday,"Jul 21, 2012"
3,HNK Cibalia Vinkovci,Slaven Belupo Koprivnica,0,3,AwayTeam,1.Matchday,"Jul 22, 2012"
4,NK Zadar,NK Osijek,0,0,Draw,1.Matchday,"Jul 22, 2012"
5,NK Istra 1961,HNK Hajduk Split,0,0,Draw,1.Matchday,"Jul 22, 2012"
6,NK Inter Zapresic,NK Lokomotiva Zagreb,0,1,AwayTeam,2.Matchday,"Jul 27, 2012"
7,HNK Rijeka,NK Zadar,0,0,Draw,2.Matchday,"Jul 27, 2012"
8,GNK Dinamo Zagreb,HNK Cibalia Vinkovci,2,1,HomeTeam,2.Matchday,"Jul 28, 2012"
9,Slaven Belupo Koprivnica,NK Istra 1961,3,1,HomeTeam,2.Matchday,"Jul 29, 2012"
10,NK Osijek,NK Zagreb,1,0,HomeTeam,2.Matchday,"Jul 29, 2012"
11,HNK Hajduk Split,RNK Split,1,0,HomeTeam,2.Matchday,"Jul 29, 2012"
12,NK Zagreb,HNK Rijeka,0,1,AwayTeam,3.Matchday,"Aug 3, 2012"
13,NK Lokomotiva Zagreb,NK Osijek,0,0,Draw,3.Matchday,"Aug 3, 2012"
14,HNK Cibalia Vinkovci,NK Inter Zapresic,1,1,Draw,3.Matchday,"Aug 4, 2012"
15,NK Istra 1961,GNK Dinamo Zagreb,0,1,AwayTeam,3.Matchday,"Aug 4, 2012"
16,NK Zadar,HNK Hajduk Split,2,4,AwayTeam,3.Matchday,"Aug 5, 2012"
17,RNK Split,Slaven Belupo Koprivnica,2,0,HomeTeam,3.Matchday,"Aug 5, 2012"
18,NK Inter Zapresic,NK Osijek,0,3,AwayTeam,4.Matchday,"Aug 10, 2012"
19,HNK Cibalia Vinkovci,NK Istra 1961,0,1,AwayTeam,4.Matchday,"Aug 11, 2012"
20,HNK Rijeka,NK Lokomotiva Zagreb,2,2,Draw,4.Matchday,"Aug 11, 2012"
21,HNK Hajduk Split,NK Zagreb,5,1,HomeTeam,4.Matchday,"Aug 12, 2012"
22,Slaven Belupo Koprivnica,NK Zadar,2,0,HomeTeam,4.Matchday,"Aug 12, 2012"
23,GNK Dinamo Zagreb,RNK Split,4,2,HomeTeam,4.Matchday,"Aug 12, 2012"
24,NK Zagreb,Slaven Belupo Koprivnica,1,2,AwayTeam,5.Matchday,"Aug 17, 2012"
25,NK Osijek,HNK Rijeka,1,1,Draw,5.Matchday,"Aug 18, 2012"
26,NK Istra 1961,NK Inter Zapresic,3,1,HomeTeam,5.Matchday,"Aug 18, 2012"
27,RNK Split,HNK Cibalia Vinkovci,3,1,HomeTeam,5.Matchday,"Aug 18, 2012"
28,NK Zadar,GNK Dinamo Zagreb,1,3,AwayTeam,5.Matchday,"Aug 18, 2012"
29,NK Lokomotiva Zagreb,HNK Hajduk Split,2,0,HomeTeam,5.Matchday,"Aug 19, 2012"
30,NK Inter Zapresic,HNK Rijeka,2,0,HomeTeam,6.Matchday,"Aug 24, 2012"
31,Slaven Belupo Koprivnica,NK Lokomotiva Zagreb,3,2,HomeTeam,6.Matchday,"Aug 24, 2012"
32,NK Istra 1961,RNK Split,1,0,HomeTeam,6.Matchday,"Aug 25, 2012"
33,HNK Cibalia Vinkovci,NK Zadar,0,0,Draw,6.Matchday,"Aug 25, 2012"
34,GNK Dinamo Zagreb,NK Zagreb,6,0,HomeTeam,6.Matchday,"Aug 25, 2012"
35,HNK Hajduk Split,NK Osijek,1,1,Draw,6.Matchday,"Aug 26, 2012"
36,NK Zagreb,HNK Cibalia Vinkovci,0,1,AwayTeam,7.Matchday,"Aug 31, 2012"
37,NK Lokomotiva Zagreb,GNK Dinamo Zagreb,1,3,AwayTeam,7.Matchday,"Sep 1, 2012"
38,NK Zadar,NK Istra 1961,1,1,Draw,7.Matchday,"Sep 1, 2012"
39,RNK Split,NK Inter Zapresic,1,0,HomeTeam,7.Matchday,"Sep 1, 2012"
40,HNK Rijeka,HNK Hajduk Split,1,0,HomeTeam,7.Matchday,"Sep 1, 2012"
41,NK Osijek,Slaven Belupo Koprivnica,1,2,AwayTeam,7.Matchday,"Sep 2, 2012"
42,GNK Dinamo Zagreb,NK Osijek,0,0,Draw,8.Matchday,"Sep 14, 2012"
43,NK Inter Zapresic,HNK Hajduk Split,1,1,Draw,8.Matchday,"Sep 15, 2012"
44,RNK Split,NK Zadar,3,1,HomeTeam,8.Matchday,"Sep 15, 2012"
45,NK Istra 1961,NK Zagreb,0,0,Draw,8.Matchday,"Sep 15, 2012"
46,HNK Cibalia Vinkovci,NK Lokomotiva Zagreb,3,2,HomeTeam,8.Matchday,"Sep 15, 2012"
47,Slaven Belupo Koprivnica,HNK Rijeka,1,3,AwayTeam,8.Matchday,"Sep 16, 2012"
48,NK Zagreb,RNK Split,2,1,HomeTeam,9.Matchday,"Sep 21, 2012"
49,NK Lokomotiva Zagreb,NK Istra 1961,1,0,HomeTeam,9.Matchday,"Sep 21, 2012"
50,NK Osijek,HNK Cibalia Vinkovci,1,0,HomeTeam,9.Matchday,"Sep 22, 2012"
51,NK Zadar,NK Inter Zapresic,1,5,AwayTeam,9.Matchday,"Sep 22, 2012"
52,HNK Rijeka,GNK Dinamo Zagreb,3,0,HomeTeam,9.Matchday,"Sep 22, 2012"
53,HNK Hajduk Split,Slaven Belupo Koprivnica,3,1,HomeTeam,9.Matchday,"Sep 23, 2012"
54,HNK Cibalia Vinkovci,HNK Rijeka,4,1,HomeTeam,10.Matchday,"Sep 29, 2012"
55,GNK Dinamo Zagreb,HNK Hajduk Split,3,1,HomeTeam,10.Matchday,"Sep 29, 2012"
56,NK Istra 1961,NK Osijek,1,3,AwayTeam,10.Matchday,"Sep 29, 2012"
57,NK Inter Zapresic,Slaven Belupo Koprivnica,2,2,Draw,10.Matchday,"Sep 29, 2012"
58,NK Zadar,NK Zagreb,4,0,HomeTeam,10.Matchday,"Sep 29, 2012"
59,RNK Split,NK Lokomotiva Zagreb,1,1,Draw,10.Matchday,"Sep 30, 2012"
60,NK Lokomotiva Zagreb,NK Zadar,2,1,HomeTeam,11.Matchday,"Oct 5, 2012"
61,NK Zagreb,NK Inter Zapresic,1,1,Draw,11.Matchday,"Oct 5, 2012"
62,HNK Hajduk Split,HNK Cibalia Vinkovci,4,0,HomeTeam,11.Matchday,"Oct 5, 2012"
63,NK Osijek,RNK Split,2,2,Draw,11.Matchday,"Oct 6, 2012"
64,HNK Rijeka,NK Istra 1961,2,1,HomeTeam,11.Matchday,"Oct 6, 2012"
65,Slaven Belupo Koprivnica,GNK Dinamo Zagreb,1,4,AwayTeam,11.Matchday,"Oct 7, 2012"
66,NK Lokomotiva Zagreb,NK Zagreb,1,1,Draw,12.Matchday,"Oct 19, 2012"
67,NK Inter Zapresic,GNK Dinamo Zagreb,0,2,AwayTeam,12.Matchday,"Oct 20, 2012"
68,Slaven Belupo Koprivnica,HNK Cibalia Vinkovci,2,1,HomeTeam,12.Matchday,"Oct 20, 2012"
