,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,GAIS Göteborg,BK Häcken,0,0,Draw,1.Matchday,"Mar 31, 2012"
1,GIF Sundsvall,Kalmar FF,0,1,AwayTeam,1.Matchday,"Mar 31, 2012"
2,IF Elfsborg,Djurgardens IF,2,1,HomeTeam,1.Matchday,"Mar 31, 2012"
3,AIK,Mjällby AIF,0,0,Draw,1.Matchday,"Apr 1, 2012"
4,Syrianska FC,IFK Göteborg,2,1,HomeTeam,1.Matchday,"Apr 1, 2012"
5,Malmö FF,Gefle IF,0,0,Draw,1.Matchday,"Apr 2, 2012"
6,Örebro SK,Atvidabergs FF,3,4,AwayTeam,1.Matchday,"Apr 2, 2012"
7,IFK Norrköping,Helsingborgs IF,1,0,HomeTeam,1.Matchday,"Apr 2, 2012"
8,Atvidabergs FF,GAIS Göteborg,2,1,HomeTeam,2.Matchday,"Apr 6, 2012"
9,Gefle IF,Syrianska FC,1,1,Draw,2.Matchday,"Apr 6, 2012"
10,BK Häcken,Malmö FF,5,0,HomeTeam,2.Matchday,"Apr 7, 2012"
11,Mjällby AIF,Örebro SK,0,0,Draw,2.Matchday,"Apr 7, 2012"
12,Djurgardens IF,GIF Sundsvall,1,0,HomeTeam,2.Matchday,"Apr 8, 2012"
13,Helsingborgs IF,IF Elfsborg,2,1,HomeTeam,2.Matchday,"Apr 8, 2012"
14,IFK Göteborg,IFK Norrköping,1,2,AwayTeam,2.Matchday,"Apr 9, 2012"
15,Kalmar FF,AIK,1,2,AwayTeam,2.Matchday,"Apr 9, 2012"
16,Atvidabergs FF,Gefle IF,6,1,HomeTeam,3.Matchday,"Apr 10, 2012"
17,Örebro SK,Helsingborgs IF,0,0,Draw,3.Matchday,"Apr 11, 2012"
18,GAIS Göteborg,Djurgardens IF,0,0,Draw,3.Matchday,"Apr 11, 2012"
19,BK Häcken,Mjällby AIF,4,2,HomeTeam,3.Matchday,"Apr 12, 2012"
20,GIF Sundsvall,Syrianska FC,4,0,HomeTeam,3.Matchday,"Apr 12, 2012"
21,IF Elfsborg,IFK Norrköping,2,0,HomeTeam,3.Matchday,"Apr 12, 2012"
22,AIK,IFK Göteborg,1,1,Draw,3.Matchday,"Apr 12, 2012"
23,Malmö FF,Kalmar FF,2,0,HomeTeam,3.Matchday,"Apr 13, 2012"
24,Syrianska FC,AIK,0,1,AwayTeam,4.Matchday,"Apr 15, 2012"
25,Mjällby AIF,Atvidabergs FF,2,0,HomeTeam,4.Matchday,"Apr 15, 2012"
26,IFK Göteborg,Örebro SK,2,2,Draw,4.Matchday,"Apr 15, 2012"
27,Gefle IF,IF Elfsborg,1,2,AwayTeam,4.Matchday,"Apr 16, 2012"
28,Kalmar FF,BK Häcken,3,1,HomeTeam,4.Matchday,"Apr 16, 2012"
29,IFK Norrköping,GIF Sundsvall,2,2,Draw,4.Matchday,"Apr 16, 2012"
30,Helsingborgs IF,GAIS Göteborg,1,1,Draw,4.Matchday,"Apr 16, 2012"
31,Djurgardens IF,Malmö FF,2,3,AwayTeam,4.Matchday,"Apr 16, 2012"
32,Mjällby AIF,Djurgardens IF,4,3,HomeTeam,5.Matchday,"Apr 20, 2012"
33,Atvidabergs FF,Helsingborgs IF,1,2,AwayTeam,5.Matchday,"Apr 21, 2012"
34,Kalmar FF,Gefle IF,0,1,AwayTeam,5.Matchday,"Apr 21, 2012"
35,GAIS Göteborg,IFK Norrköping,2,0,HomeTeam,5.Matchday,"Apr 22, 2012"
36,AIK,GIF Sundsvall,1,1,Draw,5.Matchday,"Apr 22, 2012"
37,Malmö FF,Syrianska FC,2,0,HomeTeam,5.Matchday,"Apr 23, 2012"
38,BK Häcken,IFK Göteborg,1,2,AwayTeam,5.Matchday,"Apr 23, 2012"
39,Örebro SK,IF Elfsborg,0,2,AwayTeam,5.Matchday,"Apr 23, 2012"
40,Gefle IF,AIK,0,1,AwayTeam,6.Matchday,"Apr 26, 2012"
41,IF Elfsborg,GAIS Göteborg,2,1,HomeTeam,6.Matchday,"Apr 26, 2012"
42,Helsingborgs IF,Mjällby AIF,1,1,Draw,6.Matchday,"Apr 27, 2012"
43,Syrianska FC,BK Häcken,1,2,AwayTeam,6.Matchday,"Apr 28, 2012"
44,IFK Göteborg,Atvidabergs FF,2,1,HomeTeam,6.Matchday,"Apr 28, 2012"
45,Djurgardens IF,Kalmar FF,1,1,Draw,6.Matchday,"Apr 29, 2012"
