,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,FC Ararat Yerevan,FC Kilikia Erewan,5,0,HomeTeam,1.Matchday,"Apr 6, 2008"
1,FC Pyunik Erewan,FC Ulisses Yerevan,1,0,HomeTeam,1.Matchday,"Apr 6, 2008"
2,Gandzasar Kapan,FC Banants Yerevan,0,0,Draw,1.Matchday,"Apr 6, 2008"
3,MIKA Aschtarak,FC Shirak Gyumri,3,1,HomeTeam,1.Matchday,"Apr 6, 2008"
4,FC Ulisses Yerevan,FC Ararat Yerevan,0,2,AwayTeam,2.Matchday,"Apr 19, 2008"
5,FC Banants Yerevan,FC Pyunik Erewan,0,1,AwayTeam,2.Matchday,"Apr 19, 2008"
6,FC Shirak Gyumri,Gandzasar Kapan,2,1,HomeTeam,2.Matchday,"Apr 19, 2008"
7,FC Kilikia Erewan,MIKA Aschtarak,0,3,AwayTeam,2.Matchday,"Apr 19, 2008"
8,FC Ararat Yerevan,FC Banants Yerevan,1,0,HomeTeam,3.Matchday,"Apr 27, 2008"
9,FC Ulisses Yerevan,FC Kilikia Erewan,3,0,HomeTeam,3.Matchday,"Apr 27, 2008"
10,FC Pyunik Erewan,FC Shirak Gyumri,0,2,AwayTeam,3.Matchday,"Apr 27, 2008"
11,Gandzasar Kapan,MIKA Aschtarak,1,3,AwayTeam,3.Matchday,"Apr 27, 2008"
12,FC Banants Yerevan,FC Ulisses Yerevan,1,0,HomeTeam,4.Matchday,"May 4, 2008"
13,FC Shirak Gyumri,FC Ararat Yerevan,0,2,AwayTeam,4.Matchday,"May 4, 2008"
14,FC Kilikia Erewan,Gandzasar Kapan,1,2,AwayTeam,4.Matchday,"May 4, 2008"
15,MIKA Aschtarak,FC Pyunik Erewan,1,1,Draw,4.Matchday,"Jul 28, 2008"
16,FC Ararat Yerevan,MIKA Aschtarak,2,1,HomeTeam,5.Matchday,"May 13, 2008"
17,FC Ulisses Yerevan,FC Shirak Gyumri,0,1,AwayTeam,5.Matchday,"May 13, 2008"
18,FC Banants Yerevan,FC Kilikia Erewan,4,2,HomeTeam,5.Matchday,"May 13, 2008"
19,FC Pyunik Erewan,Gandzasar Kapan,1,1,Draw,5.Matchday,"May 13, 2008"
20,Gandzasar Kapan,FC Ararat Yerevan,2,3,AwayTeam,6.Matchday,"May 17, 2008"
21,MIKA Aschtarak,FC Ulisses Yerevan,1,0,HomeTeam,6.Matchday,"May 17, 2008"
22,FC Kilikia Erewan,FC Pyunik Erewan,0,3,AwayTeam,6.Matchday,"May 17, 2008"
23,FC Shirak Gyumri,FC Banants Yerevan,0,2,AwayTeam,6.Matchday,"Jun 21, 2008"
24,FC Ulisses Yerevan,Gandzasar Kapan,1,0,HomeTeam,7.Matchday,"May 30, 2008"
25,FC Shirak Gyumri,FC Kilikia Erewan,0,2,AwayTeam,7.Matchday,"May 30, 2008"
26,FC Ararat Yerevan,FC Pyunik Erewan,0,0,Draw,7.Matchday,"Jun 21, 2008"
27,FC Banants Yerevan,MIKA Aschtarak,0,1,AwayTeam,7.Matchday,"Jul 23, 2008"
28,FC Shirak Gyumri,MIKA Aschtarak,0,0,Draw,8.Matchday,"Jun 4, 2008"
29,FC Kilikia Erewan,FC Ararat Yerevan,0,1,AwayTeam,8.Matchday,"Jun 29, 2008"
30,FC Ulisses Yerevan,FC Pyunik Erewan,1,0,HomeTeam,8.Matchday,"Jun 29, 2008"
31,FC Banants Yerevan,Gandzasar Kapan,1,1,Draw,8.Matchday,"Jun 29, 2008"
32,FC Ararat Yerevan,FC Ulisses Yerevan,3,1,HomeTeam,9.Matchday,"Jun 8, 2008"
33,FC Pyunik Erewan,FC Banants Yerevan,2,0,HomeTeam,9.Matchday,"Jun 8, 2008"
34,Gandzasar Kapan,FC Shirak Gyumri,2,0,HomeTeam,9.Matchday,"Jun 8, 2008"
35,MIKA Aschtarak,FC Kilikia Erewan,1,0,HomeTeam,9.Matchday,"Jun 8, 2008"
36,FC Banants Yerevan,FC Ararat Yerevan,3,0,HomeTeam,10.Matchday,"Jun 12, 2008"
