,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Rapid Vienna,SV Mattersburg,2,2,Draw,1.Matchday,"Jul 22, 2017"
1,Wolfsberger AC,Red Bull Salzburg,0,2,AwayTeam,1.Matchday,"Jul 22, 2017"
2,LASK,FC Admira Wacker Mödling,3,0,HomeTeam,1.Matchday,"Jul 22, 2017"
3,SC Rheindorf Altach,Austria Vienna,3,0,HomeTeam,1.Matchday,"Jul 23, 2017"
4,SK Sturm Graz,SKN St. Pölten,3,2,HomeTeam,1.Matchday,"Jul 23, 2017"
5,Red Bull Salzburg,LASK,1,1,Draw,2.Matchday,"Jul 29, 2017"
6,SKN St. Pölten,Rapid Vienna,1,4,AwayTeam,2.Matchday,"Jul 29, 2017"
7,SV Mattersburg,Wolfsberger AC,1,0,HomeTeam,2.Matchday,"Jul 29, 2017"
8,Austria Vienna,SK Sturm Graz,2,3,AwayTeam,2.Matchday,"Jul 30, 2017"
9,FC Admira Wacker Mödling,SC Rheindorf Altach,4,1,HomeTeam,2.Matchday,"Jul 30, 2017"
10,LASK,SKN St. Pölten,2,0,HomeTeam,3.Matchday,"Aug 5, 2017"
11,Red Bull Salzburg,FC Admira Wacker Mödling,5,1,HomeTeam,3.Matchday,"Aug 5, 2017"
12,Wolfsberger AC,SC Rheindorf Altach,1,0,HomeTeam,3.Matchday,"Aug 6, 2017"
13,Rapid Vienna,Austria Vienna,2,2,Draw,3.Matchday,"Aug 6, 2017"
14,SV Mattersburg,SK Sturm Graz,2,3,AwayTeam,3.Matchday,"Aug 6, 2017"
15,SC Rheindorf Altach,Red Bull Salzburg,0,1,AwayTeam,4.Matchday,"Aug 12, 2017"
16,Austria Vienna,LASK,2,0,HomeTeam,4.Matchday,"Aug 12, 2017"
17,SK Sturm Graz,Wolfsberger AC,2,1,HomeTeam,4.Matchday,"Aug 12, 2017"
18,SKN St. Pölten,SV Mattersburg,0,0,Draw,4.Matchday,"Aug 12, 2017"
19,FC Admira Wacker Mödling,Rapid Vienna,3,1,HomeTeam,4.Matchday,"Aug 13, 2017"
20,Rapid Vienna,SK Sturm Graz,1,2,AwayTeam,5.Matchday,"Aug 19, 2017"
21,Wolfsberger AC,FC Admira Wacker Mödling,2,0,HomeTeam,5.Matchday,"Aug 19, 2017"
22,Red Bull Salzburg,SKN St. Pölten,5,1,HomeTeam,5.Matchday,"Aug 20, 2017"
23,LASK,SC Rheindorf Altach,0,0,Draw,5.Matchday,"Aug 20, 2017"
24,SV Mattersburg,Austria Vienna,1,3,AwayTeam,5.Matchday,"Aug 20, 2017"
25,Wolfsberger AC,SKN St. Pölten,2,1,HomeTeam,6.Matchday,"Aug 26, 2017"
26,Rapid Vienna,LASK,1,0,HomeTeam,6.Matchday,"Aug 26, 2017"
27,SK Sturm Graz,Red Bull Salzburg,1,0,HomeTeam,6.Matchday,"Aug 27, 2017"
28,SC Rheindorf Altach,SV Mattersburg,1,0,HomeTeam,6.Matchday,"Aug 27, 2017"
