,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,TSV 1860 Munich,1.FC Kaiserslautern,0,4,AwayTeam,1.Matchday,"Jul 28, 2001"
1,VfB Stuttgart,1. FC Köln,0,0,Draw,1.Matchday,"Jul 28, 2001"
2,FC Energie Cottbus,Hamburger SV,1,0,HomeTeam,1.Matchday,"Jul 28, 2001"
3,SC Freiburg,SV Werder Bremen,3,0,HomeTeam,1.Matchday,"Jul 28, 2001"
4,Borussia Dortmund,1.FC Nuremberg,2,0,HomeTeam,1.Matchday,"Jul 28, 2001"
5,Bayer 04 Leverkusen,VfL Wolfsburg,2,1,HomeTeam,1.Matchday,"Jul 28, 2001"
6,Borussia Mönchengladbach,Bayern Munich,1,0,HomeTeam,1.Matchday,"Jul 28, 2001"
7,FC St. Pauli,Hertha BSC,0,0,Draw,1.Matchday,"Jul 29, 2001"
8,FC Schalke 04,FC Hansa Rostock,3,1,HomeTeam,1.Matchday,"Aug 21, 2001"
9,Bayern Munich,FC Schalke 04,3,0,HomeTeam,2.Matchday,"Aug 4, 2001"
10,VfL Wolfsburg,FC St. Pauli,1,1,Draw,2.Matchday,"Aug 4, 2001"
11,Hertha BSC,Borussia Dortmund,0,2,AwayTeam,2.Matchday,"Aug 4, 2001"
12,SV Werder Bremen,FC Energie Cottbus,3,2,HomeTeam,2.Matchday,"Aug 4, 2001"
13,Hamburger SV,VfB Stuttgart,2,0,HomeTeam,2.Matchday,"Aug 4, 2001"
14,1. FC Köln,TSV 1860 Munich,2,0,HomeTeam,2.Matchday,"Aug 4, 2001"
15,FC Hansa Rostock,Bayer 04 Leverkusen,0,3,AwayTeam,2.Matchday,"Aug 4, 2001"
16,1.FC Nuremberg,SC Freiburg,2,0,HomeTeam,2.Matchday,"Aug 5, 2001"
17,1.FC Kaiserslautern,Borussia Mönchengladbach,3,2,HomeTeam,2.Matchday,"Aug 5, 2001"
18,TSV 1860 Munich,Hamburger SV,1,1,Draw,3.Matchday,"Aug 11, 2001"
19,VfB Stuttgart,SV Werder Bremen,0,0,Draw,3.Matchday,"Aug 11, 2001"
20,FC Energie Cottbus,1.FC Nuremberg,1,0,HomeTeam,3.Matchday,"Aug 11, 2001"
21,SC Freiburg,Hertha BSC,1,3,AwayTeam,3.Matchday,"Aug 11, 2001"
22,Borussia Dortmund,VfL Wolfsburg,4,0,HomeTeam,3.Matchday,"Aug 11, 2001"
23,Bayer 04 Leverkusen,Bayern Munich,1,1,Draw,3.Matchday,"Aug 11, 2001"
24,1.FC Kaiserslautern,1. FC Köln,2,1,HomeTeam,3.Matchday,"Aug 11, 2001"
25,FC St. Pauli,FC Hansa Rostock,0,1,AwayTeam,3.Matchday,"Aug 12, 2001"
26,Borussia Mönchengladbach,FC Schalke 04,0,0,Draw,3.Matchday,"Aug 12, 2001"
27,SV Werder Bremen,TSV 1860 Munich,1,3,AwayTeam,4.Matchday,"Aug 18, 2001"
28,Hamburger SV,1.FC Kaiserslautern,2,3,AwayTeam,4.Matchday,"Aug 18, 2001"
29,1.FC Nuremberg,VfB Stuttgart,2,4,AwayTeam,4.Matchday,"Aug 18, 2001"
30,VfL Wolfsburg,SC Freiburg,1,1,Draw,4.Matchday,"Aug 18, 2001"
31,FC Hansa Rostock,Borussia Dortmund,0,2,AwayTeam,4.Matchday,"Aug 18, 2001"
32,FC Schalke 04,Bayer 04 Leverkusen,3,3,Draw,4.Matchday,"Aug 18, 2001"
33,Bayern Munich,FC St. Pauli,2,0,HomeTeam,4.Matchday,"Aug 18, 2001"
34,1. FC Köln,Borussia Mönchengladbach,0,2,AwayTeam,4.Matchday,"Aug 19, 2001"
35,Hertha BSC,FC Energie Cottbus,2,3,AwayTeam,4.Matchday,"Aug 19, 2001"
36,TSV 1860 Munich,1.FC Nuremberg,1,0,HomeTeam,5.Matchday,"Sep 8, 2001"
37,VfB Stuttgart,Hertha BSC,0,0,Draw,5.Matchday,"Sep 8, 2001"
