,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,FC Samtredia,Shukura Kobuleti,1,1,Draw,1.Matchday,"Mar 4, 2017"
1,Dinamo Tbilisi,FC Kolkheti-1913 Poti,1,0,HomeTeam,1.Matchday,"Mar 5, 2017"
2,FC Locomotive Tbilisi,Dinamo Batumi,2,1,HomeTeam,1.Matchday,"Mar 5, 2017"
3,Chikhura Sachkhere,FC Dila Gori,0,0,Draw,1.Matchday,"Mar 5, 2017"
4,FC Saburtalo,Torpedo Kutaisi,1,0,HomeTeam,1.Matchday,"Mar 5, 2017"
5,Shukura Kobuleti,Torpedo Kutaisi,1,1,Draw,2.Matchday,"Mar 10, 2017"
6,FC Locomotive Tbilisi,Dinamo Tbilisi,1,0,HomeTeam,2.Matchday,"Mar 11, 2017"
7,FC Dila Gori,Dinamo Batumi,0,1,AwayTeam,2.Matchday,"Mar 11, 2017"
8,FC Samtredia,Chikhura Sachkhere,0,1,AwayTeam,2.Matchday,"Mar 11, 2017"
9,FC Kolkheti-1913 Poti,FC Saburtalo,3,0,HomeTeam,2.Matchday,"Mar 11, 2017"
10,Dinamo Tbilisi,FC Dila Gori,1,2,AwayTeam,3.Matchday,"Mar 18, 2017"
11,FC Saburtalo,FC Locomotive Tbilisi,2,1,HomeTeam,3.Matchday,"Mar 18, 2017"
12,Dinamo Batumi,FC Samtredia,0,1,AwayTeam,3.Matchday,"Mar 19, 2017"
13,Chikhura Sachkhere,Shukura Kobuleti,3,1,HomeTeam,3.Matchday,"Mar 19, 2017"
14,Torpedo Kutaisi,FC Kolkheti-1913 Poti,2,1,HomeTeam,3.Matchday,"Mar 19, 2017"
15,Shukura Kobuleti,FC Kolkheti-1913 Poti,2,4,AwayTeam,4.Matchday,"Apr 1, 2017"
16,FC Locomotive Tbilisi,Torpedo Kutaisi,1,1,Draw,4.Matchday,"Apr 1, 2017"
17,FC Dila Gori,FC Saburtalo,0,1,AwayTeam,4.Matchday,"Apr 1, 2017"
18,FC Samtredia,Dinamo Tbilisi,0,2,AwayTeam,4.Matchday,"Apr 2, 2017"
19,Chikhura Sachkhere,Dinamo Batumi,0,1,AwayTeam,4.Matchday,"Apr 2, 2017"
20,FC Kolkheti-1913 Poti,FC Locomotive Tbilisi,0,5,AwayTeam,5.Matchday,"Apr 4, 2017"
21,Dinamo Batumi,Shukura Kobuleti,2,0,HomeTeam,5.Matchday,"Apr 5, 2017"
22,Dinamo Tbilisi,Chikhura Sachkhere,2,1,HomeTeam,5.Matchday,"Apr 5, 2017"
23,Torpedo Kutaisi,FC Dila Gori,1,1,Draw,5.Matchday,"Apr 5, 2017"
24,FC Saburtalo,FC Samtredia,1,2,AwayTeam,5.Matchday,"Apr 5, 2017"
25,Shukura Kobuleti,FC Locomotive Tbilisi,0,5,AwayTeam,6.Matchday,"Apr 8, 2017"
26,FC Dila Gori,FC Kolkheti-1913 Poti,1,1,Draw,6.Matchday,"Apr 8, 2017"
27,FC Samtredia,Torpedo Kutaisi,0,2,AwayTeam,6.Matchday,"Apr 9, 2017"
28,Dinamo Batumi,Dinamo Tbilisi,0,1,AwayTeam,6.Matchday,"Apr 9, 2017"
29,Chikhura Sachkhere,FC Saburtalo,2,1,HomeTeam,6.Matchday,"Apr 9, 2017"
30,FC Locomotive Tbilisi,FC Dila Gori,3,3,Draw,7.Matchday,"Apr 12, 2017"
31,FC Kolkheti-1913 Poti,FC Samtredia,1,2,AwayTeam,7.Matchday,"Apr 13, 2017"
32,Dinamo Tbilisi,Shukura Kobuleti,5,0,HomeTeam,7.Matchday,"Apr 13, 2017"
33,FC Saburtalo,Dinamo Batumi,2,0,HomeTeam,7.Matchday,"Apr 13, 2017"
34,Torpedo Kutaisi,Chikhura Sachkhere,2,1,HomeTeam,7.Matchday,"Apr 13, 2017"
35,Shukura Kobuleti,FC Dila Gori,0,0,Draw,8.Matchday,"Apr 21, 2017"
36,Chikhura Sachkhere,FC Kolkheti-1913 Poti,3,1,HomeTeam,8.Matchday,"Apr 21, 2017"
37,FC Samtredia,FC Locomotive Tbilisi,0,0,Draw,8.Matchday,"Apr 22, 2017"
38,Dinamo Batumi,Torpedo Kutaisi,1,3,AwayTeam,8.Matchday,"Apr 22, 2017"
39,Dinamo Tbilisi,FC Saburtalo,2,0,HomeTeam,8.Matchday,"Apr 23, 2017"
40,FC Locomotive Tbilisi,Chikhura Sachkhere,5,0,HomeTeam,9.Matchday,"Apr 29, 2017"
41,FC Saburtalo,Shukura Kobuleti,5,0,HomeTeam,9.Matchday,"Apr 29, 2017"
42,FC Kolkheti-1913 Poti,Dinamo Batumi,0,1,AwayTeam,9.Matchday,"Apr 30, 2017"
43,FC Dila Gori,FC Samtredia,1,2,AwayTeam,9.Matchday,"Apr 30, 2017"
44,Torpedo Kutaisi,Dinamo Tbilisi,0,2,AwayTeam,9.Matchday,"Apr 30, 2017"
45,Shukura Kobuleti,FC Samtredia,0,2,AwayTeam,10.Matchday,"May 4, 2017"
46,FC Kolkheti-1913 Poti,Dinamo Tbilisi,0,3,AwayTeam,10.Matchday,"May 5, 2017"
47,FC Dila Gori,Chikhura Sachkhere,2,0,HomeTeam,10.Matchday,"May 5, 2017"
48,Dinamo Batumi,FC Locomotive Tbilisi,1,2,AwayTeam,10.Matchday,"May 5, 2017"
49,Torpedo Kutaisi,FC Saburtalo,0,0,Draw,10.Matchday,"May 5, 2017"
50,FC Saburtalo,FC Kolkheti-1913 Poti,1,2,AwayTeam,11.Matchday,"May 9, 2017"
51,Torpedo Kutaisi,Shukura Kobuleti,1,0,HomeTeam,11.Matchday,"May 9, 2017"
52,Dinamo Batumi,FC Dila Gori,2,3,AwayTeam,11.Matchday,"May 10, 2017"
53,Dinamo Tbilisi,FC Locomotive Tbilisi,3,0,HomeTeam,11.Matchday,"May 10, 2017"
54,Chikhura Sachkhere,FC Samtredia,1,2,AwayTeam,11.Matchday,"May 10, 2017"
55,FC Kolkheti-1913 Poti,Torpedo Kutaisi,0,3,AwayTeam,12.Matchday,"May 13, 2017"
56,FC Locomotive Tbilisi,FC Saburtalo,1,2,AwayTeam,12.Matchday,"May 14, 2017"
57,Shukura Kobuleti,Chikhura Sachkhere,1,4,AwayTeam,12.Matchday,"May 14, 2017"
58,FC Samtredia,Dinamo Batumi,2,0,HomeTeam,12.Matchday,"May 14, 2017"
59,FC Dila Gori,Dinamo Tbilisi,1,1,Draw,12.Matchday,"May 14, 2017"
60,Torpedo Kutaisi,FC Locomotive Tbilisi,2,0,HomeTeam,13.Matchday,"May 20, 2017"
61,FC Kolkheti-1913 Poti,Shukura Kobuleti,0,0,Draw,13.Matchday,"May 20, 2017"
62,FC Saburtalo,FC Dila Gori,0,1,AwayTeam,13.Matchday,"May 20, 2017"
63,Dinamo Tbilisi,FC Samtredia,3,2,HomeTeam,13.Matchday,"May 21, 2017"
64,Dinamo Batumi,Chikhura Sachkhere,0,0,Draw,13.Matchday,"May 21, 2017"
65,FC Locomotive Tbilisi,FC Kolkheti-1913 Poti,1,2,AwayTeam,14.Matchday,"May 23, 2017"
66,FC Dila Gori,Torpedo Kutaisi,0,2,AwayTeam,14.Matchday,"May 23, 2017"
67,Chikhura Sachkhere,Dinamo Tbilisi,2,1,HomeTeam,14.Matchday,"May 24, 2017"
68,Shukura Kobuleti,Dinamo Batumi,2,4,AwayTeam,14.Matchday,"May 24, 2017"
69,FC Samtredia,FC Saburtalo,3,2,HomeTeam,14.Matchday,"May 24, 2017"
70,FC Kolkheti-1913 Poti,FC Dila Gori,0,0,Draw,15.Matchday,"May 27, 2017"
71,FC Locomotive Tbilisi,Shukura Kobuleti,0,3,AwayTeam,15.Matchday,"May 28, 2017"
