,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,FC Petrocub Hîncești,Spicul Chiscareni,0,1,AwayTeam,1.Matchday,"Jul 8, 2017"
1,Dinamo-Auto Tiraspol,FC Zimbru Chisinau,1,0,HomeTeam,1.Matchday,"Jul 8, 2017"
2,FC Sfintul Gheorghe,Dacia Chisinau,0,1,AwayTeam,1.Matchday,"Jul 9, 2017"
3,FC Milsami Orhei,CSF Speranta Nisporeni,0,1,AwayTeam,1.Matchday,"Jul 9, 2017"
4,Sheriff Tiraspol,Zaria Balti,5,0,HomeTeam,1.Matchday,"Jul 9, 2017"
5,Spicul Chiscareni,CSF Speranta Nisporeni,1,1,Draw,2.Matchday,"Jul 15, 2017"
6,FC Petrocub Hîncești,Dinamo-Auto Tiraspol,1,0,HomeTeam,2.Matchday,"Jul 15, 2017"
7,FC Zimbru Chisinau,FC Sfintul Gheorghe,4,0,HomeTeam,2.Matchday,"Jul 15, 2017"
8,Zaria Balti,FC Milsami Orhei,0,1,AwayTeam,2.Matchday,"Jul 16, 2017"
9,Dacia Chisinau,Sheriff Tiraspol,1,1,Draw,2.Matchday,"Jul 16, 2017"
10,Dinamo-Auto Tiraspol,Spicul Chiscareni,0,3,AwayTeam,3.Matchday,"Jul 22, 2017"
11,FC Sfintul Gheorghe,FC Petrocub Hîncești,0,2,AwayTeam,3.Matchday,"Jul 22, 2017"
12,Sheriff Tiraspol,FC Zimbru Chisinau,2,2,Draw,3.Matchday,"Jul 22, 2017"
13,FC Milsami Orhei,Dacia Chisinau,2,1,HomeTeam,3.Matchday,"Jul 23, 2017"
14,CSF Speranta Nisporeni,Zaria Balti,2,4,AwayTeam,3.Matchday,"Jul 24, 2017"
15,FC Petrocub Hîncești,Sheriff Tiraspol,1,2,AwayTeam,4.Matchday,"Jul 29, 2017"
16,Dinamo-Auto Tiraspol,FC Sfintul Gheorghe,2,2,Draw,4.Matchday,"Jul 29, 2017"
17,Spicul Chiscareni,Zaria Balti,0,2,AwayTeam,4.Matchday,"Jul 30, 2017"
18,Dacia Chisinau,CSF Speranta Nisporeni,2,1,HomeTeam,4.Matchday,"Jul 30, 2017"
19,FC Zimbru Chisinau,FC Milsami Orhei,0,1,AwayTeam,4.Matchday,"Jul 30, 2017"
20,FC Sfintul Gheorghe,Spicul Chiscareni,4,3,HomeTeam,5.Matchday,"Aug 4, 2017"
21,CSF Speranta Nisporeni,FC Zimbru Chisinau,1,0,HomeTeam,5.Matchday,"Aug 4, 2017"
22,FC Milsami Orhei,FC Petrocub Hîncești,1,0,HomeTeam,5.Matchday,"Aug 5, 2017"
