,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Lillestrøm SK,Fredrikstad FK,3,0,HomeTeam,1.Matchday,"Apr 9, 2007"
1,FK Lyn,Sandefjord Fotball,3,0,HomeTeam,1.Matchday,"Apr 9, 2007"
2,Strømsgodset IF,Odd Grenland,2,1,HomeTeam,1.Matchday,"Apr 9, 2007"
3,Tromsø IL,Vålerenga Fotball,1,0,HomeTeam,1.Matchday,"Apr 9, 2007"
4,Aalesunds FK,IK Start,2,4,AwayTeam,1.Matchday,"Apr 9, 2007"
5,Viking Stavanger,Rosenborg BK,1,1,Draw,1.Matchday,"Apr 9, 2007"
6,Stabæk Fotball,SK Brann,0,1,AwayTeam,1.Matchday,"Apr 10, 2007"
7,Fredrikstad FK,FK Lyn,3,1,HomeTeam,2.Matchday,"Apr 14, 2007"
8,Vålerenga Fotball,Stabæk Fotball,1,1,Draw,2.Matchday,"Apr 15, 2007"
9,Sandefjord Fotball,Aalesunds FK,3,0,HomeTeam,2.Matchday,"Apr 15, 2007"
10,Rosenborg BK,Tromsø IL,4,3,HomeTeam,2.Matchday,"Apr 15, 2007"
11,Odd Grenland,Lillestrøm SK,0,1,AwayTeam,2.Matchday,"Apr 15, 2007"
12,IK Start,Viking Stavanger,1,1,Draw,2.Matchday,"Apr 15, 2007"
13,SK Brann,Strømsgodset IF,3,1,HomeTeam,2.Matchday,"Apr 16, 2007"
14,Stabæk Fotball,Rosenborg BK,2,1,HomeTeam,3.Matchday,"Apr 21, 2007"
15,FK Lyn,Odd Grenland,3,1,HomeTeam,3.Matchday,"Apr 22, 2007"
16,Aalesunds FK,Fredrikstad FK,3,3,Draw,3.Matchday,"Apr 22, 2007"
17,Viking Stavanger,Sandefjord Fotball,0,0,Draw,3.Matchday,"Apr 22, 2007"
18,Tromsø IL,IK Start,1,1,Draw,3.Matchday,"Apr 22, 2007"
19,SK Brann,Vålerenga Fotball,4,1,HomeTeam,3.Matchday,"Apr 22, 2007"
20,Strømsgodset IF,Lillestrøm SK,1,1,Draw,3.Matchday,"Apr 23, 2007"
21,Vålerenga Fotball,Strømsgodset IF,0,0,Draw,4.Matchday,"Apr 28, 2007"
22,IK Start,Stabæk Fotball,1,1,Draw,4.Matchday,"Apr 29, 2007"
23,Sandefjord Fotball,Tromsø IL,2,1,HomeTeam,4.Matchday,"Apr 29, 2007"
24,Odd Grenland,Aalesunds FK,3,0,HomeTeam,4.Matchday,"Apr 29, 2007"
25,Fredrikstad FK,Viking Stavanger,2,0,HomeTeam,4.Matchday,"Apr 29, 2007"
26,Rosenborg BK,SK Brann,3,0,HomeTeam,4.Matchday,"Apr 29, 2007"
27,Lillestrøm SK,FK Lyn,3,1,HomeTeam,4.Matchday,"Apr 30, 2007"
28,SK Brann,IK Start,2,2,Draw,5.Matchday,"May 5, 2007"
29,Stabæk Fotball,Sandefjord Fotball,1,1,Draw,5.Matchday,"May 6, 2007"
30,Strømsgodset IF,FK Lyn,1,1,Draw,5.Matchday,"May 6, 2007"
31,Tromsø IL,Fredrikstad FK,4,1,HomeTeam,5.Matchday,"May 6, 2007"
32,Viking Stavanger,Odd Grenland,2,1,HomeTeam,5.Matchday,"May 6, 2007"
33,Vålerenga Fotball,Rosenborg BK,2,1,HomeTeam,5.Matchday,"May 6, 2007"
34,Aalesunds FK,Lillestrøm SK,1,3,AwayTeam,5.Matchday,"May 7, 2007"
35,IK Start,Vålerenga Fotball,1,0,HomeTeam,6.Matchday,"May 10, 2007"
36,Sandefjord Fotball,SK Brann,2,3,AwayTeam,6.Matchday,"May 12, 2007"
37,Fredrikstad FK,Stabæk Fotball,1,2,AwayTeam,6.Matchday,"May 13, 2007"
38,FK Lyn,Aalesunds FK,0,0,Draw,6.Matchday,"May 13, 2007"
39,Odd Grenland,Tromsø IL,0,1,AwayTeam,6.Matchday,"May 13, 2007"
40,Rosenborg BK,Strømsgodset IF,1,2,AwayTeam,6.Matchday,"May 13, 2007"
41,Lillestrøm SK,Viking Stavanger,4,1,HomeTeam,6.Matchday,"May 13, 2007"
42,Viking Stavanger,FK Lyn,4,2,HomeTeam,7.Matchday,"May 16, 2007"
43,Vålerenga Fotball,Sandefjord Fotball,2,0,HomeTeam,7.Matchday,"May 16, 2007"
44,Tromsø IL,Lillestrøm SK,2,1,HomeTeam,7.Matchday,"May 16, 2007"
45,Strømsgodset IF,Aalesunds FK,0,4,AwayTeam,7.Matchday,"May 16, 2007"
46,Stabæk Fotball,Odd Grenland,1,0,HomeTeam,7.Matchday,"May 16, 2007"
47,SK Brann,Fredrikstad FK,2,2,Draw,7.Matchday,"May 16, 2007"
48,Rosenborg BK,IK Start,4,1,HomeTeam,7.Matchday,"May 16, 2007"
49,IK Start,Strømsgodset IF,2,3,AwayTeam,8.Matchday,"May 25, 2007"
50,Fredrikstad FK,Vålerenga Fotball,1,0,HomeTeam,8.Matchday,"May 26, 2007"
51,Sandefjord Fotball,Rosenborg BK,1,2,AwayTeam,8.Matchday,"May 27, 2007"
52,FK Lyn,Tromsø IL,4,3,HomeTeam,8.Matchday,"May 28, 2007"
53,Aalesunds FK,Viking Stavanger,0,2,AwayTeam,8.Matchday,"May 28, 2007"
54,Odd Grenland,SK Brann,0,2,AwayTeam,8.Matchday,"May 28, 2007"
55,Lillestrøm SK,Stabæk Fotball,1,1,Draw,8.Matchday,"May 28, 2007"
56,Strømsgodset IF,Viking Stavanger,1,2,AwayTeam,9.Matchday,"Jun 9, 2007"
57,Vålerenga Fotball,Odd Grenland,1,1,Draw,9.Matchday,"Jun 10, 2007"
58,Tromsø IL,Aalesunds FK,0,2,AwayTeam,9.Matchday,"Jun 10, 2007"
59,Stabæk Fotball,FK Lyn,3,2,HomeTeam,9.Matchday,"Jun 10, 2007"
60,Rosenborg BK,Fredrikstad FK,1,1,Draw,9.Matchday,"Jun 10, 2007"
61,SK Brann,Lillestrøm SK,3,1,HomeTeam,9.Matchday,"Jun 10, 2007"
62,IK Start,Sandefjord Fotball,3,1,HomeTeam,9.Matchday,"Jun 11, 2007"
63,FK Lyn,SK Brann,6,0,HomeTeam,10.Matchday,"Jun 16, 2007"
64,Fredrikstad FK,IK Start,3,0,HomeTeam,10.Matchday,"Jun 17, 2007"
65,Aalesunds FK,Stabæk Fotball,1,4,AwayTeam,10.Matchday,"Jun 17, 2007"
66,Viking Stavanger,Tromsø IL,3,1,HomeTeam,10.Matchday,"Jun 17, 2007"
67,Sandefjord Fotball,Strømsgodset IF,0,1,AwayTeam,10.Matchday,"Jun 17, 2007"
68,Lillestrøm SK,Vålerenga Fotball,0,1,AwayTeam,10.Matchday,"Jun 17, 2007"
69,Odd Grenland,Rosenborg BK,1,2,AwayTeam,10.Matchday,"Jun 18, 2007"
70,SK Brann,Aalesunds FK,2,1,HomeTeam,11.Matchday,"Jun 20, 2007"
71,Strømsgodset IF,Tromsø IL,1,2,AwayTeam,11.Matchday,"Jun 20, 2007"
72,Stabæk Fotball,Viking Stavanger,2,1,HomeTeam,11.Matchday,"Jun 20, 2007"
73,Sandefjord Fotball,Fredrikstad FK,2,2,Draw,11.Matchday,"Jun 20, 2007"
74,Vålerenga Fotball,FK Lyn,0,0,Draw,11.Matchday,"Jun 20, 2007"
75,IK Start,Odd Grenland,1,2,AwayTeam,11.Matchday,"Jun 21, 2007"
76,Rosenborg BK,Lillestrøm SK,1,1,Draw,11.Matchday,"Jun 21, 2007"
77,Aalesunds FK,Vålerenga Fotball,1,0,HomeTeam,12.Matchday,"Jun 23, 2007"
78,Tromsø IL,Stabæk Fotball,0,1,AwayTeam,12.Matchday,"Jun 24, 2007"
79,Strømsgodset IF,Fredrikstad FK,2,1,HomeTeam,12.Matchday,"Jun 24, 2007"
80,Odd Grenland,Sandefjord Fotball,4,0,HomeTeam,12.Matchday,"Jun 24, 2007"
81,Lillestrøm SK,IK Start,1,0,HomeTeam,12.Matchday,"Jun 24, 2007"
82,Viking Stavanger,SK Brann,3,1,HomeTeam,12.Matchday,"Jun 24, 2007"
83,FK Lyn,Rosenborg BK,2,1,HomeTeam,12.Matchday,"Jun 25, 2007"
84,Vålerenga Fotball,Viking Stavanger,1,3,AwayTeam,13.Matchday,"Jun 30, 2007"
85,IK Start,FK Lyn,0,1,AwayTeam,13.Matchday,"Jul 1, 2007"
86,Stabæk Fotball,Strømsgodset IF,3,2,HomeTeam,13.Matchday,"Jul 1, 2007"
87,Sandefjord Fotball,Lillestrøm SK,0,2,AwayTeam,13.Matchday,"Jul 1, 2007"
88,Fredrikstad FK,Odd Grenland,1,1,Draw,13.Matchday,"Jul 1, 2007"
89,SK Brann,Tromsø IL,2,1,HomeTeam,13.Matchday,"Jul 1, 2007"
90,Rosenborg BK,Aalesunds FK,2,2,Draw,13.Matchday,"Jul 2, 2007"
91,Sandefjord Fotball,FK Lyn,3,1,HomeTeam,14.Matchday,"Jul 21, 2007"
92,SK Brann,Stabæk Fotball,3,0,HomeTeam,14.Matchday,"Jul 22, 2007"
93,Fredrikstad FK,Lillestrøm SK,0,0,Draw,14.Matchday,"Jul 22, 2007"
94,Odd Grenland,Strømsgodset IF,0,1,AwayTeam,14.Matchday,"Jul 22, 2007"
95,IK Start,Aalesunds FK,1,2,AwayTeam,14.Matchday,"Jul 22, 2007"
96,Rosenborg BK,Viking Stavanger,4,2,HomeTeam,14.Matchday,"Jul 22, 2007"
97,Vålerenga Fotball,Tromsø IL,2,2,Draw,14.Matchday,"Jul 23, 2007"
98,Lillestrøm SK,Odd Grenland,1,1,Draw,15.Matchday,"Jul 28, 2007"
99,Tromsø IL,Rosenborg BK,2,1,HomeTeam,15.Matchday,"Jul 28, 2007"
100,Aalesunds FK,Sandefjord Fotball,4,1,HomeTeam,15.Matchday,"Jul 29, 2007"
101,Strømsgodset IF,SK Brann,2,4,AwayTeam,15.Matchday,"Jul 29, 2007"
102,Viking Stavanger,IK Start,2,0,HomeTeam,15.Matchday,"Jul 29, 2007"
103,Stabæk Fotball,Vålerenga Fotball,2,2,Draw,15.Matchday,"Jul 29, 2007"
104,FK Lyn,Fredrikstad FK,0,0,Draw,15.Matchday,"Jul 30, 2007"
105,Rosenborg BK,Stabæk Fotball,3,0,HomeTeam,16.Matchday,"Aug 4, 2007"
106,Fredrikstad FK,Aalesunds FK,2,1,HomeTeam,16.Matchday,"Aug 5, 2007"
107,Odd Grenland,FK Lyn,2,0,HomeTeam,16.Matchday,"Aug 5, 2007"
108,Sandefjord Fotball,Viking Stavanger,4,1,HomeTeam,16.Matchday,"Aug 5, 2007"
109,IK Start,Tromsø IL,1,1,Draw,16.Matchday,"Aug 5, 2007"
110,Vålerenga Fotball,SK Brann,2,0,HomeTeam,16.Matchday,"Aug 5, 2007"
111,Lillestrøm SK,Strømsgodset IF,2,0,HomeTeam,16.Matchday,"Aug 6, 2007"
112,SK Brann,Rosenborg BK,3,2,HomeTeam,17.Matchday,"Aug 11, 2007"
113,Aalesunds FK,Odd Grenland,2,1,HomeTeam,17.Matchday,"Aug 12, 2007"
114,Strømsgodset IF,Vålerenga Fotball,1,2,AwayTeam,17.Matchday,"Aug 12, 2007"
115,Tromsø IL,Sandefjord Fotball,2,1,HomeTeam,17.Matchday,"Aug 12, 2007"
116,Viking Stavanger,Fredrikstad FK,2,2,Draw,17.Matchday,"Aug 12, 2007"
117,FK Lyn,Lillestrøm SK,0,4,AwayTeam,17.Matchday,"Aug 12, 2007"
118,Stabæk Fotball,IK Start,1,1,Draw,17.Matchday,"Aug 13, 2007"
119,Rosenborg BK,Vålerenga Fotball,2,0,HomeTeam,18.Matchday,"Aug 25, 2007"
120,Fredrikstad FK,Tromsø IL,2,1,HomeTeam,18.Matchday,"Aug 26, 2007"
121,Lillestrøm SK,Aalesunds FK,7,0,HomeTeam,18.Matchday,"Aug 26, 2007"
122,FK Lyn,Strømsgodset IF,1,0,HomeTeam,18.Matchday,"Aug 26, 2007"
123,Odd Grenland,Viking Stavanger,1,3,AwayTeam,18.Matchday,"Aug 26, 2007"
124,IK Start,SK Brann,1,1,Draw,18.Matchday,"Aug 26, 2007"
125,Sandefjord Fotball,Stabæk Fotball,2,3,AwayTeam,18.Matchday,"Aug 27, 2007"
126,Strømsgodset IF,Rosenborg BK,1,1,Draw,19.Matchday,"Sep 1, 2007"
127,Aalesunds FK,FK Lyn,3,1,HomeTeam,19.Matchday,"Sep 2, 2007"
128,SK Brann,Sandefjord Fotball,1,0,HomeTeam,19.Matchday,"Sep 2, 2007"
129,Tromsø IL,Odd Grenland,2,4,AwayTeam,19.Matchday,"Sep 2, 2007"
130,Vålerenga Fotball,IK Start,3,2,HomeTeam,19.Matchday,"Sep 2, 2007"
131,Viking Stavanger,Lillestrøm SK,1,1,Draw,19.Matchday,"Sep 2, 2007"
132,Stabæk Fotball,Fredrikstad FK,0,2,AwayTeam,19.Matchday,"Sep 3, 2007"
133,IK Start,Rosenborg BK,2,1,HomeTeam,20.Matchday,"Sep 15, 2007"
134,Lillestrøm SK,Tromsø IL,0,3,AwayTeam,20.Matchday,"Sep 16, 2007"
135,FK Lyn,Viking Stavanger,2,3,AwayTeam,20.Matchday,"Sep 16, 2007"
136,Odd Grenland,Stabæk Fotball,1,5,AwayTeam,20.Matchday,"Sep 16, 2007"
137,Sandefjord Fotball,Vålerenga Fotball,1,3,AwayTeam,20.Matchday,"Sep 16, 2007"
138,Fredrikstad FK,SK Brann,0,4,AwayTeam,20.Matchday,"Sep 16, 2007"
139,Aalesunds FK,Strømsgodset IF,3,2,HomeTeam,20.Matchday,"Sep 17, 2007"
140,Viking Stavanger,Aalesunds FK,3,0,HomeTeam,21.Matchday,"Sep 22, 2007"
141,SK Brann,Odd Grenland,4,0,HomeTeam,21.Matchday,"Sep 23, 2007"
142,Rosenborg BK,Sandefjord Fotball,2,0,HomeTeam,21.Matchday,"Sep 23, 2007"
143,Strømsgodset IF,IK Start,3,2,HomeTeam,21.Matchday,"Sep 23, 2007"
144,Tromsø IL,FK Lyn,2,1,HomeTeam,21.Matchday,"Sep 23, 2007"
145,Stabæk Fotball,Lillestrøm SK,3,1,HomeTeam,21.Matchday,"Sep 23, 2007"
146,Vålerenga Fotball,Fredrikstad FK,2,0,HomeTeam,21.Matchday,"Sep 24, 2007"
147,Viking Stavanger,Strømsgodset IF,3,0,HomeTeam,22.Matchday,"Sep 29, 2007"
148,Aalesunds FK,Tromsø IL,2,3,AwayTeam,22.Matchday,"Sep 30, 2007"
149,Fredrikstad FK,Rosenborg BK,4,3,HomeTeam,22.Matchday,"Sep 30, 2007"
150,FK Lyn,Stabæk Fotball,3,2,HomeTeam,22.Matchday,"Sep 30, 2007"
