,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Ajax Amsterdam,Roda JC Kerkrade,3,0,HomeTeam,1.Matchday,"Aug 2, 2013"
1,ADO Den Haag,PSV Eindhoven,2,3,AwayTeam,1.Matchday,"Aug 3, 2013"
2,NEC Nijmegen,FC Groningen,1,4,AwayTeam,1.Matchday,"Aug 3, 2013"
3,FC Twente Enschede,RKC Waalwijk,0,0,Draw,1.Matchday,"Aug 3, 2013"
4,SC Heerenveen,AZ Alkmaar,4,2,HomeTeam,1.Matchday,"Aug 3, 2013"
5,SC Cambuur-Leeuwarden,NAC Breda,0,0,Draw,1.Matchday,"Aug 4, 2013"
6,Vitesse Arnhem,Heracles Almelo,3,1,HomeTeam,1.Matchday,"Aug 4, 2013"
7,FC Utrecht,Go Ahead Eagles Deventer,1,1,Draw,1.Matchday,"Aug 4, 2013"
8,PEC Zwolle,Feyenoord Rotterdam,2,1,HomeTeam,1.Matchday,"Aug 4, 2013"
9,Roda JC Kerkrade,SC Cambuur-Leeuwarden,2,0,HomeTeam,2.Matchday,"Aug 9, 2013"
10,Heracles Almelo,PEC Zwolle,1,3,AwayTeam,2.Matchday,"Aug 10, 2013"
11,NAC Breda,SC Heerenveen,0,2,AwayTeam,2.Matchday,"Aug 10, 2013"
12,Go Ahead Eagles Deventer,ADO Den Haag,2,1,HomeTeam,2.Matchday,"Aug 10, 2013"
13,PSV Eindhoven,NEC Nijmegen,5,0,HomeTeam,2.Matchday,"Aug 10, 2013"
14,Feyenoord Rotterdam,FC Twente Enschede,1,4,AwayTeam,2.Matchday,"Aug 11, 2013"
15,FC Groningen,FC Utrecht,2,0,HomeTeam,2.Matchday,"Aug 11, 2013"
16,AZ Alkmaar,Ajax Amsterdam,3,2,HomeTeam,2.Matchday,"Aug 11, 2013"
17,RKC Waalwijk,Vitesse Arnhem,4,2,HomeTeam,2.Matchday,"Aug 11, 2013"
18,PSV Eindhoven,Go Ahead Eagles Deventer,3,0,HomeTeam,3.Matchday,"Aug 17, 2013"
19,SC Cambuur-Leeuwarden,FC Groningen,4,1,HomeTeam,3.Matchday,"Aug 17, 2013"
20,RKC Waalwijk,AZ Alkmaar,1,2,AwayTeam,3.Matchday,"Aug 17, 2013"
21,Roda JC Kerkrade,Vitesse Arnhem,1,1,Draw,3.Matchday,"Aug 17, 2013"
22,NEC Nijmegen,PEC Zwolle,1,5,AwayTeam,3.Matchday,"Aug 17, 2013"
23,Ajax Amsterdam,Feyenoord Rotterdam,2,1,HomeTeam,3.Matchday,"Aug 18, 2013"
24,SC Heerenveen,Heracles Almelo,2,4,AwayTeam,3.Matchday,"Aug 18, 2013"
25,NAC Breda,ADO Den Haag,1,2,AwayTeam,3.Matchday,"Aug 18, 2013"
26,FC Twente Enschede,FC Utrecht,6,0,HomeTeam,3.Matchday,"Aug 18, 2013"
27,SC Heerenveen,Ajax Amsterdam,3,3,Draw,4.Matchday,"Aug 23, 2013"
28,NEC Nijmegen,RKC Waalwijk,2,2,Draw,4.Matchday,"Aug 24, 2013"
29,Heracles Almelo,PSV Eindhoven,1,1,Draw,4.Matchday,"Aug 24, 2013"
30,ADO Den Haag,Roda JC Kerkrade,0,4,AwayTeam,4.Matchday,"Aug 24, 2013"
31,PEC Zwolle,SC Cambuur-Leeuwarden,2,0,HomeTeam,4.Matchday,"Aug 24, 2013"
32,Go Ahead Eagles Deventer,FC Groningen,3,3,Draw,4.Matchday,"Aug 25, 2013"
33,Vitesse Arnhem,FC Twente Enschede,1,0,HomeTeam,4.Matchday,"Aug 25, 2013"
