,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
0,Feyenoord Rotterdam,Manchester United,1,0,HomeTeam,Group A,-,"Sep 15, 2016"
1,Zorya Lugansk,Fenerbahce SK,1,1,Draw,Group A,-,"Sep 15, 2016"
2,Manchester United,Zorya Lugansk,1,0,HomeTeam,Group A,-,"Sep 29, 2016"
3,Fenerbahce SK,Feyenoord Rotterdam,1,0,HomeTeam,Group A,-,"Sep 29, 2016"
4,Feyenoord Rotterdam,Zorya Lugansk,1,0,HomeTeam,Group A,-,"Oct 20, 2016"
5,Manchester United,Fenerbahce SK,4,1,HomeTeam,Group A,-,"Oct 20, 2016"
6,Zorya Lugansk,Feyenoord Rotterdam,1,1,Draw,Group A,-,"Nov 3, 2016"
7,Fenerbahce SK,Manchester United,2,1,HomeTeam,Group A,-,"Nov 3, 2016"
8,Fenerbahce SK,Zorya Lugansk,2,0,HomeTeam,Group A,-,"Nov 24, 2016"
9,Manchester United,Feyenoord Rotterdam,4,0,HomeTeam,Group A,-,"Nov 24, 2016"
10,Zorya Lugansk,Manchester United,0,2,AwayTeam,Group A,-,"Dec 8, 2016"
11,Feyenoord Rotterdam,Fenerbahce SK,0,1,AwayTeam,Group A,-,"Dec 8, 2016"
12,BSC Young Boys,Olympiacos Piraeus,0,1,AwayTeam,Group B,-,"Sep 15, 2016"
13,APOEL Nicosia,FC Astana,2,1,HomeTeam,Group B,-,"Sep 15, 2016"
14,FC Astana,BSC Young Boys,0,0,Draw,Group B,-,"Sep 29, 2016"
15,Olympiacos Piraeus,APOEL Nicosia,0,1,AwayTeam,Group B,-,"Sep 29, 2016"
16,Olympiacos Piraeus,FC Astana,4,1,HomeTeam,Group B,-,"Oct 20, 2016"
17,BSC Young Boys,APOEL Nicosia,3,1,HomeTeam,Group B,-,"Oct 20, 2016"
18,FC Astana,Olympiacos Piraeus,1,1,Draw,Group B,-,"Nov 3, 2016"
19,APOEL Nicosia,BSC Young Boys,1,0,HomeTeam,Group B,-,"Nov 3, 2016"
20,FC Astana,APOEL Nicosia,2,1,HomeTeam,Group B,-,"Nov 24, 2016"
21,Olympiacos Piraeus,BSC Young Boys,1,1,Draw,Group B,-,"Nov 24, 2016"
22,APOEL Nicosia,Olympiacos Piraeus,2,0,HomeTeam,Group B,-,"Dec 8, 2016"
23,BSC Young Boys,FC Astana,3,0,HomeTeam,Group B,-,"Dec 8, 2016"
