,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Ermis Aradippou,AEL Limassol,0,1,AwayTeam,1.Matchday,"Aug 25, 2018"
1,Omonia Nicosia,Alki Oroklini,1,0,HomeTeam,1.Matchday,"Aug 25, 2018"
2,Doxa Katokopias,Anorthosis Famagusta,0,1,AwayTeam,1.Matchday,"Aug 26, 2018"
3,Nea Salamina Famagusta,APOEL Nicosia,2,3,AwayTeam,1.Matchday,"Sep 19, 2018"
4,Apollon Limassol,Enosis Neon Paralimniou,5,0,HomeTeam,1.Matchday,"Sep 28, 2018"
5,AEK Larnaca,Pafos FC,3,0,HomeTeam,1.Matchday,"Jan 2, 2019"
6,AEL Limassol,Doxa Katokopias,2,0,HomeTeam,2.Matchday,"Sep 1, 2018"
7,Pafos FC,Anorthosis Famagusta,1,1,Draw,2.Matchday,"Sep 1, 2018"
8,Alki Oroklini,Ermis Aradippou,0,2,AwayTeam,2.Matchday,"Sep 2, 2018"
9,Enosis Neon Paralimniou,Nea Salamina Famagusta,3,5,AwayTeam,2.Matchday,"Sep 2, 2018"
10,APOEL Nicosia,Omonia Nicosia,2,0,HomeTeam,2.Matchday,"Oct 31, 2018"
11,AEK Larnaca,Apollon Limassol,0,0,Draw,2.Matchday,"Jan 9, 2019"
12,Doxa Katokopias,Alki Oroklini,4,0,HomeTeam,3.Matchday,"Sep 15, 2018"
13,Apollon Limassol,Pafos FC,5,1,HomeTeam,3.Matchday,"Sep 15, 2018"
14,Nea Salamina Famagusta,AEK Larnaca,1,1,Draw,3.Matchday,"Sep 15, 2018"
15,Omonia Nicosia,Enosis Neon Paralimniou,1,0,HomeTeam,3.Matchday,"Sep 16, 2018"
16,Ermis Aradippou,APOEL Nicosia,0,1,AwayTeam,3.Matchday,"Sep 16, 2018"
17,Anorthosis Famagusta,AEL Limassol,0,1,AwayTeam,3.Matchday,"Sep 17, 2018"
18,Enosis Neon Paralimniou,Ermis Aradippou,2,0,HomeTeam,4.Matchday,"Sep 22, 2018"
19,Pafos FC,AEL Limassol,0,2,AwayTeam,4.Matchday,"Sep 22, 2018"
20,APOEL Nicosia,Doxa Katokopias,2,5,AwayTeam,4.Matchday,"Sep 23, 2018"
21,Alki Oroklini,Anorthosis Famagusta,0,0,Draw,4.Matchday,"Sep 23, 2018"
