,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,FC Viktoria Plzen,FC Bohemians Prag 1905,5,0,HomeTeam,1.Matchday,"Jul 19, 2013"
1,FK Dukla Prag,1.SC Znojmo,1,1,Draw,1.Matchday,"Jul 19, 2013"
2,SK Slavia Prague,FC Banik Ostrava,1,1,Draw,1.Matchday,"Jul 19, 2013"
3,FK Teplice,1.FC Slovácko,3,2,HomeTeam,1.Matchday,"Jul 21, 2013"
4,FK Baumit Jablonec,FC Zbrojovka Brno,0,0,Draw,1.Matchday,"Jul 21, 2013"
5,SK Sigma Olomouc,FC Slovan Liberec,1,2,AwayTeam,1.Matchday,"Jul 21, 2013"
6,FC Vysocina Jihlava,AC Sparta Praha,1,4,AwayTeam,1.Matchday,"Jul 21, 2013"
7,FK Mladá Boleslav,1.FK Pribram,1,1,Draw,1.Matchday,"Jul 22, 2013"
8,1.SC Znojmo,FK Teplice,0,0,Draw,2.Matchday,"Jul 26, 2013"
9,1.FK Pribram,FC Viktoria Plzen,2,4,AwayTeam,2.Matchday,"Jul 26, 2013"
10,1.FC Slovácko,FC Vysocina Jihlava,2,1,HomeTeam,2.Matchday,"Jul 27, 2013"
11,FC Banik Ostrava,FK Mladá Boleslav,2,1,HomeTeam,2.Matchday,"Jul 27, 2013"
12,FK Dukla Prag,SK Sigma Olomouc,4,0,HomeTeam,2.Matchday,"Jul 27, 2013"
13,AC Sparta Praha,FK Baumit Jablonec,2,1,HomeTeam,2.Matchday,"Jul 28, 2013"
14,FC Slovan Liberec,SK Slavia Prague,2,1,HomeTeam,2.Matchday,"Jul 28, 2013"
15,FC Zbrojovka Brno,FC Bohemians Prag 1905,5,1,HomeTeam,2.Matchday,"Jul 29, 2013"
16,FC Vysocina Jihlava,1.SC Znojmo,4,0,HomeTeam,3.Matchday,"Aug 2, 2013"
17,FC Bohemians Prag 1905,1.FK Pribram,2,0,HomeTeam,3.Matchday,"Aug 2, 2013"
18,FC Viktoria Plzen,FC Banik Ostrava,4,0,HomeTeam,3.Matchday,"Aug 3, 2013"
19,FK Baumit Jablonec,1.FC Slovácko,2,1,HomeTeam,3.Matchday,"Aug 4, 2013"
20,FK Teplice,FK Dukla Prag,2,1,HomeTeam,3.Matchday,"Aug 4, 2013"
21,FK Mladá Boleslav,FC Slovan Liberec,4,0,HomeTeam,3.Matchday,"Aug 4, 2013"
22,FC Zbrojovka Brno,AC Sparta Praha,1,3,AwayTeam,3.Matchday,"Aug 4, 2013"
23,SK Slavia Prague,SK Sigma Olomouc,2,3,AwayTeam,3.Matchday,"Aug 5, 2013"
24,FK Dukla Prag,SK Slavia Prague,0,1,AwayTeam,4.Matchday,"Aug 9, 2013"
25,1.FC Slovácko,FK Mladá Boleslav,0,2,AwayTeam,4.Matchday,"Aug 10, 2013"
26,SK Sigma Olomouc,FK Teplice,2,2,Draw,4.Matchday,"Aug 10, 2013"
27,1.FK Pribram,FC Zbrojovka Brno,2,1,HomeTeam,4.Matchday,"Aug 10, 2013"
28,AC Sparta Praha,FC Bohemians Prag 1905,2,1,HomeTeam,4.Matchday,"Aug 10, 2013"
29,FC Slovan Liberec,FC Vysocina Jihlava,1,0,HomeTeam,4.Matchday,"Aug 11, 2013"
30,1.SC Znojmo,FC Viktoria Plzen,0,1,AwayTeam,4.Matchday,"Aug 11, 2013"
31,FC Banik Ostrava,FK Baumit Jablonec,0,4,AwayTeam,4.Matchday,"Aug 12, 2013"
32,FK Mladá Boleslav,SK Sigma Olomouc,2,2,Draw,5.Matchday,"Aug 16, 2013"
33,FC Vysocina Jihlava,FK Dukla Prag,1,1,Draw,5.Matchday,"Aug 17, 2013"
34,FK Baumit Jablonec,1.SC Znojmo,5,5,Draw,5.Matchday,"Aug 17, 2013"
35,1.FK Pribram,FC Banik Ostrava,4,0,HomeTeam,5.Matchday,"Aug 17, 2013"
36,FC Zbrojovka Brno,FC Slovan Liberec,0,1,AwayTeam,5.Matchday,"Aug 17, 2013"
37,FC Viktoria Plzen,AC Sparta Praha,0,0,Draw,5.Matchday,"Aug 17, 2013"
38,FC Bohemians Prag 1905,1.FC Slovácko,1,1,Draw,5.Matchday,"Aug 19, 2013"
39,SK Slavia Prague,FK Teplice,0,7,AwayTeam,5.Matchday,"Aug 19, 2013"
40,FK Dukla Prag,FK Mladá Boleslav,1,1,Draw,6.Matchday,"Aug 23, 2013"
41,AC Sparta Praha,1.FK Pribram,4,0,HomeTeam,6.Matchday,"Aug 23, 2013"
42,1.SC Znojmo,SK Slavia Prague,0,1,AwayTeam,6.Matchday,"Aug 24, 2013"
43,1.FC Slovácko,FC Viktoria Plzen,1,3,AwayTeam,6.Matchday,"Aug 24, 2013"
44,FK Teplice,FC Vysocina Jihlava,4,2,HomeTeam,6.Matchday,"Aug 25, 2013"
45,FC Slovan Liberec,FC Bohemians Prag 1905,1,0,HomeTeam,6.Matchday,"Aug 25, 2013"
46,SK Sigma Olomouc,FK Baumit Jablonec,0,1,AwayTeam,6.Matchday,"Aug 25, 2013"
47,FC Banik Ostrava,FC Zbrojovka Brno,2,1,HomeTeam,6.Matchday,"Aug 26, 2013"
48,FC Zbrojovka Brno,1.FC Slovácko,0,2,AwayTeam,7.Matchday,"Aug 30, 2013"
49,1.FK Pribram,FK Dukla Prag,0,2,AwayTeam,7.Matchday,"Aug 31, 2013"
50,AC Sparta Praha,FC Banik Ostrava,4,1,HomeTeam,7.Matchday,"Aug 31, 2013"
51,FK Mladá Boleslav,FK Teplice,1,0,HomeTeam,7.Matchday,"Sep 1, 2013"
