,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Slovan Bratislava,AS Trencin,3,1,HomeTeam,1.Matchday,"Jul 15, 2011"
1,Dukla Banska Bystrica,FC Nitra,1,2,AwayTeam,1.Matchday,"Jul 16, 2011"
2,FK Senica,1.FC Tatran Presov,3,0,HomeTeam,1.Matchday,"Jul 16, 2011"
3,FC ViOn Zlate Moravce-Vrable,MFK Ruzomberok,1,0,HomeTeam,1.Matchday,"Jul 16, 2011"
4,MSK Zilina,MFK Košice,1,1,Draw,1.Matchday,"Jul 17, 2011"
5,Spartak Trnava,DAC Dunajska Streda,2,1,HomeTeam,1.Matchday,"Jul 17, 2011"
6,AS Trencin,MFK Ruzomberok,1,1,Draw,2.Matchday,"Jul 23, 2011"
7,DAC Dunajska Streda,Dukla Banska Bystrica,1,3,AwayTeam,2.Matchday,"Jul 23, 2011"
8,1.FC Tatran Presov,MSK Zilina,0,0,Draw,2.Matchday,"Jul 23, 2011"
9,FC Nitra,FC ViOn Zlate Moravce-Vrable,0,1,AwayTeam,2.Matchday,"Jul 23, 2011"
10,Slovan Bratislava,FK Senica,3,2,HomeTeam,2.Matchday,"Jul 23, 2011"
11,MFK Košice,Spartak Trnava,1,1,Draw,2.Matchday,"Jul 24, 2011"
12,Dukla Banska Bystrica,MFK Košice,4,0,HomeTeam,3.Matchday,"Jul 30, 2011"
13,MSK Zilina,Slovan Bratislava,2,1,HomeTeam,3.Matchday,"Jul 30, 2011"
14,FC ViOn Zlate Moravce-Vrable,DAC Dunajska Streda,2,1,HomeTeam,3.Matchday,"Jul 30, 2011"
15,MFK Ruzomberok,FC Nitra,0,0,Draw,3.Matchday,"Jul 30, 2011"
16,FK Senica,AS Trencin,4,0,HomeTeam,3.Matchday,"Jul 31, 2011"
17,Spartak Trnava,1.FC Tatran Presov,0,0,Draw,3.Matchday,"Jul 31, 2011"
18,AS Trencin,FC Nitra,0,0,Draw,4.Matchday,"Aug 6, 2011"
19,MFK Košice,FC ViOn Zlate Moravce-Vrable,1,1,Draw,4.Matchday,"Aug 6, 2011"
20,1.FC Tatran Presov,Dukla Banska Bystrica,0,1,AwayTeam,4.Matchday,"Aug 6, 2011"
21,DAC Dunajska Streda,MFK Ruzomberok,0,2,AwayTeam,4.Matchday,"Aug 6, 2011"
22,Slovan Bratislava,Spartak Trnava,2,1,HomeTeam,4.Matchday,"Aug 7, 2011"
23,FK Senica,MSK Zilina,1,2,AwayTeam,4.Matchday,"Aug 7, 2011"
24,FC ViOn Zlate Moravce-Vrable,1.FC Tatran Presov,1,2,AwayTeam,5.Matchday,"Aug 12, 2011"
25,Dukla Banska Bystrica,Slovan Bratislava,1,2,AwayTeam,5.Matchday,"Aug 13, 2011"
26,MSK Zilina,AS Trencin,0,0,Draw,5.Matchday,"Aug 13, 2011"
27,Spartak Trnava,FK Senica,1,1,Draw,5.Matchday,"Aug 13, 2011"
28,MFK Ruzomberok,MFK Košice,1,1,Draw,5.Matchday,"Aug 13, 2011"
29,FC Nitra,DAC Dunajska Streda,2,0,HomeTeam,5.Matchday,"Aug 13, 2011"
30,AS Trencin,DAC Dunajska Streda,1,0,HomeTeam,6.Matchday,"Aug 20, 2011"
31,MFK Košice,FC Nitra,0,2,AwayTeam,6.Matchday,"Aug 20, 2011"
32,1.FC Tatran Presov,MFK Ruzomberok,1,1,Draw,6.Matchday,"Aug 20, 2011"
33,FK Senica,Dukla Banska Bystrica,0,0,Draw,6.Matchday,"Aug 20, 2011"
34,MSK Zilina,Spartak Trnava,0,1,AwayTeam,6.Matchday,"Aug 21, 2011"
35,Slovan Bratislava,FC ViOn Zlate Moravce-Vrable,0,0,Draw,6.Matchday,"Aug 21, 2011"
36,Dukla Banska Bystrica,MSK Zilina,1,3,AwayTeam,7.Matchday,"Aug 27, 2011"
37,FC ViOn Zlate Moravce-Vrable,FK Senica,0,0,Draw,7.Matchday,"Aug 27, 2011"
38,FC Nitra,1.FC Tatran Presov,2,2,Draw,7.Matchday,"Aug 27, 2011"
39,DAC Dunajska Streda,MFK Košice,0,1,AwayTeam,7.Matchday,"Aug 27, 2011"
40,MFK Ruzomberok,Slovan Bratislava,1,0,HomeTeam,7.Matchday,"Aug 28, 2011"
41,Spartak Trnava,AS Trencin,1,0,HomeTeam,7.Matchday,"Aug 28, 2011"
42,FK Senica,MFK Ruzomberok,2,1,HomeTeam,8.Matchday,"Sep 9, 2011"
43,AS Trencin,MFK Košice,4,1,HomeTeam,8.Matchday,"Sep 10, 2011"
44,1.FC Tatran Presov,DAC Dunajska Streda,0,2,AwayTeam,8.Matchday,"Sep 10, 2011"
45,Slovan Bratislava,FC Nitra,0,0,Draw,8.Matchday,"Sep 10, 2011"
46,MSK Zilina,FC ViOn Zlate Moravce-Vrable,2,2,Draw,8.Matchday,"Sep 10, 2011"
47,Spartak Trnava,Dukla Banska Bystrica,3,1,HomeTeam,8.Matchday,"Sep 10, 2011"
48,FC ViOn Zlate Moravce-Vrable,Spartak Trnava,0,1,AwayTeam,9.Matchday,"Sep 17, 2011"
49,MFK Ruzomberok,MSK Zilina,1,2,AwayTeam,9.Matchday,"Sep 17, 2011"
50,FC Nitra,FK Senica,0,0,Draw,9.Matchday,"Sep 17, 2011"
51,MFK Košice,1.FC Tatran Presov,1,0,HomeTeam,9.Matchday,"Sep 17, 2011"
52,Dukla Banska Bystrica,AS Trencin,2,0,HomeTeam,9.Matchday,"Sep 17, 2011"
53,DAC Dunajska Streda,Slovan Bratislava,1,0,HomeTeam,9.Matchday,"Sep 18, 2011"
54,Dukla Banska Bystrica,FC ViOn Zlate Moravce-Vrable,0,1,AwayTeam,10.Matchday,"Sep 23, 2011"
55,Slovan Bratislava,MFK Košice,2,1,HomeTeam,10.Matchday,"Sep 24, 2011"
56,AS Trencin,1.FC Tatran Presov,4,0,HomeTeam,10.Matchday,"Sep 24, 2011"
57,FK Senica,DAC Dunajska Streda,3,0,HomeTeam,10.Matchday,"Sep 24, 2011"
58,Spartak Trnava,MFK Ruzomberok,0,2,AwayTeam,10.Matchday,"Sep 24, 2011"
59,MSK Zilina,FC Nitra,2,0,HomeTeam,10.Matchday,"Sep 24, 2011"
60,FC Nitra,Spartak Trnava,1,3,AwayTeam,11.Matchday,"Sep 30, 2011"
61,MFK Košice,FK Senica,0,1,AwayTeam,11.Matchday,"Oct 1, 2011"
62,FC ViOn Zlate Moravce-Vrable,AS Trencin,3,0,HomeTeam,11.Matchday,"Oct 1, 2011"
63,MFK Ruzomberok,Dukla Banska Bystrica,2,0,HomeTeam,11.Matchday,"Oct 1, 2011"
64,DAC Dunajska Streda,MSK Zilina,2,1,HomeTeam,11.Matchday,"Oct 1, 2011"
65,1.FC Tatran Presov,Slovan Bratislava,0,1,AwayTeam,11.Matchday,"Oct 2, 2011"
66,FC Nitra,Dukla Banska Bystrica,2,2,Draw,12.Matchday,"Oct 14, 2011"
67,1.FC Tatran Presov,FK Senica,0,1,AwayTeam,12.Matchday,"Oct 15, 2011"
68,MFK Košice,MSK Zilina,1,2,AwayTeam,12.Matchday,"Oct 15, 2011"
69,MFK Ruzomberok,FC ViOn Zlate Moravce-Vrable,4,0,HomeTeam,12.Matchday,"Oct 15, 2011"
70,AS Trencin,Slovan Bratislava,2,2,Draw,12.Matchday,"Oct 15, 2011"
71,DAC Dunajska Streda,Spartak Trnava,0,1,AwayTeam,12.Matchday,"Oct 15, 2011"
72,MSK Zilina,1.FC Tatran Presov,1,0,HomeTeam,13.Matchday,"Oct 18, 2011"
73,MFK Ruzomberok,AS Trencin,1,1,Draw,13.Matchday,"Oct 22, 2011"
74,Dukla Banska Bystrica,DAC Dunajska Streda,1,0,HomeTeam,13.Matchday,"Oct 22, 2011"
75,FC ViOn Zlate Moravce-Vrable,FC Nitra,1,1,Draw,13.Matchday,"Oct 22, 2011"
76,Spartak Trnava,MFK Košice,1,0,HomeTeam,13.Matchday,"Oct 22, 2011"
