,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Standard Liège,SV Zulte Waregem,1,1,Draw,1.Matchday,"Jul 30, 2010"
1,KV Kortrijk,Club Brugge KV,1,0,HomeTeam,1.Matchday,"Jul 31, 2010"
2,KV Mechelen,KSC Lokeren,2,0,HomeTeam,1.Matchday,"Jul 31, 2010"
3,RSC Anderlecht,KAS Eupen,4,1,HomeTeam,1.Matchday,"Jul 31, 2010"
4,Sint-Truidense VV,Lierse SK,1,0,HomeTeam,1.Matchday,"Jul 31, 2010"
5,KVC Westerlo,KAA Gent,0,1,AwayTeam,1.Matchday,"Jul 31, 2010"
6,Cercle Brugge,RSC Charleroi,1,1,Draw,1.Matchday,"Aug 1, 2010"
7,KRC Genk,Germinal Beerschot Antwerpen,2,1,HomeTeam,1.Matchday,"Aug 1, 2010"
8,Lierse SK,Standard Liège,1,4,AwayTeam,2.Matchday,"Aug 6, 2010"
9,KAS Eupen,KVC Westerlo,0,1,AwayTeam,2.Matchday,"Aug 7, 2010"
10,Club Brugge KV,Sint-Truidense VV,4,1,HomeTeam,2.Matchday,"Aug 7, 2010"
11,SV Zulte Waregem,KV Mechelen,1,2,AwayTeam,2.Matchday,"Aug 7, 2010"
12,RSC Charleroi,RSC Anderlecht,0,0,Draw,2.Matchday,"Aug 7, 2010"
13,KSC Lokeren,KV Kortrijk,1,1,Draw,2.Matchday,"Aug 7, 2010"
14,KAA Gent,KRC Genk,0,4,AwayTeam,2.Matchday,"Aug 8, 2010"
15,Germinal Beerschot Antwerpen,Cercle Brugge,0,0,Draw,2.Matchday,"Aug 8, 2010"
16,Standard Liège,KSC Lokeren,3,3,Draw,3.Matchday,"Aug 14, 2010"
17,RSC Anderlecht,Germinal Beerschot Antwerpen,4,0,HomeTeam,3.Matchday,"Aug 14, 2010"
18,KAA Gent,KAS Eupen,2,1,HomeTeam,3.Matchday,"Aug 14, 2010"
19,KV Kortrijk,Sint-Truidense VV,2,0,HomeTeam,3.Matchday,"Aug 14, 2010"
20,KV Mechelen,Lierse SK,1,0,HomeTeam,3.Matchday,"Aug 14, 2010"
21,KVC Westerlo,SV Zulte Waregem,1,1,Draw,3.Matchday,"Aug 14, 2010"
22,KRC Genk,RSC Charleroi,5,0,HomeTeam,3.Matchday,"Aug 15, 2010"
23,Cercle Brugge,Club Brugge KV,3,1,HomeTeam,3.Matchday,"Aug 15, 2010"
24,Sint-Truidense VV,Standard Liège,1,0,HomeTeam,4.Matchday,"Aug 20, 2010"
25,SV Zulte Waregem,Cercle Brugge,4,0,HomeTeam,4.Matchday,"Aug 21, 2010"
26,Germinal Beerschot Antwerpen,KVC Westerlo,0,0,Draw,4.Matchday,"Aug 21, 2010"
27,KSC Lokeren,RSC Anderlecht,0,3,AwayTeam,4.Matchday,"Aug 21, 2010"
28,Lierse SK,KV Kortrijk,1,2,AwayTeam,4.Matchday,"Aug 21, 2010"
29,RSC Charleroi,KAA Gent,1,3,AwayTeam,4.Matchday,"Aug 22, 2010"
30,Club Brugge KV,KV Mechelen,1,2,AwayTeam,4.Matchday,"Aug 22, 2010"
31,KAS Eupen,KRC Genk,1,4,AwayTeam,4.Matchday,"Aug 22, 2010"
32,RSC Anderlecht,SV Zulte Waregem,0,0,Draw,5.Matchday,"Aug 28, 2010"
33,Standard Liège,KV Kortrijk,1,0,HomeTeam,5.Matchday,"Aug 28, 2010"
34,RSC Charleroi,KAS Eupen,2,0,HomeTeam,5.Matchday,"Aug 28, 2010"
35,KV Mechelen,Sint-Truidense VV,0,0,Draw,5.Matchday,"Aug 28, 2010"
36,Cercle Brugge,KSC Lokeren,1,1,Draw,5.Matchday,"Aug 28, 2010"
37,KVC Westerlo,Club Brugge KV,1,2,AwayTeam,5.Matchday,"Aug 29, 2010"
38,KAA Gent,Germinal Beerschot Antwerpen,1,0,HomeTeam,5.Matchday,"Aug 29, 2010"
39,KRC Genk,Lierse SK,4,1,HomeTeam,5.Matchday,"Aug 29, 2010"
40,Sint-Truidense VV,RSC Anderlecht,0,2,AwayTeam,6.Matchday,"Sep 10, 2010"
41,SV Zulte Waregem,KAS Eupen,0,0,Draw,6.Matchday,"Sep 11, 2010"
42,Standard Liège,Cercle Brugge,2,0,HomeTeam,6.Matchday,"Sep 11, 2010"
43,Germinal Beerschot Antwerpen,RSC Charleroi,1,0,HomeTeam,6.Matchday,"Sep 11, 2010"
44,KV Kortrijk,KV Mechelen,1,0,HomeTeam,6.Matchday,"Sep 11, 2010"
45,Lierse SK,KAA Gent,2,2,Draw,6.Matchday,"Sep 11, 2010"
46,Club Brugge KV,KRC Genk,2,2,Draw,6.Matchday,"Sep 12, 2010"
47,KSC Lokeren,KVC Westerlo,3,1,HomeTeam,6.Matchday,"Sep 12, 2010"
48,KV Mechelen,Standard Liège,1,0,HomeTeam,7.Matchday,"Sep 17, 2010"
49,KAS Eupen,Germinal Beerschot Antwerpen,0,1,AwayTeam,7.Matchday,"Sep 18, 2010"
50,KVC Westerlo,Lierse SK,2,0,HomeTeam,7.Matchday,"Sep 18, 2010"
51,Cercle Brugge,Sint-Truidense VV,4,2,HomeTeam,7.Matchday,"Sep 18, 2010"
52,KRC Genk,KSC Lokeren,3,1,HomeTeam,7.Matchday,"Sep 18, 2010"
53,KAA Gent,SV Zulte Waregem,5,3,HomeTeam,7.Matchday,"Sep 19, 2010"
54,RSC Charleroi,Club Brugge KV,0,5,AwayTeam,7.Matchday,"Sep 19, 2010"
55,RSC Anderlecht,KV Kortrijk,3,0,HomeTeam,7.Matchday,"Sep 19, 2010"
56,Sint-Truidense VV,KRC Genk,0,2,AwayTeam,8.Matchday,"Sep 21, 2010"
57,Club Brugge KV,KAS Eupen,4,0,HomeTeam,8.Matchday,"Sep 22, 2010"
58,Standard Liège,RSC Charleroi,2,1,HomeTeam,8.Matchday,"Sep 22, 2010"
59,SV Zulte Waregem,Germinal Beerschot Antwerpen,4,3,HomeTeam,8.Matchday,"Sep 22, 2010"
60,KSC Lokeren,KAA Gent,3,2,HomeTeam,8.Matchday,"Sep 22, 2010"
61,KV Kortrijk,KVC Westerlo,1,2,AwayTeam,8.Matchday,"Sep 22, 2010"
62,KV Mechelen,Cercle Brugge,2,2,Draw,8.Matchday,"Sep 22, 2010"
63,Lierse SK,RSC Anderlecht,1,1,Draw,8.Matchday,"Sep 22, 2010"
64,KAA Gent,Sint-Truidense VV,2,0,HomeTeam,9.Matchday,"Sep 25, 2010"
65,KRC Genk,SV Zulte Waregem,3,0,HomeTeam,9.Matchday,"Sep 25, 2010"
66,RSC Charleroi,Lierse SK,0,1,AwayTeam,9.Matchday,"Sep 25, 2010"
67,KAS Eupen,KSC Lokeren,0,1,AwayTeam,9.Matchday,"Sep 25, 2010"
68,KVC Westerlo,Standard Liège,1,2,AwayTeam,9.Matchday,"Sep 25, 2010"
69,Cercle Brugge,KV Kortrijk,2,1,HomeTeam,9.Matchday,"Sep 25, 2010"
70,RSC Anderlecht,KV Mechelen,5,0,HomeTeam,9.Matchday,"Sep 26, 2010"
71,Germinal Beerschot Antwerpen,Club Brugge KV,2,1,HomeTeam,9.Matchday,"Sep 26, 2010"
72,KV Mechelen,KRC Genk,2,2,Draw,10.Matchday,"Oct 1, 2010"
73,Lierse SK,Cercle Brugge,0,1,AwayTeam,10.Matchday,"Oct 2, 2010"
74,Sint-Truidense VV,KVC Westerlo,1,2,AwayTeam,10.Matchday,"Oct 2, 2010"
75,SV Zulte Waregem,RSC Charleroi,1,1,Draw,10.Matchday,"Oct 2, 2010"
76,KSC Lokeren,Germinal Beerschot Antwerpen,1,0,HomeTeam,10.Matchday,"Oct 2, 2010"
77,KV Kortrijk,KAS Eupen,3,1,HomeTeam,10.Matchday,"Oct 2, 2010"
78,Club Brugge KV,KAA Gent,3,2,HomeTeam,10.Matchday,"Oct 3, 2010"
79,Standard Liège,RSC Anderlecht,5,1,HomeTeam,10.Matchday,"Oct 3, 2010"
80,SV Zulte Waregem,Club Brugge KV,2,3,AwayTeam,11.Matchday,"Oct 15, 2010"
81,KVC Westerlo,KV Mechelen,1,1,Draw,11.Matchday,"Oct 16, 2010"
82,RSC Charleroi,KSC Lokeren,1,2,AwayTeam,11.Matchday,"Oct 16, 2010"
83,KAS Eupen,Sint-Truidense VV,6,0,HomeTeam,11.Matchday,"Oct 16, 2010"
84,KAA Gent,KV Kortrijk,2,0,HomeTeam,11.Matchday,"Oct 16, 2010"
