,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,KF Elbasani,KF Skënderbeu,0,1,AwayTeam,1.Matchday,"Aug 23, 2014"
1,Flamurtari FC,KF Teuta,2,1,HomeTeam,1.Matchday,"Aug 23, 2014"
2,KF Tirana,KF Apolonia Fier,3,0,HomeTeam,1.Matchday,"Aug 24, 2014"
3,KF Vllaznia,FK Kukësi,1,2,AwayTeam,1.Matchday,"Aug 24, 2014"
4,KF Laçi,FK Partizani,1,1,Draw,1.Matchday,"Aug 24, 2014"
5,KF Skënderbeu,KF Laçi,2,0,HomeTeam,2.Matchday,"Aug 30, 2014"
6,KF Apolonia Fier,FK Partizani,1,0,HomeTeam,2.Matchday,"Aug 30, 2014"
7,KF Tirana,Flamurtari FC,1,0,HomeTeam,2.Matchday,"Aug 30, 2014"
8,KF Teuta,KF Vllaznia,0,1,AwayTeam,2.Matchday,"Aug 31, 2014"
9,FK Kukësi,KF Elbasani,3,0,HomeTeam,2.Matchday,"Aug 31, 2014"
10,KF Elbasani,KF Teuta,1,5,AwayTeam,3.Matchday,"Sep 10, 2014"
11,KF Laçi,FK Kukësi,0,0,Draw,3.Matchday,"Sep 10, 2014"
12,Flamurtari FC,KF Apolonia Fier,3,0,HomeTeam,3.Matchday,"Sep 10, 2014"
13,KF Vllaznia,KF Tirana,1,1,Draw,3.Matchday,"Sep 11, 2014"
14,FK Partizani,KF Skënderbeu,1,0,HomeTeam,3.Matchday,"Sep 11, 2014"
15,FK Kukësi,FK Partizani,0,1,AwayTeam,4.Matchday,"Sep 14, 2014"
16,KF Tirana,KF Elbasani,2,1,HomeTeam,4.Matchday,"Sep 14, 2014"
17,Flamurtari FC,KF Vllaznia,0,0,Draw,4.Matchday,"Sep 14, 2014"
18,KF Teuta,KF Laçi,0,0,Draw,4.Matchday,"Sep 14, 2014"
19,KF Apolonia Fier,KF Skënderbeu,0,0,Draw,4.Matchday,"Sep 14, 2014"
20,FK Partizani,KF Teuta,2,0,HomeTeam,5.Matchday,"Sep 19, 2014"
21,KF Skënderbeu,FK Kukësi,2,0,HomeTeam,5.Matchday,"Sep 19, 2014"
22,KF Vllaznia,KF Apolonia Fier,2,0,HomeTeam,5.Matchday,"Sep 20, 2014"
23,KF Laçi,KF Tirana,2,0,HomeTeam,5.Matchday,"Sep 20, 2014"
24,KF Elbasani,Flamurtari FC,0,2,AwayTeam,5.Matchday,"Sep 20, 2014"
25,KF Apolonia Fier,FK Kukësi,0,1,AwayTeam,6.Matchday,"Sep 26, 2014"
26,KF Tirana,FK Partizani,0,0,Draw,6.Matchday,"Sep 26, 2014"
27,KF Vllaznia,KF Elbasani,1,0,HomeTeam,6.Matchday,"Sep 27, 2014"
28,KF Teuta,KF Skënderbeu,2,0,HomeTeam,6.Matchday,"Sep 27, 2014"
29,Flamurtari FC,KF Laçi,1,1,Draw,6.Matchday,"Sep 27, 2014"
30,FK Partizani,Flamurtari FC,0,0,Draw,7.Matchday,"Oct 4, 2014"
31,KF Skënderbeu,KF Tirana,0,0,Draw,7.Matchday,"Oct 4, 2014"
32,FK Kukësi,KF Teuta,1,0,HomeTeam,7.Matchday,"Oct 5, 2014"
33,KF Laçi,KF Vllaznia,3,0,HomeTeam,7.Matchday,"Oct 5, 2014"
34,KF Elbasani,KF Apolonia Fier,2,0,HomeTeam,7.Matchday,"Oct 5, 2014"
35,Flamurtari FC,KF Skënderbeu,1,1,Draw,8.Matchday,"Oct 17, 2014"
36,KF Tirana,FK Kukësi,3,1,HomeTeam,8.Matchday,"Oct 18, 2014"
37,KF Elbasani,KF Laçi,0,2,AwayTeam,8.Matchday,"Oct 18, 2014"
38,KF Apolonia Fier,KF Teuta,1,0,HomeTeam,8.Matchday,"Oct 19, 2014"
39,KF Vllaznia,FK Partizani,0,1,AwayTeam,8.Matchday,"Oct 19, 2014"
40,KF Skënderbeu,KF Vllaznia,3,0,HomeTeam,9.Matchday,"Oct 25, 2014"
41,FK Kukësi,Flamurtari FC,2,0,HomeTeam,9.Matchday,"Oct 25, 2014"
42,KF Laçi,KF Apolonia Fier,3,1,HomeTeam,9.Matchday,"Oct 26, 2014"
43,KF Teuta,KF Tirana,0,1,AwayTeam,9.Matchday,"Oct 26, 2014"
44,FK Partizani,KF Elbasani,1,0,HomeTeam,9.Matchday,"Oct 26, 2014"
45,KF Skënderbeu,KF Elbasani,1,0,HomeTeam,10.Matchday,"Oct 29, 2014"
46,FK Kukësi,KF Vllaznia,2,1,HomeTeam,10.Matchday,"Oct 29, 2014"
47,KF Teuta,Flamurtari FC,1,0,HomeTeam,10.Matchday,"Oct 29, 2014"
48,KF Apolonia Fier,KF Tirana,0,3,AwayTeam,10.Matchday,"Oct 29, 2014"
49,FK Partizani,KF Laçi,2,0,HomeTeam,10.Matchday,"Oct 29, 2014"
50,KF Laçi,KF Skënderbeu,0,2,AwayTeam,11.Matchday,"Nov 2, 2014"
51,KF Elbasani,FK Kukësi,0,2,AwayTeam,11.Matchday,"Nov 2, 2014"
52,KF Vllaznia,KF Teuta,1,2,AwayTeam,11.Matchday,"Nov 2, 2014"
53,FK Partizani,KF Apolonia Fier,1,0,HomeTeam,11.Matchday,"Nov 2, 2014"
54,Flamurtari FC,KF Tirana,0,0,Draw,11.Matchday,"Nov 2, 2014"
55,KF Teuta,KF Elbasani,0,2,AwayTeam,12.Matchday,"Nov 8, 2014"
56,KF Tirana,KF Vllaznia,1,0,HomeTeam,12.Matchday,"Nov 8, 2014"
57,KF Skënderbeu,FK Partizani,3,0,HomeTeam,12.Matchday,"Nov 8, 2014"
58,FK Kukësi,KF Laçi,1,0,HomeTeam,12.Matchday,"Nov 9, 2014"
59,KF Apolonia Fier,Flamurtari FC,1,1,Draw,12.Matchday,"Nov 9, 2014"
60,KF Vllaznia,Flamurtari FC,1,0,HomeTeam,13.Matchday,"Nov 22, 2014"
61,KF Skënderbeu,KF Apolonia Fier,6,0,HomeTeam,13.Matchday,"Nov 23, 2014"
62,KF Laçi,KF Teuta,3,0,HomeTeam,13.Matchday,"Nov 23, 2014"
63,KF Elbasani,KF Tirana,2,3,AwayTeam,13.Matchday,"Nov 23, 2014"
64,FK Partizani,FK Kukësi,2,0,HomeTeam,13.Matchday,"Nov 23, 2014"
65,KF Apolonia Fier,KF Vllaznia,0,1,AwayTeam,14.Matchday,"Nov 29, 2014"
66,KF Tirana,KF Laçi,0,0,Draw,14.Matchday,"Nov 30, 2014"
67,FK Kukësi,KF Skënderbeu,1,0,HomeTeam,14.Matchday,"Nov 30, 2014"
68,KF Teuta,FK Partizani,0,1,AwayTeam,14.Matchday,"Nov 30, 2014"
69,Flamurtari FC,KF Elbasani,2,0,HomeTeam,14.Matchday,"Dec 1, 2014"
70,KF Skënderbeu,KF Teuta,3,2,HomeTeam,15.Matchday,"Dec 6, 2014"
71,FK Kukësi,KF Apolonia Fier,0,0,Draw,15.Matchday,"Dec 6, 2014"
72,KF Elbasani,KF Vllaznia,1,4,AwayTeam,15.Matchday,"Dec 7, 2014"
73,KF Laçi,Flamurtari FC,1,1,Draw,15.Matchday,"Dec 7, 2014"
74,FK Partizani,KF Tirana,2,0,HomeTeam,15.Matchday,"Dec 8, 2014"
75,KF Teuta,FK Kukësi,0,3,AwayTeam,16.Matchday,"Dec 12, 2014"
76,KF Vllaznia,KF Laçi,1,0,HomeTeam,16.Matchday,"Dec 13, 2014"
77,KF Tirana,KF Skënderbeu,2,0,HomeTeam,16.Matchday,"Dec 13, 2014"
78,Flamurtari FC,FK Partizani,1,0,HomeTeam,16.Matchday,"Dec 13, 2014"
79,KF Apolonia Fier,KF Elbasani,0,1,AwayTeam,16.Matchday,"Dec 13, 2014"
80,KF Teuta,KF Apolonia Fier,1,0,HomeTeam,17.Matchday,"Dec 17, 2014"
81,FK Kukësi,KF Tirana,1,0,HomeTeam,17.Matchday,"Dec 17, 2014"
82,KF Laçi,KF Elbasani,1,0,HomeTeam,17.Matchday,"Dec 17, 2014"
83,FK Partizani,KF Vllaznia,0,1,AwayTeam,17.Matchday,"Dec 17, 2014"
84,KF Skënderbeu,Flamurtari FC,1,0,HomeTeam,17.Matchday,"Dec 17, 2014"
85,KF Apolonia Fier,KF Laçi,0,2,AwayTeam,18.Matchday,"Dec 20, 2014"
86,KF Elbasani,FK Partizani,0,1,AwayTeam,18.Matchday,"Dec 20, 2014"
87,Flamurtari FC,FK Kukësi,0,1,AwayTeam,18.Matchday,"Dec 21, 2014"
88,KF Tirana,KF Teuta,4,2,HomeTeam,18.Matchday,"Dec 21, 2014"
89,KF Vllaznia,KF Skënderbeu,0,1,AwayTeam,18.Matchday,"Dec 21, 2014"
90,KF Tirana,KF Apolonia Fier,2,0,HomeTeam,19.Matchday,"Jan 24, 2015"
91,Flamurtari FC,KF Teuta,2,1,HomeTeam,19.Matchday,"Jan 24, 2015"
92,KF Vllaznia,FK Kukësi,1,2,AwayTeam,19.Matchday,"Jan 24, 2015"
93,KF Laçi,FK Partizani,1,1,Draw,19.Matchday,"Jan 25, 2015"
94,KF Elbasani,KF Skënderbeu,1,4,AwayTeam,19.Matchday,"Jan 25, 2015"
95,KF Tirana,Flamurtari FC,1,0,HomeTeam,20.Matchday,"Jan 30, 2015"
96,KF Teuta,KF Vllaznia,2,1,HomeTeam,20.Matchday,"Jan 31, 2015"
97,KF Skënderbeu,KF Laçi,0,0,Draw,20.Matchday,"Jan 31, 2015"
98,FK Kukësi,KF Elbasani,3,0,HomeTeam,20.Matchday,"Jan 31, 2015"
99,KF Apolonia Fier,FK Partizani,0,2,AwayTeam,20.Matchday,"Jan 31, 2015"
100,KF Elbasani,KF Teuta,1,0,HomeTeam,21.Matchday,"Feb 8, 2015"
101,KF Laçi,FK Kukësi,2,1,HomeTeam,21.Matchday,"Feb 8, 2015"
102,KF Vllaznia,KF Tirana,0,1,AwayTeam,21.Matchday,"Feb 8, 2015"
103,Flamurtari FC,KF Apolonia Fier,1,0,HomeTeam,21.Matchday,"Feb 8, 2015"
104,FK Partizani,KF Skënderbeu,0,0,Draw,21.Matchday,"Feb 9, 2015"
105,KF Teuta,KF Laçi,1,3,AwayTeam,22.Matchday,"Feb 14, 2015"
106,KF Tirana,KF Elbasani,2,0,HomeTeam,22.Matchday,"Feb 14, 2015"
107,FK Kukësi,FK Partizani,3,0,HomeTeam,22.Matchday,"Feb 14, 2015"
108,KF Apolonia Fier,KF Skënderbeu,0,1,AwayTeam,22.Matchday,"Feb 14, 2015"
109,Flamurtari FC,KF Vllaznia,3,0,HomeTeam,22.Matchday,"Feb 14, 2015"
