,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Celta de Vigo,Málaga CF,0,1,AwayTeam,1.Matchday,"Aug 18, 2012"
1,Sevilla FC,Getafe CF,2,1,HomeTeam,1.Matchday,"Aug 18, 2012"
2,RCD Mallorca,RCD Espanyol Barcelona,2,1,HomeTeam,1.Matchday,"Aug 18, 2012"
3,Athletic Bilbao,Real Betis Balompié,3,5,AwayTeam,1.Matchday,"Aug 19, 2012"
4,Real Madrid,Valencia CF,1,1,Draw,1.Matchday,"Aug 19, 2012"
5,FC Barcelona,Real Sociedad,5,1,HomeTeam,1.Matchday,"Aug 19, 2012"
6,Levante UD,Atlético Madrid,1,1,Draw,1.Matchday,"Aug 19, 2012"
7,Deportivo de La Coruña,CA Osasuna,2,0,HomeTeam,1.Matchday,"Aug 20, 2012"
8,Rayo Vallecano,Granada CF,1,0,HomeTeam,1.Matchday,"Aug 20, 2012"
9,Real Zaragoza,Real Valladolid CF,0,1,AwayTeam,1.Matchday,"Aug 20, 2012"
10,Real Sociedad,Celta de Vigo,2,1,HomeTeam,2.Matchday,"Aug 25, 2012"
11,RCD Espanyol Barcelona,Real Zaragoza,1,2,AwayTeam,2.Matchday,"Aug 25, 2012"
12,Real Betis Balompié,Rayo Vallecano,1,2,AwayTeam,2.Matchday,"Aug 25, 2012"
13,Málaga CF,RCD Mallorca,1,1,Draw,2.Matchday,"Aug 25, 2012"
14,CA Osasuna,FC Barcelona,1,2,AwayTeam,2.Matchday,"Aug 26, 2012"
15,Getafe CF,Real Madrid,2,1,HomeTeam,2.Matchday,"Aug 26, 2012"
16,Granada CF,Sevilla FC,1,1,Draw,2.Matchday,"Aug 26, 2012"
17,Valencia CF,Deportivo de La Coruña,3,3,Draw,2.Matchday,"Aug 26, 2012"
18,Real Valladolid CF,Levante UD,2,0,HomeTeam,2.Matchday,"Aug 27, 2012"
19,Atlético Madrid,Athletic Bilbao,4,0,HomeTeam,2.Matchday,"Aug 27, 2012"
20,Celta de Vigo,CA Osasuna,2,0,HomeTeam,3.Matchday,"Sep 1, 2012"
21,Real Zaragoza,Málaga CF,0,1,AwayTeam,3.Matchday,"Sep 1, 2012"
22,Deportivo de La Coruña,Getafe CF,1,1,Draw,3.Matchday,"Sep 1, 2012"
23,RCD Mallorca,Real Sociedad,1,0,HomeTeam,3.Matchday,"Sep 1, 2012"
24,Rayo Vallecano,Sevilla FC,0,0,Draw,3.Matchday,"Sep 2, 2012"
25,Athletic Bilbao,Real Valladolid CF,2,0,HomeTeam,3.Matchday,"Sep 2, 2012"
26,Levante UD,RCD Espanyol Barcelona,3,2,HomeTeam,3.Matchday,"Sep 2, 2012"
27,Real Madrid,Granada CF,3,0,HomeTeam,3.Matchday,"Sep 2, 2012"
28,FC Barcelona,Valencia CF,1,0,HomeTeam,3.Matchday,"Sep 2, 2012"
29,Real Betis Balompié,Atlético Madrid,2,4,AwayTeam,3.Matchday,"Sep 26, 2012"
30,Málaga CF,Levante UD,3,1,HomeTeam,4.Matchday,"Sep 15, 2012"
31,Valencia CF,Celta de Vigo,2,1,HomeTeam,4.Matchday,"Sep 15, 2012"
32,Getafe CF,FC Barcelona,1,4,AwayTeam,4.Matchday,"Sep 15, 2012"
33,Sevilla FC,Real Madrid,1,0,HomeTeam,4.Matchday,"Sep 15, 2012"
34,RCD Espanyol Barcelona,Athletic Bilbao,3,3,Draw,4.Matchday,"Sep 16, 2012"
35,Granada CF,Deportivo de La Coruña,1,1,Draw,4.Matchday,"Sep 16, 2012"
36,CA Osasuna,RCD Mallorca,1,1,Draw,4.Matchday,"Sep 16, 2012"
37,Real Sociedad,Real Zaragoza,2,0,HomeTeam,4.Matchday,"Sep 16, 2012"
38,Atlético Madrid,Rayo Vallecano,4,3,HomeTeam,4.Matchday,"Sep 16, 2012"
39,Real Valladolid CF,Real Betis Balompié,0,1,AwayTeam,4.Matchday,"Sep 17, 2012"
40,Real Zaragoza,CA Osasuna,3,1,HomeTeam,5.Matchday,"Sep 22, 2012"
41,Celta de Vigo,Getafe CF,2,1,HomeTeam,5.Matchday,"Sep 22, 2012"
42,Real Betis Balompié,RCD Espanyol Barcelona,1,0,HomeTeam,5.Matchday,"Sep 22, 2012"
43,FC Barcelona,Granada CF,2,0,HomeTeam,5.Matchday,"Sep 22, 2012"
44,RCD Mallorca,Valencia CF,2,0,HomeTeam,5.Matchday,"Sep 23, 2012"
45,Levante UD,Real Sociedad,2,1,HomeTeam,5.Matchday,"Sep 23, 2012"
46,Atlético Madrid,Real Valladolid CF,2,1,HomeTeam,5.Matchday,"Sep 23, 2012"
47,Athletic Bilbao,Málaga CF,0,0,Draw,5.Matchday,"Sep 23, 2012"
48,Rayo Vallecano,Real Madrid,0,2,AwayTeam,5.Matchday,"Sep 24, 2012"
49,Deportivo de La Coruña,Sevilla FC,0,2,AwayTeam,5.Matchday,"Sep 24, 2012"
50,Valencia CF,Real Zaragoza,2,0,HomeTeam,6.Matchday,"Sep 29, 2012"
51,Málaga CF,Real Betis Balompié,4,0,HomeTeam,6.Matchday,"Sep 29, 2012"
52,Real Sociedad,Athletic Bilbao,2,0,HomeTeam,6.Matchday,"Sep 29, 2012"
53,Sevilla FC,FC Barcelona,2,3,AwayTeam,6.Matchday,"Sep 29, 2012"
54,Granada CF,Celta de Vigo,2,1,HomeTeam,6.Matchday,"Sep 30, 2012"
55,Real Valladolid CF,Rayo Vallecano,6,1,HomeTeam,6.Matchday,"Sep 30, 2012"
56,CA Osasuna,Levante UD,4,0,HomeTeam,6.Matchday,"Sep 30, 2012"
57,Real Madrid,Deportivo de La Coruña,5,1,HomeTeam,6.Matchday,"Sep 30, 2012"
58,RCD Espanyol Barcelona,Atlético Madrid,0,1,AwayTeam,6.Matchday,"Sep 30, 2012"
59,Getafe CF,RCD Mallorca,1,0,HomeTeam,6.Matchday,"Oct 1, 2012"
60,Celta de Vigo,Sevilla FC,2,0,HomeTeam,7.Matchday,"Oct 5, 2012"
61,Rayo Vallecano,Deportivo de La Coruña,2,1,HomeTeam,7.Matchday,"Oct 6, 2012"
62,Real Zaragoza,Getafe CF,0,1,AwayTeam,7.Matchday,"Oct 6, 2012"
63,Real Valladolid CF,RCD Espanyol Barcelona,1,1,Draw,7.Matchday,"Oct 6, 2012"
64,Real Betis Balompié,Real Sociedad,2,0,HomeTeam,7.Matchday,"Oct 6, 2012"
65,Levante UD,Valencia CF,1,0,HomeTeam,7.Matchday,"Oct 7, 2012"
66,RCD Mallorca,Granada CF,1,2,AwayTeam,7.Matchday,"Oct 7, 2012"
67,Athletic Bilbao,CA Osasuna,1,0,HomeTeam,7.Matchday,"Oct 7, 2012"
68,FC Barcelona,Real Madrid,2,2,Draw,7.Matchday,"Oct 7, 2012"
69,Atlético Madrid,Málaga CF,2,1,HomeTeam,7.Matchday,"Oct 7, 2012"
70,Málaga CF,Real Valladolid CF,2,1,HomeTeam,8.Matchday,"Oct 20, 2012"
71,Real Madrid,Celta de Vigo,2,0,HomeTeam,8.Matchday,"Oct 20, 2012"
72,Valencia CF,Athletic Bilbao,3,2,HomeTeam,8.Matchday,"Oct 20, 2012"
73,Deportivo de La Coruña,FC Barcelona,4,5,AwayTeam,8.Matchday,"Oct 20, 2012"
74,Getafe CF,Levante UD,0,1,AwayTeam,8.Matchday,"Oct 21, 2012"
75,RCD Espanyol Barcelona,Rayo Vallecano,3,2,HomeTeam,8.Matchday,"Oct 21, 2012"
76,Granada CF,Real Zaragoza,1,2,AwayTeam,8.Matchday,"Oct 21, 2012"
77,CA Osasuna,Real Betis Balompié,0,0,Draw,8.Matchday,"Oct 21, 2012"
78,Real Sociedad,Atlético Madrid,0,1,AwayTeam,8.Matchday,"Oct 21, 2012"
79,Sevilla FC,RCD Mallorca,3,2,HomeTeam,8.Matchday,"Oct 22, 2012"
80,RCD Espanyol Barcelona,Málaga CF,0,0,Draw,9.Matchday,"Oct 27, 2012"
81,Real Betis Balompié,Valencia CF,1,0,HomeTeam,9.Matchday,"Oct 27, 2012"
