,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,FC Vaslui,UTA Arad,2,2,Draw,1.Matchday,"Jul 27, 2007"
1,Steaua Bukarest,Ceahlaul Piatra Neamt,2,1,HomeTeam,1.Matchday,"Jul 27, 2007"
2,CS Mioveni,FC Rapid 1923,1,2,AwayTeam,1.Matchday,"Jul 28, 2007"
3,Universitatea Craiova,Farul Constanta,4,0,HomeTeam,1.Matchday,"Jul 28, 2007"
4,Gloria Buzau,Dinamo Bukarest,1,2,AwayTeam,1.Matchday,"Jul 29, 2007"
5,Universitatea Cluj,Pandurii Targu Jiu,1,1,Draw,1.Matchday,"Jul 29, 2007"
6,Politehnica Timisoara,Politehnica Iasi,3,1,HomeTeam,1.Matchday,"Jul 29, 2007"
7,Otelul Galati,CFR Cluj,0,1,AwayTeam,1.Matchday,"Aug 1, 2007"
8,Gloria Bistrita,Unirea Urziceni,2,2,Draw,1.Matchday,"Aug 2, 2007"
9,Farul Constanta,Steaua Bukarest,0,1,AwayTeam,2.Matchday,"Aug 3, 2007"
10,Ceahlaul Piatra Neamt,Gloria Buzau,4,0,HomeTeam,2.Matchday,"Aug 3, 2007"
11,Politehnica Iasi,Universitatea Craiova,2,1,HomeTeam,2.Matchday,"Aug 4, 2007"
12,UTA Arad,CS Mioveni,1,0,HomeTeam,2.Matchday,"Aug 4, 2007"
13,Dinamo Bukarest,FC Vaslui,0,2,AwayTeam,2.Matchday,"Aug 4, 2007"
14,Unirea Urziceni,Universitatea Cluj,3,2,HomeTeam,2.Matchday,"Aug 5, 2007"
15,Pandurii Targu Jiu,Otelul Galati,1,0,HomeTeam,2.Matchday,"Aug 5, 2007"
16,FC Rapid 1923,Gloria Bistrita,2,2,Draw,2.Matchday,"Aug 5, 2007"
17,CFR Cluj,Politehnica Timisoara,2,2,Draw,2.Matchday,"Aug 5, 2007"
18,CS Mioveni,FC Vaslui,2,2,Draw,3.Matchday,"Aug 10, 2007"
19,Ceahlaul Piatra Neamt,Dinamo Bukarest,0,3,AwayTeam,3.Matchday,"Aug 10, 2007"
20,Otelul Galati,Unirea Urziceni,3,2,HomeTeam,3.Matchday,"Aug 11, 2007"
21,Gloria Bistrita,UTA Arad,2,1,HomeTeam,3.Matchday,"Aug 11, 2007"
22,Politehnica Timisoara,Pandurii Targu Jiu,3,1,HomeTeam,3.Matchday,"Aug 11, 2007"
23,Steaua Bukarest,Politehnica Iasi,1,0,HomeTeam,3.Matchday,"Aug 11, 2007"
24,Gloria Buzau,Farul Constanta,1,0,HomeTeam,3.Matchday,"Aug 12, 2007"
25,Universitatea Cluj,FC Rapid 1923,1,2,AwayTeam,3.Matchday,"Aug 12, 2007"
26,Universitatea Craiova,CFR Cluj,1,3,AwayTeam,3.Matchday,"Aug 12, 2007"
27,Unirea Urziceni,Politehnica Timisoara,4,1,HomeTeam,4.Matchday,"Aug 17, 2007"
28,Politehnica Iasi,Gloria Buzau,3,0,HomeTeam,4.Matchday,"Aug 17, 2007"
29,FC Vaslui,Gloria Bistrita,2,0,HomeTeam,4.Matchday,"Aug 18, 2007"
30,Pandurii Targu Jiu,Universitatea Craiova,2,0,HomeTeam,4.Matchday,"Aug 18, 2007"
31,Dinamo Bukarest,CS Mioveni,1,1,Draw,4.Matchday,"Aug 18, 2007"
32,UTA Arad,Universitatea Cluj,1,1,Draw,4.Matchday,"Aug 19, 2007"
33,FC Rapid 1923,Otelul Galati,4,2,HomeTeam,4.Matchday,"Aug 19, 2007"
34,Farul Constanta,Ceahlaul Piatra Neamt,2,0,HomeTeam,4.Matchday,"Aug 19, 2007"
35,CFR Cluj,Steaua Bukarest,0,0,Draw,4.Matchday,"Aug 19, 2007"
36,Ceahlaul Piatra Neamt,Politehnica Iasi,1,0,HomeTeam,5.Matchday,"Aug 24, 2007"
37,Universitatea Craiova,Unirea Urziceni,0,1,AwayTeam,5.Matchday,"Aug 24, 2007"
38,Otelul Galati,UTA Arad,2,1,HomeTeam,5.Matchday,"Aug 25, 2007"
39,Gloria Buzau,CFR Cluj,1,2,AwayTeam,5.Matchday,"Aug 25, 2007"
40,Universitatea Cluj,FC Vaslui,2,3,AwayTeam,5.Matchday,"Aug 25, 2007"
41,Gloria Bistrita,CS Mioveni,1,0,HomeTeam,5.Matchday,"Aug 26, 2007"
42,Politehnica Timisoara,FC Rapid 1923,1,1,Draw,5.Matchday,"Aug 26, 2007"
43,Farul Constanta,Dinamo Bukarest,0,1,AwayTeam,5.Matchday,"Oct 24, 2007"
44,Steaua Bukarest,Pandurii Targu Jiu,0,0,Draw,5.Matchday,"Nov 12, 2007"
45,Pandurii Targu Jiu,Gloria Buzau,3,0,HomeTeam,6.Matchday,"Aug 31, 2007"
46,UTA Arad,Politehnica Timisoara,2,3,AwayTeam,6.Matchday,"Sep 1, 2007"
47,Politehnica Iasi,Farul Constanta,1,1,Draw,6.Matchday,"Sep 1, 2007"
48,FC Rapid 1923,Universitatea Craiova,2,0,HomeTeam,6.Matchday,"Sep 1, 2007"
49,Dinamo Bukarest,Gloria Bistrita,0,1,AwayTeam,6.Matchday,"Sep 1, 2007"
50,Unirea Urziceni,Steaua Bukarest,1,0,HomeTeam,6.Matchday,"Sep 2, 2007"
51,FC Vaslui,Otelul Galati,2,0,HomeTeam,6.Matchday,"Sep 2, 2007"
52,CS Mioveni,Universitatea Cluj,1,0,HomeTeam,6.Matchday,"Sep 2, 2007"
53,CFR Cluj,Ceahlaul Piatra Neamt,2,1,HomeTeam,6.Matchday,"Sep 2, 2007"
54,Gloria Buzau,Unirea Urziceni,0,0,Draw,7.Matchday,"Sep 14, 2007"
55,Otelul Galati,CS Mioveni,3,1,HomeTeam,7.Matchday,"Sep 15, 2007"
56,Universitatea Cluj,Gloria Bistrita,2,2,Draw,7.Matchday,"Sep 15, 2007"
57,Universitatea Craiova,UTA Arad,0,1,AwayTeam,7.Matchday,"Sep 15, 2007"
58,Politehnica Timisoara,FC Vaslui,2,1,HomeTeam,7.Matchday,"Sep 15, 2007"
59,Politehnica Iasi,Dinamo Bukarest,2,5,AwayTeam,7.Matchday,"Sep 15, 2007"
60,Farul Constanta,CFR Cluj,0,2,AwayTeam,7.Matchday,"Sep 16, 2007"
61,Ceahlaul Piatra Neamt,Pandurii Targu Jiu,2,1,HomeTeam,7.Matchday,"Sep 16, 2007"
62,Steaua Bukarest,FC Rapid 1923,0,0,Draw,7.Matchday,"Sep 16, 2007"
63,Pandurii Targu Jiu,Farul Constanta,0,1,AwayTeam,8.Matchday,"Sep 21, 2007"
64,Unirea Urziceni,Ceahlaul Piatra Neamt,2,0,HomeTeam,8.Matchday,"Sep 22, 2007"
65,Gloria Bistrita,Otelul Galati,2,1,HomeTeam,8.Matchday,"Sep 22, 2007"
66,UTA Arad,Steaua Bukarest,1,1,Draw,8.Matchday,"Sep 22, 2007"
67,CS Mioveni,Politehnica Timisoara,2,2,Draw,8.Matchday,"Sep 22, 2007"
68,FC Vaslui,Universitatea Craiova,2,0,HomeTeam,8.Matchday,"Sep 23, 2007"
69,FC Rapid 1923,Gloria Buzau,0,0,Draw,8.Matchday,"Sep 23, 2007"
70,CFR Cluj,Politehnica Iasi,2,1,HomeTeam,8.Matchday,"Sep 23, 2007"
71,Dinamo Bukarest,Universitatea Cluj,2,1,HomeTeam,8.Matchday,"Sep 23, 2007"
72,Farul Constanta,Unirea Urziceni,0,1,AwayTeam,9.Matchday,"Sep 29, 2007"
73,Gloria Buzau,UTA Arad,1,0,HomeTeam,9.Matchday,"Sep 29, 2007"
74,Politehnica Timisoara,Gloria Bistrita,3,1,HomeTeam,9.Matchday,"Sep 29, 2007"
75,Steaua Bukarest,FC Vaslui,1,0,HomeTeam,9.Matchday,"Sep 29, 2007"
76,Otelul Galati,Universitatea Cluj,2,1,HomeTeam,9.Matchday,"Sep 30, 2007"
77,Politehnica Iasi,Pandurii Targu Jiu,1,0,HomeTeam,9.Matchday,"Sep 30, 2007"
78,Universitatea Craiova,CS Mioveni,1,0,HomeTeam,9.Matchday,"Sep 30, 2007"
79,CFR Cluj,Dinamo Bukarest,1,1,Draw,9.Matchday,"Sep 30, 2007"
80,Ceahlaul Piatra Neamt,FC Rapid 1923,0,1,AwayTeam,9.Matchday,"Dec 19, 2007"
81,Gloria Bistrita,Universitatea Craiova,0,1,AwayTeam,10.Matchday,"Oct 5, 2007"
82,Pandurii Targu Jiu,CFR Cluj,0,1,AwayTeam,10.Matchday,"Oct 6, 2007"
83,Universitatea Cluj,Politehnica Timisoara,1,2,AwayTeam,10.Matchday,"Oct 6, 2007"
84,UTA Arad,Ceahlaul Piatra Neamt,0,1,AwayTeam,10.Matchday,"Oct 6, 2007"
85,Unirea Urziceni,Politehnica Iasi,1,0,HomeTeam,10.Matchday,"Oct 7, 2007"
86,FC Vaslui,Gloria Buzau,4,1,HomeTeam,10.Matchday,"Oct 7, 2007"
87,Dinamo Bukarest,Otelul Galati,6,1,HomeTeam,10.Matchday,"Oct 7, 2007"
