,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,CD Tondela,Sporting CP,1,2,AwayTeam,1.Matchday,"Aug 14, 2015"
1,Belenenses SAD,Rio Ave FC,3,3,Draw,1.Matchday,"Aug 15, 2015"
2,FC Porto,Vitória Guimarães SC,3,0,HomeTeam,1.Matchday,"Aug 15, 2015"
3,Vitória Setúbal FC,Boavista Porto FC,2,2,Draw,1.Matchday,"Aug 16, 2015"
4,CF União Madeira,CS Marítimo,2,1,HomeTeam,1.Matchday,"Aug 16, 2015"
5,Moreirense FC,FC Arouca,0,2,AwayTeam,1.Matchday,"Aug 16, 2015"
6,SC Braga,CD Nacional,2,1,HomeTeam,1.Matchday,"Aug 16, 2015"
7,SL Benfica,Estoril Praia,4,0,HomeTeam,1.Matchday,"Aug 16, 2015"
8,FC Paços de Ferreira,Académica Coimbra,1,0,HomeTeam,1.Matchday,"Aug 17, 2015"
9,Rio Ave FC,SC Braga,1,0,HomeTeam,2.Matchday,"Aug 21, 2015"
10,Sporting CP,FC Paços de Ferreira,1,1,Draw,2.Matchday,"Aug 22, 2015"
11,CS Marítimo,FC Porto,1,1,Draw,2.Matchday,"Aug 22, 2015"
12,Boavista Porto FC,CD Tondela,1,0,HomeTeam,2.Matchday,"Aug 23, 2015"
13,Estoril Praia,Moreirense FC,2,0,HomeTeam,2.Matchday,"Aug 23, 2015"
14,CD Nacional,CF União Madeira,1,0,HomeTeam,2.Matchday,"Aug 23, 2015"
15,Vitória Guimarães SC,Belenenses SAD,1,1,Draw,2.Matchday,"Aug 23, 2015"
16,FC Arouca,SL Benfica,1,0,HomeTeam,2.Matchday,"Aug 23, 2015"
17,Académica Coimbra,Vitória Setúbal FC,0,4,AwayTeam,2.Matchday,"Aug 24, 2015"
18,Vitória Setúbal FC,Rio Ave FC,2,2,Draw,3.Matchday,"Aug 29, 2015"
19,FC Porto,Estoril Praia,2,0,HomeTeam,3.Matchday,"Aug 29, 2015"
20,SL Benfica,Moreirense FC,3,2,HomeTeam,3.Matchday,"Aug 29, 2015"
21,CD Tondela,CD Nacional,1,0,HomeTeam,3.Matchday,"Aug 30, 2015"
22,FC Paços de Ferreira,FC Arouca,1,1,Draw,3.Matchday,"Aug 30, 2015"
23,SC Braga,Boavista Porto FC,4,0,HomeTeam,3.Matchday,"Aug 30, 2015"
24,Académica Coimbra,Sporting CP,1,3,AwayTeam,3.Matchday,"Aug 30, 2015"
25,Belenenses SAD,CS Marítimo,1,1,Draw,3.Matchday,"Aug 31, 2015"
26,CF União Madeira,Vitória Guimarães SC,0,0,Draw,3.Matchday,"Aug 31, 2015"
27,SL Benfica,Belenenses SAD,6,0,HomeTeam,4.Matchday,"Sep 11, 2015"
28,Estoril Praia,SC Braga,1,0,HomeTeam,4.Matchday,"Sep 12, 2015"
29,FC Arouca,FC Porto,1,3,AwayTeam,4.Matchday,"Sep 12, 2015"
30,CS Marítimo,Vitória Setúbal FC,5,2,HomeTeam,4.Matchday,"Sep 13, 2015"
31,Moreirense FC,CF União Madeira,0,0,Draw,4.Matchday,"Sep 13, 2015"
32,CD Nacional,Académica Coimbra,2,0,HomeTeam,4.Matchday,"Sep 13, 2015"
33,Vitória Guimarães SC,CD Tondela,1,0,HomeTeam,4.Matchday,"Sep 13, 2015"
34,Rio Ave FC,Sporting CP,1,2,AwayTeam,4.Matchday,"Sep 13, 2015"
35,Boavista Porto FC,FC Paços de Ferreira,0,1,AwayTeam,4.Matchday,"Sep 14, 2015"
36,Vitória Setúbal FC,Vitória Guimarães SC,2,2,Draw,5.Matchday,"Sep 18, 2015"
37,CD Tondela,Estoril Praia,0,1,AwayTeam,5.Matchday,"Sep 19, 2015"
38,FC Paços de Ferreira,Rio Ave FC,0,3,AwayTeam,5.Matchday,"Sep 19, 2015"
39,Académica Coimbra,Boavista Porto FC,0,2,AwayTeam,5.Matchday,"Sep 20, 2015"
40,CF União Madeira,FC Arouca,0,0,Draw,5.Matchday,"Sep 20, 2015"
41,FC Porto,SL Benfica,1,0,HomeTeam,5.Matchday,"Sep 20, 2015"
42,Belenenses SAD,Moreirense FC,2,0,HomeTeam,5.Matchday,"Sep 21, 2015"
43,SC Braga,CS Marítimo,5,1,HomeTeam,5.Matchday,"Sep 21, 2015"
44,Sporting CP,CD Nacional,1,0,HomeTeam,5.Matchday,"Sep 21, 2015"
45,Moreirense FC,FC Porto,2,2,Draw,6.Matchday,"Sep 25, 2015"
46,SL Benfica,FC Paços de Ferreira,3,0,HomeTeam,6.Matchday,"Sep 26, 2015"
47,Boavista Porto FC,Sporting CP,0,0,Draw,6.Matchday,"Sep 26, 2015"
