,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Paris Saint-Germain,FC Metz,4,1,HomeTeam,1.Matchday,"Jul 29, 2005"
1,Olympique Marseille,FC Girondins Bordeaux,0,2,AwayTeam,1.Matchday,"Jul 30, 2005"
2,LOSC Lille,Stade Rennais FC,1,0,HomeTeam,1.Matchday,"Jul 30, 2005"
3,RC Strasbourg Alsace,AJ Auxerre,0,0,Draw,1.Matchday,"Jul 30, 2005"
4,AS Saint-Étienne,AC Ajaccio,0,0,Draw,1.Matchday,"Jul 30, 2005"
5,FC Sochaux-Montbéliard,FC Toulouse,0,1,AwayTeam,1.Matchday,"Jul 30, 2005"
6,OGC Nice,ES Troyes AC,1,1,Draw,1.Matchday,"Jul 30, 2005"
7,FC Nantes,RC Lens,2,0,HomeTeam,1.Matchday,"Jul 30, 2005"
8,AS Nancy-Lorraine,AS Monaco,0,1,AwayTeam,1.Matchday,"Jul 30, 2005"
9,Le Mans Union Club 72,Olympique Lyon,1,2,AwayTeam,1.Matchday,"Jul 31, 2005"
10,RC Lens,Olympique Marseille,2,0,HomeTeam,2.Matchday,"Aug 6, 2005"
11,AS Monaco,AJ Auxerre,0,2,AwayTeam,2.Matchday,"Aug 6, 2005"
12,FC Metz,Le Mans Union Club 72,0,0,Draw,2.Matchday,"Aug 6, 2005"
13,FC Girondins Bordeaux,AS Nancy-Lorraine,1,0,HomeTeam,2.Matchday,"Aug 6, 2005"
14,AC Ajaccio,LOSC Lille,3,3,Draw,2.Matchday,"Aug 6, 2005"
15,ES Troyes AC,AS Saint-Étienne,0,0,Draw,2.Matchday,"Aug 6, 2005"
16,FC Sochaux-Montbéliard,Paris Saint-Germain,0,1,AwayTeam,2.Matchday,"Aug 6, 2005"
17,FC Toulouse,OGC Nice,0,2,AwayTeam,2.Matchday,"Aug 6, 2005"
18,Stade Rennais FC,FC Nantes,0,3,AwayTeam,2.Matchday,"Aug 7, 2005"
19,Olympique Lyon,RC Strasbourg Alsace,1,0,HomeTeam,2.Matchday,"Aug 7, 2005"
20,Paris Saint-Germain,FC Toulouse,2,0,HomeTeam,3.Matchday,"Aug 13, 2005"
21,LOSC Lille,ES Troyes AC,1,2,AwayTeam,3.Matchday,"Aug 13, 2005"
22,AJ Auxerre,FC Girondins Bordeaux,1,0,HomeTeam,3.Matchday,"Aug 13, 2005"
23,Le Mans Union Club 72,Stade Rennais FC,4,0,HomeTeam,3.Matchday,"Aug 13, 2005"
24,OGC Nice,FC Sochaux-Montbéliard,1,2,AwayTeam,3.Matchday,"Aug 13, 2005"
25,FC Nantes,AC Ajaccio,0,2,AwayTeam,3.Matchday,"Aug 13, 2005"
26,AS Nancy-Lorraine,RC Lens,1,2,AwayTeam,3.Matchday,"Aug 13, 2005"
27,AS Saint-Étienne,FC Metz,2,0,HomeTeam,3.Matchday,"Aug 13, 2005"
28,RC Strasbourg Alsace,AS Monaco,1,2,AwayTeam,3.Matchday,"Aug 14, 2005"
29,Olympique Marseille,Olympique Lyon,1,1,Draw,3.Matchday,"Aug 14, 2005"
30,FC Girondins Bordeaux,AS Monaco,1,0,HomeTeam,4.Matchday,"Aug 20, 2005"
31,AC Ajaccio,Le Mans Union Club 72,0,0,Draw,4.Matchday,"Aug 20, 2005"
32,FC Sochaux-Montbéliard,LOSC Lille,0,0,Draw,4.Matchday,"Aug 20, 2005"
33,Stade Rennais FC,Olympique Marseille,3,2,HomeTeam,4.Matchday,"Aug 20, 2005"
34,OGC Nice,FC Nantes,1,1,Draw,4.Matchday,"Aug 20, 2005"
35,FC Metz,RC Strasbourg Alsace,0,0,Draw,4.Matchday,"Aug 20, 2005"
36,Olympique Lyon,AS Nancy-Lorraine,1,0,HomeTeam,4.Matchday,"Aug 20, 2005"
37,RC Lens,AJ Auxerre,7,0,HomeTeam,4.Matchday,"Aug 20, 2005"
38,FC Toulouse,AS Saint-Étienne,1,1,Draw,4.Matchday,"Aug 21, 2005"
39,ES Troyes AC,Paris Saint-Germain,1,1,Draw,4.Matchday,"Aug 21, 2005"
40,LOSC Lille,FC Toulouse,0,0,Draw,5.Matchday,"Aug 24, 2005"
41,Olympique Marseille,AC Ajaccio,1,1,Draw,5.Matchday,"Aug 27, 2005"
42,RC Strasbourg Alsace,FC Girondins Bordeaux,0,0,Draw,5.Matchday,"Aug 27, 2005"
43,AS Saint-Étienne,FC Sochaux-Montbéliard,0,0,Draw,5.Matchday,"Aug 27, 2005"
44,Paris Saint-Germain,OGC Nice,1,2,AwayTeam,5.Matchday,"Aug 27, 2005"
45,FC Nantes,FC Metz,0,0,Draw,5.Matchday,"Aug 27, 2005"
46,AS Nancy-Lorraine,Stade Rennais FC,6,0,HomeTeam,5.Matchday,"Aug 27, 2005"
47,Le Mans Union Club 72,ES Troyes AC,1,0,HomeTeam,5.Matchday,"Aug 27, 2005"
48,AS Monaco,RC Lens,0,0,Draw,5.Matchday,"Aug 28, 2005"
49,AJ Auxerre,Olympique Lyon,0,2,AwayTeam,5.Matchday,"Aug 28, 2005"
