,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Widzew Lodz,Dyskobolia Grodzisk Wielkopolski,2,1,HomeTeam,1.Matchday,"Jul 28, 2006"
1,Gornik Leczna,GKS Belchatow,1,3,AwayTeam,1.Matchday,"Jul 29, 2006"
2,Wisla Kraków,Górnik Zabrze,1,0,HomeTeam,1.Matchday,"Jul 29, 2006"
3,Arka Gdynia,Korona Kielce,0,3,AwayTeam,1.Matchday,"Jul 29, 2006"
4,LKS Lodz,Pogon Szczecin,4,0,HomeTeam,1.Matchday,"Jul 29, 2006"
5,Legia Warszawa,Cracovia,3,1,HomeTeam,1.Matchday,"Jul 29, 2006"
6,Odra Wodzislaw Slaski,Zaglebie Lubin,1,0,HomeTeam,1.Matchday,"Jul 30, 2006"
7,Lech Poznan,Wisla Plock,3,2,HomeTeam,1.Matchday,"Jul 30, 2006"
8,GKS Belchatow,Widzew Lodz,1,0,HomeTeam,2.Matchday,"Aug 4, 2006"
9,Arka Gdynia,Wisla Kraków,0,0,Draw,2.Matchday,"Aug 4, 2006"
10,Zaglebie Lubin,Lech Poznan,0,0,Draw,2.Matchday,"Aug 5, 2006"
11,Cracovia,Odra Wodzislaw Slaski,1,0,HomeTeam,2.Matchday,"Aug 5, 2006"
12,Górnik Zabrze,Pogon Szczecin,0,3,AwayTeam,2.Matchday,"Aug 5, 2006"
13,LKS Lodz,Gornik Leczna,0,0,Draw,2.Matchday,"Aug 5, 2006"
14,Dyskobolia Grodzisk Wielkopolski,Legia Warszawa,1,1,Draw,2.Matchday,"Aug 5, 2006"
15,Korona Kielce,Wisla Plock,0,0,Draw,2.Matchday,"Aug 6, 2006"
16,Widzew Lodz,LKS Lodz,2,1,HomeTeam,3.Matchday,"Aug 11, 2006"
17,Legia Warszawa,GKS Belchatow,1,2,AwayTeam,3.Matchday,"Aug 12, 2006"
18,Pogon Szczecin,Arka Gdynia,0,0,Draw,3.Matchday,"Aug 12, 2006"
19,Zaglebie Lubin,Cracovia,4,3,HomeTeam,3.Matchday,"Aug 12, 2006"
20,Gornik Leczna,Górnik Zabrze,0,2,AwayTeam,3.Matchday,"Aug 12, 2006"
21,Odra Wodzislaw Slaski,Dyskobolia Grodzisk Wielkopolski,0,0,Draw,3.Matchday,"Aug 12, 2006"
22,Korona Kielce,Lech Poznan,2,2,Draw,3.Matchday,"Aug 12, 2006"
23,Wisla Kraków,Wisla Plock,2,0,HomeTeam,3.Matchday,"Aug 13, 2006"
24,Górnik Zabrze,Widzew Lodz,0,0,Draw,4.Matchday,"Aug 18, 2006"
25,Wisla Plock,Pogon Szczecin,2,1,HomeTeam,4.Matchday,"Aug 19, 2006"
26,Lech Poznan,Cracovia,3,4,AwayTeam,4.Matchday,"Aug 19, 2006"
27,GKS Belchatow,Odra Wodzislaw Slaski,5,1,HomeTeam,4.Matchday,"Aug 19, 2006"
28,Gornik Leczna,Arka Gdynia,1,0,HomeTeam,4.Matchday,"Aug 19, 2006"
29,Dyskobolia Grodzisk Wielkopolski,Zaglebie Lubin,0,0,Draw,4.Matchday,"Aug 19, 2006"
30,LKS Lodz,Legia Warszawa,2,1,HomeTeam,4.Matchday,"Aug 19, 2006"
31,Wisla Kraków,Korona Kielce,2,0,HomeTeam,4.Matchday,"Aug 20, 2006"
32,Zaglebie Lubin,GKS Belchatow,2,1,HomeTeam,5.Matchday,"Aug 25, 2006"
33,Cracovia,Dyskobolia Grodzisk Wielkopolski,1,1,Draw,5.Matchday,"Aug 25, 2006"
34,Pogon Szczecin,Korona Kielce,1,1,Draw,5.Matchday,"Aug 26, 2006"
35,Widzew Lodz,Arka Gdynia,1,1,Draw,5.Matchday,"Aug 26, 2006"
36,Odra Wodzislaw Slaski,LKS Lodz,1,2,AwayTeam,5.Matchday,"Aug 26, 2006"
37,Legia Warszawa,Górnik Zabrze,3,2,HomeTeam,5.Matchday,"Aug 26, 2006"
38,Gornik Leczna,Wisla Plock,0,0,Draw,5.Matchday,"Aug 27, 2006"
39,Lech Poznan,Wisla Kraków,3,3,Draw,5.Matchday,"Aug 27, 2006"
40,Wisla Plock,Widzew Lodz,2,2,Draw,6.Matchday,"Sep 8, 2006"
