,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Valur Reykjavík,Víkingur Reykjavík,3,3,Draw,1.Matchday,"Apr 26, 2019"
1,UMF Grindavík,Breidablik Kópavogur,0,2,AwayTeam,1.Matchday,"Apr 27, 2019"
2,ÍBV Vestmannaeyjar,Fylkir Reykjavík,0,3,AwayTeam,1.Matchday,"Apr 27, 2019"
3,FH Hafnarfjördur,HK Kópavogs,2,0,HomeTeam,1.Matchday,"Apr 27, 2019"
4,ÍA Akranes,KA Akureyri,3,1,HomeTeam,1.Matchday,"Apr 27, 2019"
5,Stjarnan Gardabaer,KR Reykjavík,1,1,Draw,1.Matchday,"Apr 27, 2019"
6,HK Kópavogs,Breidablik Kópavogur,2,2,Draw,2.Matchday,"May 4, 2019"
7,KA Akureyri,Valur Reykjavík,1,0,HomeTeam,2.Matchday,"May 5, 2019"
8,KR Reykjavík,ÍBV Vestmannaeyjar,3,0,HomeTeam,2.Matchday,"May 5, 2019"
9,UMF Grindavík,Stjarnan Gardabaer,1,1,Draw,2.Matchday,"May 5, 2019"
10,Fylkir Reykjavík,ÍA Akranes,2,2,Draw,2.Matchday,"May 5, 2019"
11,Víkingur Reykjavík,FH Hafnarfjördur,1,1,Draw,2.Matchday,"May 6, 2019"
12,FH Hafnarfjördur,KA Akureyri,3,2,HomeTeam,3.Matchday,"May 10, 2019"
13,Stjarnan Gardabaer,HK Kópavogs,1,0,HomeTeam,3.Matchday,"May 10, 2019"
14,Breidablik Kópavogur,Víkingur Reykjavík,3,1,HomeTeam,3.Matchday,"May 10, 2019"
15,ÍBV Vestmannaeyjar,UMF Grindavík,2,2,Draw,3.Matchday,"May 11, 2019"
16,Valur Reykjavík,ÍA Akranes,1,2,AwayTeam,3.Matchday,"May 11, 2019"
17,KR Reykjavík,Fylkir Reykjavík,1,1,Draw,3.Matchday,"May 12, 2019"
18,KA Akureyri,Breidablik Kópavogur,0,1,AwayTeam,4.Matchday,"May 15, 2019"
19,Víkingur Reykjavík,Stjarnan Gardabaer,3,4,AwayTeam,4.Matchday,"May 15, 2019"
20,ÍA Akranes,FH Hafnarfjördur,2,0,HomeTeam,4.Matchday,"May 15, 2019"
21,HK Kópavogs,ÍBV Vestmannaeyjar,2,0,HomeTeam,4.Matchday,"May 16, 2019"
22,UMF Grindavík,KR Reykjavík,2,1,HomeTeam,4.Matchday,"May 16, 2019"
23,Fylkir Reykjavík,Valur Reykjavík,0,1,AwayTeam,4.Matchday,"May 16, 2019"
24,ÍBV Vestmannaeyjar,Víkingur Reykjavík,1,1,Draw,5.Matchday,"May 19, 2019"
25,Stjarnan Gardabaer,KA Akureyri,0,2,AwayTeam,5.Matchday,"May 19, 2019"
26,Breidablik Kópavogur,ÍA Akranes,0,1,AwayTeam,5.Matchday,"May 19, 2019"
27,FH Hafnarfjördur,Valur Reykjavík,3,2,HomeTeam,5.Matchday,"May 20, 2019"
28,UMF Grindavík,Fylkir Reykjavík,1,0,HomeTeam,5.Matchday,"May 20, 2019"
29,KR Reykjavík,HK Kópavogs,3,2,HomeTeam,5.Matchday,"May 20, 2019"
30,HK Kópavogs,UMF Grindavík,0,0,Draw,6.Matchday,"May 25, 2019"
31,KA Akureyri,ÍBV Vestmannaeyjar,2,0,HomeTeam,6.Matchday,"May 25, 2019"
32,Víkingur Reykjavík,KR Reykjavík,0,1,AwayTeam,6.Matchday,"May 25, 2019"
33,ÍA Akranes,Stjarnan Gardabaer,2,0,HomeTeam,6.Matchday,"May 26, 2019"
34,Valur Reykjavík,Breidablik Kópavogur,0,1,AwayTeam,6.Matchday,"May 26, 2019"
35,Fylkir Reykjavík,FH Hafnarfjördur,2,2,Draw,6.Matchday,"May 26, 2019"
36,UMF Grindavík,Víkingur Reykjavík,0,0,Draw,7.Matchday,"Jun 1, 2019"
37,ÍBV Vestmannaeyjar,ÍA Akranes,3,2,HomeTeam,7.Matchday,"Jun 2, 2019"
38,KR Reykjavík,KA Akureyri,1,0,HomeTeam,7.Matchday,"Jun 2, 2019"
39,Breidablik Kópavogur,FH Hafnarfjördur,4,1,HomeTeam,7.Matchday,"Jun 2, 2019"
40,Stjarnan Gardabaer,Valur Reykjavík,2,1,HomeTeam,7.Matchday,"Jun 2, 2019"
41,HK Kópavogs,Fylkir Reykjavík,1,2,AwayTeam,7.Matchday,"Jun 2, 2019"
