,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Tottenham Hotspur,Manchester City,0,0,Draw,1.Matchday,"Aug 14, 2010"
1,Aston Villa,West Ham United,3,0,HomeTeam,1.Matchday,"Aug 14, 2010"
2,Blackburn Rovers,Everton FC,1,0,HomeTeam,1.Matchday,"Aug 14, 2010"
3,Bolton Wanderers,Fulham FC,0,0,Draw,1.Matchday,"Aug 14, 2010"
4,Sunderland AFC,Birmingham City,2,2,Draw,1.Matchday,"Aug 14, 2010"
5,Wolverhampton Wanderers,Stoke City,2,1,HomeTeam,1.Matchday,"Aug 14, 2010"
6,Wigan Athletic,Blackpool FC,0,4,AwayTeam,1.Matchday,"Aug 14, 2010"
7,Chelsea FC,West Bromwich Albion,6,0,HomeTeam,1.Matchday,"Aug 14, 2010"
8,Liverpool FC,Arsenal FC,1,1,Draw,1.Matchday,"Aug 15, 2010"
9,Manchester United,Newcastle United,3,0,HomeTeam,1.Matchday,"Aug 16, 2010"
10,Arsenal FC,Blackpool FC,6,0,HomeTeam,2.Matchday,"Aug 21, 2010"
11,Birmingham City,Blackburn Rovers,2,1,HomeTeam,2.Matchday,"Aug 21, 2010"
12,Everton FC,Wolverhampton Wanderers,1,1,Draw,2.Matchday,"Aug 21, 2010"
13,Stoke City,Tottenham Hotspur,1,2,AwayTeam,2.Matchday,"Aug 21, 2010"
14,West Bromwich Albion,Sunderland AFC,1,0,HomeTeam,2.Matchday,"Aug 21, 2010"
15,West Ham United,Bolton Wanderers,1,3,AwayTeam,2.Matchday,"Aug 21, 2010"
16,Wigan Athletic,Chelsea FC,0,6,AwayTeam,2.Matchday,"Aug 21, 2010"
17,Newcastle United,Aston Villa,6,0,HomeTeam,2.Matchday,"Aug 22, 2010"
18,Fulham FC,Manchester United,2,2,Draw,2.Matchday,"Aug 22, 2010"
19,Manchester City,Liverpool FC,3,0,HomeTeam,2.Matchday,"Aug 23, 2010"
20,Blackburn Rovers,Arsenal FC,1,2,AwayTeam,3.Matchday,"Aug 28, 2010"
21,Blackpool FC,Fulham FC,2,2,Draw,3.Matchday,"Aug 28, 2010"
22,Chelsea FC,Stoke City,2,0,HomeTeam,3.Matchday,"Aug 28, 2010"
23,Tottenham Hotspur,Wigan Athletic,0,1,AwayTeam,3.Matchday,"Aug 28, 2010"
24,Wolverhampton Wanderers,Newcastle United,1,1,Draw,3.Matchday,"Aug 28, 2010"
25,Manchester United,West Ham United,3,0,HomeTeam,3.Matchday,"Aug 28, 2010"
26,Bolton Wanderers,Birmingham City,2,2,Draw,3.Matchday,"Aug 29, 2010"
27,Liverpool FC,West Bromwich Albion,1,0,HomeTeam,3.Matchday,"Aug 29, 2010"
28,Sunderland AFC,Manchester City,1,0,HomeTeam,3.Matchday,"Aug 29, 2010"
