,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Amkar Perm,FK Rostov,0,0,Draw,1.Matchday,"Mar 14, 2009"
1,Dinamo Moscow,FK Moskau,1,0,HomeTeam,1.Matchday,"Mar 14, 2009"
2,Lokomotiv Moscow,FK Khimki,1,1,Draw,1.Matchday,"Mar 14, 2009"
3,Rubin Kazan,Kuban Krasnodar,3,0,HomeTeam,1.Matchday,"Mar 14, 2009"
4,Spartak Moscow,Zenit St. Petersburg,1,1,Draw,1.Matchday,"Mar 15, 2009"
5,Tom Tomsk,Krylya Sovetov Samara,0,1,AwayTeam,1.Matchday,"Mar 15, 2009"
6,Saturn Ramenskoe,CSKA Moscow,0,3,AwayTeam,1.Matchday,"Mar 15, 2009"
7,Terek Grozny,Spartak Nalchik,1,0,HomeTeam,1.Matchday,"Mar 15, 2009"
8,Krylya Sovetov Samara,Amkar Perm,1,0,HomeTeam,2.Matchday,"Mar 21, 2009"
9,Kuban Krasnodar,Spartak Moscow,1,0,HomeTeam,2.Matchday,"Mar 21, 2009"
10,Dinamo Moscow,FK Khimki,3,2,HomeTeam,2.Matchday,"Mar 21, 2009"
11,FK Moskau,Terek Grozny,0,0,Draw,2.Matchday,"Mar 21, 2009"
12,Zenit St. Petersburg,Saturn Ramenskoe,2,1,HomeTeam,2.Matchday,"Mar 22, 2009"
13,Spartak Nalchik,Rubin Kazan,0,0,Draw,2.Matchday,"Mar 22, 2009"
14,FK Rostov,Lokomotiv Moscow,1,1,Draw,2.Matchday,"Mar 22, 2009"
15,CSKA Moscow,Tom Tomsk,0,1,AwayTeam,2.Matchday,"Mar 23, 2009"
16,FK Khimki,FK Rostov,0,1,AwayTeam,3.Matchday,"Apr 3, 2009"
17,Terek Grozny,Dinamo Moscow,1,0,HomeTeam,3.Matchday,"Apr 4, 2009"
18,Rubin Kazan,FK Moskau,0,0,Draw,3.Matchday,"Apr 4, 2009"
19,Saturn Ramenskoe,Kuban Krasnodar,2,1,HomeTeam,3.Matchday,"Apr 4, 2009"
20,Tom Tomsk,Zenit St. Petersburg,0,3,AwayTeam,3.Matchday,"Apr 5, 2009"
21,Lokomotiv Moscow,Krylya Sovetov Samara,2,1,HomeTeam,3.Matchday,"Apr 5, 2009"
22,Amkar Perm,CSKA Moscow,0,0,Draw,3.Matchday,"Apr 5, 2009"
23,Spartak Moscow,Spartak Nalchik,2,0,HomeTeam,3.Matchday,"Apr 5, 2009"
24,Krylya Sovetov Samara,FK Khimki,3,0,HomeTeam,4.Matchday,"Apr 10, 2009"
25,FK Moskau,Spartak Moscow,3,1,HomeTeam,4.Matchday,"Apr 11, 2009"
26,Terek Grozny,Rubin Kazan,1,2,AwayTeam,4.Matchday,"Apr 11, 2009"
27,Dinamo Moscow,FK Rostov,1,0,HomeTeam,4.Matchday,"Apr 11, 2009"
28,Kuban Krasnodar,Tom Tomsk,0,0,Draw,4.Matchday,"Apr 11, 2009"
29,CSKA Moscow,Lokomotiv Moscow,4,1,HomeTeam,4.Matchday,"Apr 12, 2009"
30,Zenit St. Petersburg,Amkar Perm,0,0,Draw,4.Matchday,"Apr 12, 2009"
31,Spartak Nalchik,Saturn Ramenskoe,1,1,Draw,4.Matchday,"Apr 12, 2009"
32,Tom Tomsk,Spartak Nalchik,1,0,HomeTeam,5.Matchday,"Apr 18, 2009"
33,Saturn Ramenskoe,FK Moskau,0,1,AwayTeam,5.Matchday,"Apr 18, 2009"
34,Spartak Moscow,Terek Grozny,2,0,HomeTeam,5.Matchday,"Apr 18, 2009"
35,FK Rostov,Krylya Sovetov Samara,0,0,Draw,5.Matchday,"Apr 18, 2009"
36,Amkar Perm,Kuban Krasnodar,1,0,HomeTeam,5.Matchday,"Apr 19, 2009"
37,Lokomotiv Moscow,Zenit St. Petersburg,1,1,Draw,5.Matchday,"Apr 19, 2009"
38,FK Khimki,CSKA Moscow,0,3,AwayTeam,5.Matchday,"Apr 19, 2009"
39,Rubin Kazan,Dinamo Moscow,3,0,HomeTeam,5.Matchday,"Apr 19, 2009"
40,Rubin Kazan,Spartak Moscow,0,2,AwayTeam,6.Matchday,"Apr 25, 2009"
41,Dinamo Moscow,Krylya Sovetov Samara,0,1,AwayTeam,6.Matchday,"Apr 25, 2009"
42,Zenit St. Petersburg,FK Khimki,4,2,HomeTeam,6.Matchday,"Apr 25, 2009"
43,Terek Grozny,Saturn Ramenskoe,1,1,Draw,6.Matchday,"Apr 25, 2009"
44,FK Moskau,Tom Tomsk,2,1,HomeTeam,6.Matchday,"Apr 26, 2009"
45,CSKA Moscow,FK Rostov,1,2,AwayTeam,6.Matchday,"Apr 26, 2009"
46,Spartak Nalchik,Amkar Perm,4,1,HomeTeam,6.Matchday,"Apr 26, 2009"
47,Kuban Krasnodar,Lokomotiv Moscow,1,0,HomeTeam,6.Matchday,"Apr 26, 2009"
48,Tom Tomsk,Terek Grozny,2,1,HomeTeam,7.Matchday,"May 2, 2009"
49,Spartak Moscow,Dinamo Moscow,0,2,AwayTeam,7.Matchday,"May 2, 2009"
50,Amkar Perm,FK Moskau,0,1,AwayTeam,7.Matchday,"May 2, 2009"
51,Saturn Ramenskoe,Rubin Kazan,0,5,AwayTeam,7.Matchday,"May 2, 2009"
52,Krylya Sovetov Samara,CSKA Moscow,1,3,AwayTeam,7.Matchday,"May 3, 2009"
53,FK Rostov,Zenit St. Petersburg,2,1,HomeTeam,7.Matchday,"May 3, 2009"
54,Lokomotiv Moscow,Spartak Nalchik,1,0,HomeTeam,7.Matchday,"May 3, 2009"
55,FK Khimki,Kuban Krasnodar,2,2,Draw,7.Matchday,"May 3, 2009"
56,Terek Grozny,Amkar Perm,2,2,Draw,8.Matchday,"May 10, 2009"
57,Dinamo Moscow,CSKA Moscow,1,2,AwayTeam,8.Matchday,"May 10, 2009"
58,Zenit St. Petersburg,Krylya Sovetov Samara,2,0,HomeTeam,8.Matchday,"May 10, 2009"
59,FK Moskau,Lokomotiv Moscow,0,0,Draw,8.Matchday,"May 10, 2009"
60,Rubin Kazan,Tom Tomsk,4,0,HomeTeam,8.Matchday,"May 11, 2009"
61,Spartak Nalchik,FK Khimki,0,0,Draw,8.Matchday,"May 11, 2009"
62,Spartak Moscow,Saturn Ramenskoe,4,0,HomeTeam,8.Matchday,"May 11, 2009"
