,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Vorskla Poltava,Zakarpattia Uzhgorod,0,0,Draw,1.Matchday,"Jul 12, 2005"
1,MetallurgDonetsk,Stal Alchevsk,5,0,HomeTeam,1.Matchday,"Jul 12, 2005"
2,Chornomorets Odessa,Arsenal Kyiv,1,1,Draw,1.Matchday,"Jul 12, 2005"
3,Dnipro Dnipropetrovsk,SK Tavriya Simferopol,1,3,AwayTeam,1.Matchday,"Jul 12, 2005"
4,FK Kharkiv,Kryvbas Kryvyi Rig,1,1,Draw,1.Matchday,"Jul 12, 2005"
5,Ilyichivets Mariupol,Metalist Kharkiv,0,2,AwayTeam,1.Matchday,"Jul 12, 2005"
6,Volyn Lutsk,Shakhtar Donetsk,0,1,AwayTeam,1.Matchday,"Jul 13, 2005"
7,Dynamo Kyiv,Metalurg Zaporizhya,1,1,Draw,1.Matchday,"Jul 13, 2005"
8,Metalist Kharkiv,Kryvbas Kryvyi Rig,1,0,HomeTeam,2.Matchday,"Jul 17, 2005"
9,SK Tavriya Simferopol,FK Kharkiv,2,1,HomeTeam,2.Matchday,"Jul 17, 2005"
10,Shakhtar Donetsk,Dnipro Dnipropetrovsk,2,0,HomeTeam,2.Matchday,"Jul 17, 2005"
11,Metalurg Zaporizhya,Volyn Lutsk,0,1,AwayTeam,2.Matchday,"Jul 17, 2005"
12,Arsenal Kyiv,Dynamo Kyiv,0,2,AwayTeam,2.Matchday,"Jul 17, 2005"
13,Stal Alchevsk,Chornomorets Odessa,0,1,AwayTeam,2.Matchday,"Jul 17, 2005"
14,Zakarpattia Uzhgorod,MetallurgDonetsk,0,0,Draw,2.Matchday,"Jul 17, 2005"
15,Ilyichivets Mariupol,Vorskla Poltava,3,2,HomeTeam,2.Matchday,"Jul 17, 2005"
16,Dynamo Kyiv,Stal Alchevsk,4,0,HomeTeam,3.Matchday,"Jul 22, 2005"
17,Vorskla Poltava,Metalist Kharkiv,0,1,AwayTeam,3.Matchday,"Jul 23, 2005"
18,MetallurgDonetsk,Ilyichivets Mariupol,0,0,Draw,3.Matchday,"Jul 23, 2005"
19,Chornomorets Odessa,Zakarpattia Uzhgorod,2,0,HomeTeam,3.Matchday,"Jul 23, 2005"
20,Volyn Lutsk,Arsenal Kyiv,2,1,HomeTeam,3.Matchday,"Jul 23, 2005"
21,Dnipro Dnipropetrovsk,Metalurg Zaporizhya,3,0,HomeTeam,3.Matchday,"Jul 23, 2005"
22,FK Kharkiv,Shakhtar Donetsk,2,3,AwayTeam,3.Matchday,"Jul 23, 2005"
23,Kryvbas Kryvyi Rig,SK Tavriya Simferopol,2,0,HomeTeam,3.Matchday,"Jul 23, 2005"
24,Zakarpattia Uzhgorod,Dynamo Kyiv,1,2,AwayTeam,4.Matchday,"Jul 30, 2005"
25,Shakhtar Donetsk,Kryvbas Kryvyi Rig,1,0,HomeTeam,4.Matchday,"Jul 30, 2005"
26,Metalist Kharkiv,SK Tavriya Simferopol,2,0,HomeTeam,4.Matchday,"Jul 31, 2005"
27,Metalurg Zaporizhya,FK Kharkiv,3,6,AwayTeam,4.Matchday,"Jul 31, 2005"
28,Arsenal Kyiv,Dnipro Dnipropetrovsk,1,0,HomeTeam,4.Matchday,"Jul 31, 2005"
29,Stal Alchevsk,Volyn Lutsk,2,2,Draw,4.Matchday,"Jul 31, 2005"
30,Ilyichivets Mariupol,Chornomorets Odessa,0,1,AwayTeam,4.Matchday,"Jul 31, 2005"
31,Vorskla Poltava,MetallurgDonetsk,1,1,Draw,4.Matchday,"Jul 31, 2005"
32,SK Tavriya Simferopol,Shakhtar Donetsk,0,3,AwayTeam,5.Matchday,"Aug 6, 2005"
33,Dnipro Dnipropetrovsk,Stal Alchevsk,0,1,AwayTeam,5.Matchday,"Aug 6, 2005"
34,MetallurgDonetsk,Metalist Kharkiv,3,1,HomeTeam,5.Matchday,"Aug 6, 2005"
35,Chornomorets Odessa,Vorskla Poltava,1,2,AwayTeam,5.Matchday,"Aug 7, 2005"
36,Volyn Lutsk,Zakarpattia Uzhgorod,3,1,HomeTeam,5.Matchday,"Aug 7, 2005"
37,FK Kharkiv,Arsenal Kyiv,3,1,HomeTeam,5.Matchday,"Aug 7, 2005"
38,Kryvbas Kryvyi Rig,Metalurg Zaporizhya,1,0,HomeTeam,5.Matchday,"Aug 7, 2005"
39,Dynamo Kyiv,Ilyichivets Mariupol,1,1,Draw,5.Matchday,"Aug 8, 2005"
40,Metalist Kharkiv,Shakhtar Donetsk,1,5,AwayTeam,6.Matchday,"Aug 20, 2005"
41,Metalurg Zaporizhya,SK Tavriya Simferopol,2,1,HomeTeam,6.Matchday,"Aug 21, 2005"
42,Arsenal Kyiv,Kryvbas Kryvyi Rig,1,1,Draw,6.Matchday,"Aug 21, 2005"
43,Stal Alchevsk,FK Kharkiv,0,0,Draw,6.Matchday,"Aug 21, 2005"
44,Zakarpattia Uzhgorod,Dnipro Dnipropetrovsk,1,2,AwayTeam,6.Matchday,"Aug 21, 2005"
45,Ilyichivets Mariupol,Volyn Lutsk,1,1,Draw,6.Matchday,"Aug 21, 2005"
46,Vorskla Poltava,Dynamo Kyiv,0,4,AwayTeam,6.Matchday,"Aug 21, 2005"
47,MetallurgDonetsk,Chornomorets Odessa,3,2,HomeTeam,6.Matchday,"Aug 21, 2005"
48,Chornomorets Odessa,Metalist Kharkiv,5,2,HomeTeam,7.Matchday,"Aug 28, 2005"
49,Volyn Lutsk,Vorskla Poltava,2,1,HomeTeam,7.Matchday,"Aug 28, 2005"
50,Kryvbas Kryvyi Rig,Stal Alchevsk,2,1,HomeTeam,7.Matchday,"Aug 28, 2005"
51,FK Kharkiv,Zakarpattia Uzhgorod,1,0,HomeTeam,7.Matchday,"Aug 28, 2005"
52,SK Tavriya Simferopol,Arsenal Kyiv,0,1,AwayTeam,7.Matchday,"Aug 28, 2005"
53,Shakhtar Donetsk,Metalurg Zaporizhya,3,1,HomeTeam,7.Matchday,"Aug 28, 2005"
54,Dnipro Dnipropetrovsk,Ilyichivets Mariupol,0,1,AwayTeam,7.Matchday,"Aug 29, 2005"
55,Dynamo Kyiv,MetallurgDonetsk,3,1,HomeTeam,7.Matchday,"Aug 29, 2005"
56,MetallurgDonetsk,Volyn Lutsk,4,0,HomeTeam,8.Matchday,"Sep 10, 2005"
57,Chornomorets Odessa,Dynamo Kyiv,0,1,AwayTeam,8.Matchday,"Sep 11, 2005"
58,Vorskla Poltava,Dnipro Dnipropetrovsk,1,1,Draw,8.Matchday,"Sep 11, 2005"
59,Ilyichivets Mariupol,FK Kharkiv,2,1,HomeTeam,8.Matchday,"Sep 11, 2005"
60,Zakarpattia Uzhgorod,Kryvbas Kryvyi Rig,0,0,Draw,8.Matchday,"Sep 11, 2005"
61,Stal Alchevsk,SK Tavriya Simferopol,1,0,HomeTeam,8.Matchday,"Sep 11, 2005"
62,Arsenal Kyiv,Shakhtar Donetsk,0,0,Draw,8.Matchday,"Sep 11, 2005"
63,Metalist Kharkiv,Metalurg Zaporizhya,3,1,HomeTeam,8.Matchday,"Sep 11, 2005"
64,Dynamo Kyiv,Metalist Kharkiv,2,2,Draw,9.Matchday,"Sep 18, 2005"
65,Volyn Lutsk,Chornomorets Odessa,0,3,AwayTeam,9.Matchday,"Sep 18, 2005"
66,FK Kharkiv,Vorskla Poltava,2,0,HomeTeam,9.Matchday,"Sep 18, 2005"
67,Kryvbas Kryvyi Rig,Ilyichivets Mariupol,0,1,AwayTeam,9.Matchday,"Sep 18, 2005"
68,SK Tavriya Simferopol,Zakarpattia Uzhgorod,1,0,HomeTeam,9.Matchday,"Sep 18, 2005"
69,Shakhtar Donetsk,Stal Alchevsk,1,1,Draw,9.Matchday,"Sep 18, 2005"
70,Metalurg Zaporizhya,Arsenal Kyiv,2,2,Draw,9.Matchday,"Sep 18, 2005"
71,Dnipro Dnipropetrovsk,MetallurgDonetsk,1,0,HomeTeam,9.Matchday,"Sep 19, 2005"
72,Zakarpattia Uzhgorod,Shakhtar Donetsk,0,3,AwayTeam,10.Matchday,"Sep 24, 2005"
73,Metalist Kharkiv,Arsenal Kyiv,1,2,AwayTeam,10.Matchday,"Sep 25, 2005"
74,Stal Alchevsk,Metalurg Zaporizhya,1,1,Draw,10.Matchday,"Sep 25, 2005"
75,Ilyichivets Mariupol,SK Tavriya Simferopol,0,1,AwayTeam,10.Matchday,"Sep 25, 2005"
76,Vorskla Poltava,Kryvbas Kryvyi Rig,0,0,Draw,10.Matchday,"Sep 25, 2005"
77,MetallurgDonetsk,FK Kharkiv,1,1,Draw,10.Matchday,"Sep 25, 2005"
78,Chornomorets Odessa,Dnipro Dnipropetrovsk,0,0,Draw,10.Matchday,"Sep 25, 2005"
79,Dynamo Kyiv,Volyn Lutsk,7,1,HomeTeam,10.Matchday,"Sep 25, 2005"
80,Volyn Lutsk,Metalist Kharkiv,3,0,HomeTeam,11.Matchday,"Oct 2, 2005"
81,FK Kharkiv,Chornomorets Odessa,0,1,AwayTeam,11.Matchday,"Oct 2, 2005"
82,SK Tavriya Simferopol,Vorskla Poltava,2,3,AwayTeam,11.Matchday,"Oct 2, 2005"
83,Metalurg Zaporizhya,Zakarpattia Uzhgorod,3,0,HomeTeam,11.Matchday,"Oct 2, 2005"
84,Arsenal Kyiv,Stal Alchevsk,1,1,Draw,11.Matchday,"Oct 2, 2005"
85,Kryvbas Kryvyi Rig,MetallurgDonetsk,0,1,AwayTeam,11.Matchday,"Oct 3, 2005"
86,Dnipro Dnipropetrovsk,Dynamo Kyiv,0,3,AwayTeam,11.Matchday,"Oct 3, 2005"
87,Shakhtar Donetsk,Ilyichivets Mariupol,6,0,HomeTeam,11.Matchday,"Oct 3, 2005"
88,Metalist Kharkiv,Stal Alchevsk,1,0,HomeTeam,12.Matchday,"Oct 16, 2005"
89,Zakarpattia Uzhgorod,Arsenal Kyiv,2,1,HomeTeam,12.Matchday,"Oct 16, 2005"
90,Ilyichivets Mariupol,Metalurg Zaporizhya,1,0,HomeTeam,12.Matchday,"Oct 16, 2005"
91,Vorskla Poltava,Shakhtar Donetsk,0,2,AwayTeam,12.Matchday,"Oct 16, 2005"
92,MetallurgDonetsk,SK Tavriya Simferopol,0,0,Draw,12.Matchday,"Oct 16, 2005"
93,Chornomorets Odessa,Kryvbas Kryvyi Rig,2,1,HomeTeam,12.Matchday,"Oct 16, 2005"
94,Dynamo Kyiv,FK Kharkiv,1,0,HomeTeam,12.Matchday,"Oct 16, 2005"
95,Volyn Lutsk,Dnipro Dnipropetrovsk,2,1,HomeTeam,12.Matchday,"Oct 16, 2005"
96,Dnipro Dnipropetrovsk,Metalist Kharkiv,0,0,Draw,13.Matchday,"Oct 23, 2005"
97,FK Kharkiv,Volyn Lutsk,3,2,HomeTeam,13.Matchday,"Oct 23, 2005"
98,Kryvbas Kryvyi Rig,Dynamo Kyiv,0,1,AwayTeam,13.Matchday,"Oct 23, 2005"
99,SK Tavriya Simferopol,Chornomorets Odessa,1,1,Draw,13.Matchday,"Oct 23, 2005"
100,Shakhtar Donetsk,MetallurgDonetsk,2,0,HomeTeam,13.Matchday,"Oct 23, 2005"
101,Metalurg Zaporizhya,Vorskla Poltava,0,2,AwayTeam,13.Matchday,"Oct 23, 2005"
102,Arsenal Kyiv,Ilyichivets Mariupol,0,2,AwayTeam,13.Matchday,"Oct 23, 2005"
103,Stal Alchevsk,Zakarpattia Uzhgorod,1,0,HomeTeam,13.Matchday,"Oct 23, 2005"
104,Metalist Kharkiv,Zakarpattia Uzhgorod,4,1,HomeTeam,14.Matchday,"Oct 30, 2005"
105,Ilyichivets Mariupol,Stal Alchevsk,3,0,HomeTeam,14.Matchday,"Oct 30, 2005"
