,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,FK Olimpik Sarajevo,FK Zeljeznicar Sarajevo,0,3,AwayTeam,1.Matchday,"Aug 2, 2014"
1,FK Velez Mostar,FK Drina Zvornik,1,0,HomeTeam,1.Matchday,"Aug 2, 2014"
2,FK Mladost Velika Obarska,FK Borac Banja Luka,2,0,HomeTeam,1.Matchday,"Aug 2, 2014"
3,NK Travnik,FK Sloboda Tuzla,0,3,AwayTeam,1.Matchday,"Aug 2, 2014"
4,FK Slavija Sarajevo,HSK Zrinjski Mostar,0,0,Draw,1.Matchday,"Aug 2, 2014"
5,NK Celik Zenica,NK Vitez,0,0,Draw,1.Matchday,"Aug 2, 2014"
6,FK Sarajevo,NK Zvijezda Gradacac,3,0,HomeTeam,1.Matchday,"Aug 3, 2014"
7,NK Siroki Brijeg,FK Radnik Bijeljina,2,0,HomeTeam,1.Matchday,"Aug 3, 2014"
8,FK Sloboda Tuzla,NK Celik Zenica,1,0,HomeTeam,2.Matchday,"Aug 9, 2014"
9,FK Drina Zvornik,HSK Zrinjski Mostar,1,2,AwayTeam,2.Matchday,"Aug 9, 2014"
10,NK Vitez,FK Olimpik Sarajevo,0,1,AwayTeam,2.Matchday,"Aug 9, 2014"
11,NK Zvijezda Gradacac,NK Travnik,0,0,Draw,2.Matchday,"Aug 9, 2014"
12,FK Velez Mostar,FK Mladost Velika Obarska,0,0,Draw,2.Matchday,"Aug 9, 2014"
13,FK Radnik Bijeljina,FK Slavija Sarajevo,0,0,Draw,2.Matchday,"Aug 10, 2014"
14,FK Borac Banja Luka,FK Sarajevo,1,3,AwayTeam,2.Matchday,"Aug 10, 2014"
15,FK Zeljeznicar Sarajevo,NK Siroki Brijeg,1,1,Draw,2.Matchday,"Aug 10, 2014"
16,NK Travnik,FK Borac Banja Luka,1,2,AwayTeam,3.Matchday,"Aug 16, 2014"
17,FK Olimpik Sarajevo,FK Sloboda Tuzla,1,0,HomeTeam,3.Matchday,"Aug 16, 2014"
18,FK Mladost Velika Obarska,FK Drina Zvornik,0,2,AwayTeam,3.Matchday,"Aug 16, 2014"
19,NK Celik Zenica,NK Zvijezda Gradacac,1,1,Draw,3.Matchday,"Aug 16, 2014"
20,HSK Zrinjski Mostar,FK Radnik Bijeljina,2,0,HomeTeam,3.Matchday,"Aug 16, 2014"
21,FK Sarajevo,FK Velez Mostar,1,1,Draw,3.Matchday,"Aug 16, 2014"
22,FK Slavija Sarajevo,FK Zeljeznicar Sarajevo,1,1,Draw,3.Matchday,"Aug 17, 2014"
23,NK Siroki Brijeg,NK Vitez,2,1,HomeTeam,3.Matchday,"Aug 17, 2014"
24,NK Zvijezda Gradacac,FK Olimpik Sarajevo,2,2,Draw,4.Matchday,"Aug 23, 2014"
25,NK Vitez,FK Slavija Sarajevo,0,5,AwayTeam,4.Matchday,"Aug 23, 2014"
26,FK Sloboda Tuzla,NK Siroki Brijeg,0,1,AwayTeam,4.Matchday,"Aug 23, 2014"
27,FK Velez Mostar,NK Travnik,2,1,HomeTeam,4.Matchday,"Aug 23, 2014"
28,FK Borac Banja Luka,NK Celik Zenica,1,0,HomeTeam,4.Matchday,"Aug 23, 2014"
29,FK Zeljeznicar Sarajevo,HSK Zrinjski Mostar,0,2,AwayTeam,4.Matchday,"Aug 23, 2014"
30,FK Drina Zvornik,FK Radnik Bijeljina,1,0,HomeTeam,4.Matchday,"Aug 24, 2014"
31,FK Mladost Velika Obarska,FK Sarajevo,1,1,Draw,4.Matchday,"Aug 24, 2014"
32,NK Travnik,FK Mladost Velika Obarska,1,0,HomeTeam,5.Matchday,"Aug 27, 2014"
33,NK Celik Zenica,FK Velez Mostar,1,1,Draw,5.Matchday,"Aug 27, 2014"
34,FK Olimpik Sarajevo,FK Borac Banja Luka,4,1,HomeTeam,5.Matchday,"Aug 27, 2014"
35,FK Slavija Sarajevo,FK Sloboda Tuzla,2,1,HomeTeam,5.Matchday,"Aug 27, 2014"
36,FK Radnik Bijeljina,FK Zeljeznicar Sarajevo,1,3,AwayTeam,5.Matchday,"Aug 27, 2014"
37,HSK Zrinjski Mostar,NK Vitez,2,0,HomeTeam,5.Matchday,"Aug 27, 2014"
38,NK Siroki Brijeg,NK Zvijezda Gradacac,4,2,HomeTeam,5.Matchday,"Aug 27, 2014"
39,FK Sarajevo,FK Drina Zvornik,2,0,HomeTeam,5.Matchday,"Sep 24, 2014"
40,FK Drina Zvornik,FK Zeljeznicar Sarajevo,1,2,AwayTeam,6.Matchday,"Aug 30, 2014"
41,NK Vitez,FK Radnik Bijeljina,1,0,HomeTeam,6.Matchday,"Aug 30, 2014"
42,FK Sloboda Tuzla,HSK Zrinjski Mostar,1,0,HomeTeam,6.Matchday,"Aug 30, 2014"
43,NK Zvijezda Gradacac,FK Slavija Sarajevo,1,3,AwayTeam,6.Matchday,"Aug 30, 2014"
44,FK Velez Mostar,FK Olimpik Sarajevo,1,1,Draw,6.Matchday,"Aug 30, 2014"
45,FK Mladost Velika Obarska,NK Celik Zenica,1,2,AwayTeam,6.Matchday,"Aug 30, 2014"
46,FK Borac Banja Luka,NK Siroki Brijeg,1,1,Draw,6.Matchday,"Aug 30, 2014"
47,FK Sarajevo,NK Travnik,2,2,Draw,6.Matchday,"Aug 31, 2014"
48,FK Olimpik Sarajevo,FK Mladost Velika Obarska,3,0,HomeTeam,7.Matchday,"Sep 12, 2014"
49,NK Travnik,FK Drina Zvornik,2,2,Draw,7.Matchday,"Sep 13, 2014"
50,FK Radnik Bijeljina,FK Sloboda Tuzla,2,0,HomeTeam,7.Matchday,"Sep 13, 2014"
51,HSK Zrinjski Mostar,NK Zvijezda Gradacac,3,0,HomeTeam,7.Matchday,"Sep 13, 2014"
52,NK Celik Zenica,FK Sarajevo,1,1,Draw,7.Matchday,"Sep 13, 2014"
53,FK Zeljeznicar Sarajevo,NK Vitez,2,1,HomeTeam,7.Matchday,"Sep 13, 2014"
54,FK Slavija Sarajevo,FK Borac Banja Luka,0,1,AwayTeam,7.Matchday,"Sep 14, 2014"
55,NK Siroki Brijeg,FK Velez Mostar,2,0,HomeTeam,7.Matchday,"Sep 14, 2014"
56,FK Drina Zvornik,NK Vitez,0,0,Draw,8.Matchday,"Sep 20, 2014"
57,FK Sloboda Tuzla,FK Zeljeznicar Sarajevo,1,2,AwayTeam,8.Matchday,"Sep 20, 2014"
58,NK Zvijezda Gradacac,FK Radnik Bijeljina,1,1,Draw,8.Matchday,"Sep 20, 2014"
59,FK Velez Mostar,FK Slavija Sarajevo,2,0,HomeTeam,8.Matchday,"Sep 20, 2014"
60,FK Mladost Velika Obarska,NK Siroki Brijeg,0,2,AwayTeam,8.Matchday,"Sep 20, 2014"
61,NK Travnik,NK Celik Zenica,1,0,HomeTeam,8.Matchday,"Sep 20, 2014"
62,FK Sarajevo,FK Olimpik Sarajevo,4,2,HomeTeam,8.Matchday,"Sep 20, 2014"
63,FK Borac Banja Luka,HSK Zrinjski Mostar,1,0,HomeTeam,8.Matchday,"Sep 21, 2014"
64,NK Celik Zenica,FK Drina Zvornik,0,1,AwayTeam,9.Matchday,"Sep 27, 2014"
65,FK Olimpik Sarajevo,NK Travnik,3,0,HomeTeam,9.Matchday,"Sep 27, 2014"
66,HSK Zrinjski Mostar,FK Velez Mostar,2,0,HomeTeam,9.Matchday,"Sep 27, 2014"
67,FK Radnik Bijeljina,FK Borac Banja Luka,0,1,AwayTeam,9.Matchday,"Sep 27, 2014"
68,FK Zeljeznicar Sarajevo,NK Zvijezda Gradacac,5,3,HomeTeam,9.Matchday,"Sep 27, 2014"
69,NK Vitez,FK Sloboda Tuzla,3,1,HomeTeam,9.Matchday,"Sep 27, 2014"
70,FK Slavija Sarajevo,FK Mladost Velika Obarska,0,0,Draw,9.Matchday,"Sep 28, 2014"
