,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Sumgayit PFC,Neftchi Baku,0,2,AwayTeam,1.Matchday,"Aug 11, 2018"
1,FK Qabala,FK Sabail,3,0,HomeTeam,1.Matchday,"Aug 12, 2018"
2,Keshla FK,Sabah FK,0,1,AwayTeam,1.Matchday,"Aug 12, 2018"
3,Qarabağ Ağdam,Zira FC,3,2,HomeTeam,1.Matchday,"Sep 26, 2018"
4,FK Sabail,Qarabağ Ağdam,0,2,AwayTeam,2.Matchday,"Aug 18, 2018"
5,Zira FC,Keshla FK,2,2,Draw,2.Matchday,"Aug 18, 2018"
6,Neftchi Baku,FK Qabala,2,1,HomeTeam,2.Matchday,"Aug 19, 2018"
7,Sabah FK,Sumgayit PFC,1,4,AwayTeam,2.Matchday,"Aug 19, 2018"
8,FK Qabala,Sumgayit PFC,1,1,Draw,3.Matchday,"Aug 25, 2018"
9,Zira FC,Sabah FK,0,2,AwayTeam,3.Matchday,"Aug 25, 2018"
10,Keshla FK,FK Sabail,1,2,AwayTeam,3.Matchday,"Aug 26, 2018"
11,Qarabağ Ağdam,Neftchi Baku,1,1,Draw,3.Matchday,"Aug 26, 2018"
12,Qarabağ Ağdam,Sumgayit PFC,1,0,HomeTeam,4.Matchday,"Sep 14, 2018"
13,FK Sabail,Zira FC,3,0,HomeTeam,4.Matchday,"Sep 15, 2018"
14,Sabah FK,FK Qabala,1,0,HomeTeam,4.Matchday,"Sep 16, 2018"
15,Neftchi Baku,Keshla FK,2,0,HomeTeam,4.Matchday,"Sep 16, 2018"
16,FK Sabail,Sabah FK,0,0,Draw,5.Matchday,"Sep 22, 2018"
17,Zira FC,Neftchi Baku,1,2,AwayTeam,5.Matchday,"Sep 22, 2018"
18,Keshla FK,Sumgayit PFC,1,2,AwayTeam,5.Matchday,"Sep 23, 2018"
19,Qarabağ Ağdam,FK Qabala,4,1,HomeTeam,5.Matchday,"Sep 23, 2018"
20,Neftchi Baku,FK Sabail,4,0,HomeTeam,6.Matchday,"Sep 29, 2018"
21,Sabah FK,Qarabağ Ağdam,0,2,AwayTeam,6.Matchday,"Sep 29, 2018"
22,FK Qabala,Keshla FK,1,1,Draw,6.Matchday,"Sep 30, 2018"
23,Sumgayit PFC,Zira FC,1,0,HomeTeam,6.Matchday,"Sep 30, 2018"
24,Zira FC,FK Qabala,1,0,HomeTeam,7.Matchday,"Oct 5, 2018"
25,FK Sabail,Sumgayit PFC,2,0,HomeTeam,7.Matchday,"Oct 5, 2018"
26,Neftchi Baku,Sabah FK,2,0,HomeTeam,7.Matchday,"Oct 5, 2018"
27,Keshla FK,Qarabağ Ağdam,1,1,Draw,7.Matchday,"Oct 31, 2018"
28,FK Qabala,Neftchi Baku,3,1,HomeTeam,8.Matchday,"Oct 20, 2018"
29,Qarabağ Ağdam,FK Sabail,0,3,AwayTeam,8.Matchday,"Oct 20, 2018"
30,Sumgayit PFC,Sabah FK,0,1,AwayTeam,8.Matchday,"Oct 21, 2018"
31,Keshla FK,Zira FC,1,0,HomeTeam,8.Matchday,"Oct 21, 2018"
32,Sabah FK,Zira FC,2,1,HomeTeam,9.Matchday,"Oct 27, 2018"
33,Sumgayit PFC,FK Qabala,2,2,Draw,9.Matchday,"Oct 27, 2018"
34,FK Sabail,Keshla FK,2,1,HomeTeam,9.Matchday,"Oct 28, 2018"
35,Neftchi Baku,Qarabağ Ağdam,3,1,HomeTeam,9.Matchday,"Oct 28, 2018"
36,Keshla FK,Neftchi Baku,0,1,AwayTeam,10.Matchday,"Nov 3, 2018"
37,Qarabağ Ağdam,Sumgayit PFC,2,0,HomeTeam,10.Matchday,"Nov 3, 2018"
38,FK Qabala,Sabah FK,2,1,HomeTeam,10.Matchday,"Nov 4, 2018"
39,Zira FC,FK Sabail,0,0,Draw,10.Matchday,"Nov 4, 2018"
40,Sabah FK,FK Sabail,0,4,AwayTeam,11.Matchday,"Nov 10, 2018"
41,Neftchi Baku,Zira FC,2,2,Draw,11.Matchday,"Nov 10, 2018"
42,FK Qabala,Qarabağ Ağdam,1,3,AwayTeam,11.Matchday,"Nov 11, 2018"
43,Sumgayit PFC,Keshla FK,1,4,AwayTeam,11.Matchday,"Nov 11, 2018"
44,Keshla FK,FK Qabala,1,2,AwayTeam,12.Matchday,"Nov 24, 2018"
45,Qarabağ Ağdam,Sabah FK,1,1,Draw,12.Matchday,"Nov 24, 2018"
46,FK Sabail,Neftchi Baku,0,2,AwayTeam,12.Matchday,"Nov 25, 2018"
47,Zira FC,Sumgayit PFC,3,1,HomeTeam,12.Matchday,"Nov 25, 2018"
48,Sabah FK,Neftchi Baku,1,2,AwayTeam,13.Matchday,"Dec 1, 2018"
49,Sumgayit PFC,FK Sabail,1,0,HomeTeam,13.Matchday,"Dec 1, 2018"
50,FK Qabala,Zira FC,0,0,Draw,13.Matchday,"Dec 2, 2018"
51,Qarabağ Ağdam,Keshla FK,5,1,HomeTeam,13.Matchday,"Dec 3, 2018"
52,Sabah FK,Keshla FK,1,2,AwayTeam,14.Matchday,"Dec 9, 2018"
53,Zira FC,Qarabağ Ağdam,0,6,AwayTeam,14.Matchday,"Dec 9, 2018"
54,FK Sabail,FK Qabala,0,0,Draw,14.Matchday,"Dec 9, 2018"
55,Neftchi Baku,Sumgayit PFC,0,0,Draw,14.Matchday,"Dec 9, 2018"
56,Zira FC,Sabah FK,0,2,AwayTeam,15.Matchday,"Feb 2, 2019"
57,Keshla FK,FK Sabail,0,3,AwayTeam,15.Matchday,"Feb 2, 2019"
58,FK Qabala,Sumgayit PFC,1,0,HomeTeam,15.Matchday,"Feb 3, 2019"
59,Qarabağ Ağdam,Neftchi Baku,1,1,Draw,15.Matchday,"Feb 3, 2019"
60,Sabah FK,FK Qabala,0,1,AwayTeam,16.Matchday,"Feb 9, 2019"
61,Sumgayit PFC,Qarabağ Ağdam,0,2,AwayTeam,16.Matchday,"Feb 9, 2019"
62,Neftchi Baku,Keshla FK,2,0,HomeTeam,16.Matchday,"Feb 10, 2019"
63,FK Sabail,Zira FC,0,2,AwayTeam,16.Matchday,"Feb 10, 2019"
64,Keshla FK,Sumgayit PFC,2,1,HomeTeam,17.Matchday,"Feb 16, 2019"
65,Zira FC,Neftchi Baku,0,0,Draw,17.Matchday,"Feb 16, 2019"
66,FK Sabail,Sabah FK,1,0,HomeTeam,17.Matchday,"Feb 17, 2019"
67,Qarabağ Ağdam,FK Qabala,2,1,HomeTeam,17.Matchday,"Feb 17, 2019"
68,FK Qabala,Keshla FK,0,0,Draw,18.Matchday,"Feb 23, 2019"
69,Sabah FK,Qarabağ Ağdam,1,1,Draw,18.Matchday,"Feb 23, 2019"
