,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,UE Engordany,UE Escale Santa Coloma,1,2,AwayTeam,1.Matchday,-
1,CE Jenlai,UE Sant Julia,1,3,AwayTeam,1.Matchday,"Sep 18, 2016"
2,FC Lusitanos,FC Ordino,1,0,HomeTeam,1.Matchday,"Sep 18, 2016"
3,FC Santa Coloma,FC Encamp,0,1,AwayTeam,1.Matchday,"Sep 18, 2016"
4,UE Escale Santa Coloma,FC Lusitanos,1,1,Draw,2.Matchday,"Sep 25, 2016"
5,FC Encamp,UE Engordany,1,1,Draw,2.Matchday,"Sep 25, 2016"
6,FC Ordino,CE Jenlai,0,0,Draw,2.Matchday,"Sep 25, 2016"
7,UE Sant Julia,FC Santa Coloma,1,1,Draw,2.Matchday,"Sep 25, 2016"
8,UE Sant Julia,FC Ordino,7,1,HomeTeam,3.Matchday,"Oct 2, 2016"
9,CE Jenlai,UE Escale Santa Coloma,0,5,AwayTeam,3.Matchday,"Oct 2, 2016"
10,FC Lusitanos,FC Encamp,1,0,HomeTeam,3.Matchday,"Oct 2, 2016"
11,FC Santa Coloma,UE Engordany,1,0,HomeTeam,3.Matchday,"Oct 2, 2016"
12,FC Ordino,FC Santa Coloma,1,2,AwayTeam,4.Matchday,"Oct 16, 2016"
13,UE Escale Santa Coloma,UE Sant Julia,1,1,Draw,4.Matchday,"Oct 16, 2016"
14,FC Encamp,CE Jenlai,1,2,AwayTeam,4.Matchday,"Oct 16, 2016"
15,UE Engordany,FC Lusitanos,1,1,Draw,4.Matchday,"Oct 16, 2016"
16,CE Jenlai,UE Engordany,0,3,AwayTeam,5.Matchday,"Oct 23, 2016"
17,FC Santa Coloma,FC Lusitanos,2,3,AwayTeam,5.Matchday,"Oct 23, 2016"
18,FC Ordino,UE Escale Santa Coloma,0,1,AwayTeam,5.Matchday,"Oct 23, 2016"
19,UE Sant Julia,FC Encamp,1,0,HomeTeam,5.Matchday,"Oct 23, 2016"
20,FC Encamp,FC Ordino,1,2,AwayTeam,6.Matchday,"Oct 30, 2016"
21,UE Engordany,UE Sant Julia,1,3,AwayTeam,6.Matchday,"Oct 30, 2016"
22,FC Santa Coloma,UE Escale Santa Coloma,1,1,Draw,6.Matchday,"Oct 30, 2016"
23,FC Lusitanos,CE Jenlai,2,0,HomeTeam,6.Matchday,"Oct 30, 2016"
24,UE Escale Santa Coloma,FC Encamp,2,0,HomeTeam,7.Matchday,"Nov 6, 2016"
25,FC Ordino,UE Engordany,1,6,AwayTeam,7.Matchday,"Nov 6, 2016"
26,CE Jenlai,FC Santa Coloma,0,3,AwayTeam,7.Matchday,"Nov 6, 2016"
27,UE Sant Julia,FC Lusitanos,2,1,HomeTeam,7.Matchday,"Nov 6, 2016"
28,UE Sant Julia,CE Jenlai,9,0,HomeTeam,8.Matchday,"Nov 20, 2016"
29,FC Encamp,FC Santa Coloma,0,1,AwayTeam,8.Matchday,"Nov 20, 2016"
30,FC Ordino,FC Lusitanos,1,2,AwayTeam,8.Matchday,"Nov 20, 2016"
31,UE Escale Santa Coloma,UE Engordany,2,1,HomeTeam,8.Matchday,"Nov 20, 2016"
32,FC Lusitanos,UE Escale Santa Coloma,1,2,AwayTeam,9.Matchday,"Nov 27, 2016"
33,FC Santa Coloma,UE Sant Julia,2,1,HomeTeam,9.Matchday,"Nov 27, 2016"
34,CE Jenlai,FC Ordino,1,4,AwayTeam,9.Matchday,"Nov 27, 2016"
