,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,NK Maribor,FC Koper,3,2,HomeTeam,1.Matchday,"Jul 19, 2008"
1,NK Domzale,NK Primorje Ajdovscina,2,0,HomeTeam,1.Matchday,"Jul 19, 2008"
2,NK Celje,NK Rudar Velenje,2,0,HomeTeam,1.Matchday,"Jul 19, 2008"
3,NK Nafta 1903,NK Drava Dakinda Ptuj,2,0,HomeTeam,1.Matchday,"Jul 19, 2008"
4,ND Gorica,NK Interblock Ljubljana,2,2,Draw,1.Matchday,"Jul 19, 2008"
5,NK Drava Dakinda Ptuj,NK Celje,0,2,AwayTeam,2.Matchday,"Jul 26, 2008"
6,NK Primorje Ajdovscina,NK Interblock Ljubljana,1,1,Draw,2.Matchday,"Jul 26, 2008"
7,FC Koper,ND Gorica,1,3,AwayTeam,2.Matchday,"Jul 26, 2008"
8,NK Rudar Velenje,NK Maribor,1,2,AwayTeam,2.Matchday,"Jul 26, 2008"
9,NK Domzale,NK Nafta 1903,2,2,Draw,2.Matchday,"Jul 26, 2008"
10,NK Nafta 1903,NK Primorje Ajdovscina,1,0,HomeTeam,3.Matchday,"Aug 2, 2008"
11,NK Celje,NK Domzale,0,0,Draw,3.Matchday,"Aug 2, 2008"
12,NK Maribor,NK Drava Dakinda Ptuj,1,1,Draw,3.Matchday,"Aug 2, 2008"
13,ND Gorica,NK Rudar Velenje,0,2,AwayTeam,3.Matchday,"Aug 2, 2008"
14,NK Interblock Ljubljana,FC Koper,1,2,AwayTeam,3.Matchday,"Aug 2, 2008"
15,NK Nafta 1903,NK Celje,1,0,HomeTeam,4.Matchday,"Aug 9, 2008"
16,NK Primorje Ajdovscina,FC Koper,2,0,HomeTeam,4.Matchday,"Aug 9, 2008"
17,NK Rudar Velenje,NK Interblock Ljubljana,2,0,HomeTeam,4.Matchday,"Aug 9, 2008"
18,NK Drava Dakinda Ptuj,ND Gorica,5,1,HomeTeam,4.Matchday,"Aug 9, 2008"
19,NK Domzale,NK Maribor,1,0,HomeTeam,4.Matchday,"Aug 9, 2008"
