,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Rangers FC,Hamilton Academical FC,1,1,Draw,1.Matchday,"Aug 6, 2016"
1,Kilmarnock FC,Motherwell FC,1,2,AwayTeam,1.Matchday,"Aug 6, 2016"
2,Partick Thistle FC,Inverness Caledonian Thistle FC,2,0,HomeTeam,1.Matchday,"Aug 6, 2016"
3,Ross County FC,Dundee FC,1,3,AwayTeam,1.Matchday,"Aug 6, 2016"
4,St. Johnstone FC,Aberdeen FC,0,0,Draw,1.Matchday,"Aug 7, 2016"
5,Heart of Midlothian FC,Celtic FC,1,2,AwayTeam,1.Matchday,"Aug 7, 2016"
6,Dundee FC,Rangers FC,1,2,AwayTeam,2.Matchday,"Aug 13, 2016"
7,Aberdeen FC,Heart of Midlothian FC,0,0,Draw,2.Matchday,"Aug 13, 2016"
8,Hamilton Academical FC,Kilmarnock FC,1,2,AwayTeam,2.Matchday,"Aug 13, 2016"
9,Inverness Caledonian Thistle FC,Ross County FC,2,3,AwayTeam,2.Matchday,"Aug 13, 2016"
10,Motherwell FC,St. Johnstone FC,1,2,AwayTeam,2.Matchday,"Aug 13, 2016"
11,Celtic FC,Partick Thistle FC,1,0,HomeTeam,2.Matchday,"Dec 20, 2016"
12,Dundee FC,Hamilton Academical FC,1,1,Draw,3.Matchday,"Aug 19, 2016"
13,St. Johnstone FC,Celtic FC,2,4,AwayTeam,3.Matchday,"Aug 20, 2016"
14,Aberdeen FC,Partick Thistle FC,2,1,HomeTeam,3.Matchday,"Aug 20, 2016"
15,Heart of Midlothian FC,Inverness Caledonian Thistle FC,5,1,HomeTeam,3.Matchday,"Aug 20, 2016"
16,Rangers FC,Motherwell FC,2,1,HomeTeam,3.Matchday,"Aug 20, 2016"
17,Ross County FC,Kilmarnock FC,2,0,HomeTeam,3.Matchday,"Aug 20, 2016"
18,Kilmarnock FC,Rangers FC,1,1,Draw,4.Matchday,"Aug 26, 2016"
19,Hamilton Academical FC,Ross County FC,1,0,HomeTeam,4.Matchday,"Aug 27, 2016"
20,Motherwell FC,Dundee FC,0,0,Draw,4.Matchday,"Aug 27, 2016"
21,Celtic FC,Aberdeen FC,4,1,HomeTeam,4.Matchday,"Aug 27, 2016"
22,Inverness Caledonian Thistle FC,St. Johnstone FC,2,1,HomeTeam,4.Matchday,"Aug 27, 2016"
23,Partick Thistle FC,Heart of Midlothian FC,1,2,AwayTeam,4.Matchday,"Aug 27, 2016"
24,Celtic FC,Rangers FC,5,1,HomeTeam,5.Matchday,"Sep 10, 2016"
25,Aberdeen FC,Inverness Caledonian Thistle FC,1,1,Draw,5.Matchday,"Sep 10, 2016"
26,Dundee FC,Kilmarnock FC,1,1,Draw,5.Matchday,"Sep 10, 2016"
