,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Chievo Verona,Juventus FC,0,1,AwayTeam,1.Matchday,"Aug 30, 2014"
1,AS Roma,ACF Fiorentina,2,0,HomeTeam,1.Matchday,"Aug 30, 2014"
2,Atalanta BC,Hellas Verona,0,0,Draw,1.Matchday,"Aug 31, 2014"
3,AC Milan,SS Lazio,3,1,HomeTeam,1.Matchday,"Aug 31, 2014"
4,AC Cesena,Parma FC,1,0,HomeTeam,1.Matchday,"Aug 31, 2014"
5,Genoa CFC,SSC Napoli,1,2,AwayTeam,1.Matchday,"Aug 31, 2014"
6,US Palermo,UC Sampdoria,1,1,Draw,1.Matchday,"Aug 31, 2014"
7,US Sassuolo,Cagliari Calcio,1,1,Draw,1.Matchday,"Aug 31, 2014"
8,Torino FC,Inter Milan,0,0,Draw,1.Matchday,"Aug 31, 2014"
9,Udinese Calcio,FC Empoli,2,0,HomeTeam,1.Matchday,"Aug 31, 2014"
10,FC Empoli,AS Roma,0,1,AwayTeam,2.Matchday,"Sep 13, 2014"
11,Juventus FC,Udinese Calcio,2,0,HomeTeam,2.Matchday,"Sep 13, 2014"
12,UC Sampdoria,Torino FC,2,0,HomeTeam,2.Matchday,"Sep 14, 2014"
13,Cagliari Calcio,Atalanta BC,1,2,AwayTeam,2.Matchday,"Sep 14, 2014"
14,ACF Fiorentina,Genoa CFC,0,0,Draw,2.Matchday,"Sep 14, 2014"
15,Inter Milan,US Sassuolo,7,0,HomeTeam,2.Matchday,"Sep 14, 2014"
16,SS Lazio,AC Cesena,3,0,HomeTeam,2.Matchday,"Sep 14, 2014"
17,SSC Napoli,Chievo Verona,0,1,AwayTeam,2.Matchday,"Sep 14, 2014"
18,Parma FC,AC Milan,4,5,AwayTeam,2.Matchday,"Sep 14, 2014"
19,Hellas Verona,US Palermo,2,1,HomeTeam,2.Matchday,"Sep 15, 2014"
20,AC Cesena,FC Empoli,2,2,Draw,3.Matchday,"Sep 20, 2014"
21,AC Milan,Juventus FC,0,1,AwayTeam,3.Matchday,"Sep 20, 2014"
22,Chievo Verona,Parma FC,2,3,AwayTeam,3.Matchday,"Sep 21, 2014"
23,Genoa CFC,SS Lazio,1,0,HomeTeam,3.Matchday,"Sep 21, 2014"
24,AS Roma,Cagliari Calcio,2,0,HomeTeam,3.Matchday,"Sep 21, 2014"
25,US Sassuolo,UC Sampdoria,0,0,Draw,3.Matchday,"Sep 21, 2014"
26,Atalanta BC,ACF Fiorentina,0,1,AwayTeam,3.Matchday,"Sep 21, 2014"
