,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Panachaiki GE,Aris Thessaloniki,0,1,AwayTeam,1.Matchday,"Aug 24, 2002"
1,AO Egaleo,AEK Athens,1,1,Draw,1.Matchday,"Aug 24, 2002"
2,Iraklis Thessaloniki,OFI Crete,3,0,HomeTeam,1.Matchday,"Aug 25, 2002"
3,Proodeftiki Neolea,PAS Giannina,1,0,HomeTeam,1.Matchday,"Aug 25, 2002"
4,Panionios Athens,Ionikos Nikeas,2,0,HomeTeam,1.Matchday,"Aug 25, 2002"
5,Akratitos Ano Liosion,Skoda Xanthi,0,1,AwayTeam,1.Matchday,"Aug 25, 2002"
6,Olympiacos Piraeus,GS Kallithea,1,0,HomeTeam,1.Matchday,"Aug 25, 2002"
7,PAOK Thessaloniki,Panathinaikos Athens,4,1,HomeTeam,1.Matchday,"Aug 25, 2002"
8,Aris Thessaloniki,Panionios Athens,1,0,HomeTeam,2.Matchday,"Aug 31, 2002"
9,OFI Crete,Olympiacos Piraeus,0,1,AwayTeam,2.Matchday,"Sep 1, 2002"
10,GS Kallithea,Akratitos Ano Liosion,0,2,AwayTeam,2.Matchday,"Sep 1, 2002"
11,AEK Athens,PAS Giannina,3,1,HomeTeam,2.Matchday,"Sep 1, 2002"
12,Panathinaikos Athens,Proodeftiki Neolea,0,1,AwayTeam,2.Matchday,"Sep 1, 2002"
13,Panachaiki GE,Iraklis Thessaloniki,0,2,AwayTeam,2.Matchday,"Sep 1, 2002"
14,Skoda Xanthi,PAOK Thessaloniki,1,1,Draw,2.Matchday,"Sep 1, 2002"
15,Ionikos Nikeas,AO Egaleo,0,0,Draw,2.Matchday,"Sep 1, 2002"
16,PAOK Thessaloniki,GS Kallithea,2,3,AwayTeam,3.Matchday,"Sep 14, 2002"
17,AEK Athens,Panathinaikos Athens,1,0,HomeTeam,3.Matchday,"Sep 14, 2002"
18,Iraklis Thessaloniki,Olympiacos Piraeus,2,2,Draw,3.Matchday,"Sep 14, 2002"
19,Akratitos Ano Liosion,OFI Crete,1,1,Draw,3.Matchday,"Sep 15, 2002"
20,AO Egaleo,Aris Thessaloniki,3,0,HomeTeam,3.Matchday,"Sep 15, 2002"
21,PAS Giannina,Ionikos Nikeas,2,3,AwayTeam,3.Matchday,"Sep 15, 2002"
22,Proodeftiki Neolea,Skoda Xanthi,1,1,Draw,3.Matchday,"Sep 15, 2002"
23,Panionios Athens,Panachaiki GE,2,0,HomeTeam,3.Matchday,"Sep 15, 2002"
24,GS Kallithea,Proodeftiki Neolea,1,1,Draw,4.Matchday,"Sep 21, 2002"
25,Olympiacos Piraeus,Akratitos Ano Liosion,4,0,HomeTeam,4.Matchday,"Sep 21, 2002"
26,Panachaiki GE,AO Egaleo,0,2,AwayTeam,4.Matchday,"Sep 22, 2002"
27,Aris Thessaloniki,PAS Giannina,2,0,HomeTeam,4.Matchday,"Sep 22, 2002"
28,Panionios Athens,Iraklis Thessaloniki,3,1,HomeTeam,4.Matchday,"Sep 22, 2002"
29,Skoda Xanthi,AEK Athens,0,1,AwayTeam,4.Matchday,"Sep 22, 2002"
30,OFI Crete,PAOK Thessaloniki,2,3,AwayTeam,4.Matchday,"Sep 22, 2002"
31,Ionikos Nikeas,Panathinaikos Athens,0,1,AwayTeam,4.Matchday,"Sep 22, 2002"
32,PAOK Thessaloniki,Olympiacos Piraeus,1,1,Draw,5.Matchday,"Oct 26, 2002"
33,AEK Athens,GS Kallithea,1,0,HomeTeam,5.Matchday,"Oct 26, 2002"
34,AO Egaleo,Panionios Athens,0,0,Draw,5.Matchday,"Oct 27, 2002"
35,PAS Giannina,Panachaiki GE,3,0,HomeTeam,5.Matchday,"Oct 27, 2002"
36,Proodeftiki Neolea,OFI Crete,0,0,Draw,5.Matchday,"Oct 27, 2002"
37,Ionikos Nikeas,Skoda Xanthi,0,0,Draw,5.Matchday,"Oct 27, 2002"
38,Panathinaikos Athens,Aris Thessaloniki,3,2,HomeTeam,5.Matchday,"Oct 27, 2002"
39,Iraklis Thessaloniki,Akratitos Ano Liosion,1,0,HomeTeam,5.Matchday,"Oct 27, 2002"
40,GS Kallithea,Ionikos Nikeas,0,1,AwayTeam,6.Matchday,"Nov 2, 2002"
41,AO Egaleo,Iraklis Thessaloniki,0,2,AwayTeam,6.Matchday,"Nov 3, 2002"
42,Panionios Athens,PAS Giannina,2,0,HomeTeam,6.Matchday,"Nov 3, 2002"
43,Olympiacos Piraeus,Proodeftiki Neolea,0,0,Draw,6.Matchday,"Nov 3, 2002"
44,Panachaiki GE,Panathinaikos Athens,0,3,AwayTeam,6.Matchday,"Nov 3, 2002"
45,Aris Thessaloniki,Skoda Xanthi,1,1,Draw,6.Matchday,"Nov 3, 2002"
46,OFI Crete,AEK Athens,1,0,HomeTeam,6.Matchday,"Nov 3, 2002"
47,Akratitos Ano Liosion,PAOK Thessaloniki,1,3,AwayTeam,6.Matchday,"Nov 3, 2002"
48,AEK Athens,Olympiacos Piraeus,1,1,Draw,7.Matchday,"Nov 9, 2002"
49,PAS Giannina,AO Egaleo,1,1,Draw,7.Matchday,"Nov 10, 2002"
50,Proodeftiki Neolea,Akratitos Ano Liosion,5,1,HomeTeam,7.Matchday,"Nov 10, 2002"
51,Skoda Xanthi,Panachaiki GE,1,1,Draw,7.Matchday,"Nov 10, 2002"
52,Aris Thessaloniki,GS Kallithea,1,1,Draw,7.Matchday,"Nov 10, 2002"
53,Panathinaikos Athens,Panionios Athens,1,0,HomeTeam,7.Matchday,"Nov 10, 2002"
54,Ionikos Nikeas,OFI Crete,1,1,Draw,7.Matchday,"Nov 10, 2002"
55,Iraklis Thessaloniki,PAOK Thessaloniki,1,1,Draw,7.Matchday,"Nov 10, 2002"
56,OFI Crete,Aris Thessaloniki,1,2,AwayTeam,8.Matchday,"Nov 23, 2002"
57,PAS Giannina,Iraklis Thessaloniki,0,0,Draw,8.Matchday,"Nov 24, 2002"
58,PAOK Thessaloniki,Proodeftiki Neolea,4,1,HomeTeam,8.Matchday,"Nov 24, 2002"
59,Panachaiki GE,GS Kallithea,1,2,AwayTeam,8.Matchday,"Nov 24, 2002"
60,AO Egaleo,Panathinaikos Athens,0,0,Draw,8.Matchday,"Nov 24, 2002"
61,Panionios Athens,Skoda Xanthi,0,3,AwayTeam,8.Matchday,"Nov 24, 2002"
62,Akratitos Ano Liosion,AEK Athens,3,2,HomeTeam,8.Matchday,"Nov 24, 2002"
63,Olympiacos Piraeus,Ionikos Nikeas,6,0,HomeTeam,8.Matchday,"Nov 24, 2002"
64,Iraklis Thessaloniki,Proodeftiki Neolea,1,0,HomeTeam,9.Matchday,"Nov 30, 2002"
65,Skoda Xanthi,AO Egaleo,5,0,HomeTeam,9.Matchday,"Dec 1, 2002"
66,Ionikos Nikeas,Akratitos Ano Liosion,1,1,Draw,9.Matchday,"Dec 1, 2002"
67,GS Kallithea,Panionios Athens,1,1,Draw,9.Matchday,"Dec 1, 2002"
68,OFI Crete,Panachaiki GE,3,0,HomeTeam,9.Matchday,"Dec 1, 2002"
69,Panathinaikos Athens,PAS Giannina,1,0,HomeTeam,9.Matchday,"Dec 1, 2002"
70,Aris Thessaloniki,Olympiacos Piraeus,0,0,Draw,9.Matchday,"Dec 1, 2002"
71,AEK Athens,PAOK Thessaloniki,3,4,AwayTeam,9.Matchday,"Dec 1, 2002"
72,Akratitos Ano Liosion,Aris Thessaloniki,0,2,AwayTeam,10.Matchday,"Dec 7, 2002"
73,PAS Giannina,Skoda Xanthi,1,1,Draw,10.Matchday,"Dec 8, 2002"
74,Panionios Athens,OFI Crete,0,0,Draw,10.Matchday,"Dec 8, 2002"
75,PAOK Thessaloniki,Ionikos Nikeas,3,0,HomeTeam,10.Matchday,"Dec 8, 2002"
76,AO Egaleo,GS Kallithea,0,0,Draw,10.Matchday,"Dec 8, 2002"
77,Olympiacos Piraeus,Panachaiki GE,7,0,HomeTeam,10.Matchday,"Dec 8, 2002"
78,Proodeftiki Neolea,AEK Athens,1,1,Draw,10.Matchday,"Dec 8, 2002"
79,Panathinaikos Athens,Iraklis Thessaloniki,2,0,HomeTeam,10.Matchday,"Dec 8, 2002"
80,OFI Crete,AO Egaleo,2,2,Draw,11.Matchday,"Dec 14, 2002"
81,GS Kallithea,PAS Giannina,2,2,Draw,11.Matchday,"Dec 15, 2002"
82,Panachaiki GE,Akratitos Ano Liosion,2,0,HomeTeam,11.Matchday,"Dec 15, 2002"
83,Skoda Xanthi,Panathinaikos Athens,0,0,Draw,11.Matchday,"Dec 15, 2002"
84,Ionikos Nikeas,Proodeftiki Neolea,0,1,AwayTeam,11.Matchday,"Dec 15, 2002"
