,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,FC Sion,FC Basel 1893,8,1,HomeTeam,1.Matchday,"Jul 4, 2001"
1,FC St. Gallen 1879,FC Lausanne-Sport,3,0,HomeTeam,1.Matchday,"Jul 4, 2001"
2,Grasshopper Club Zurich,FC Aarau,1,0,HomeTeam,1.Matchday,"Jul 7, 2001"
3,FC Luzern,Neuchâtel Xamax,0,0,Draw,1.Matchday,"Jul 7, 2001"
4,Servette FC,FC Zürich,0,2,AwayTeam,1.Matchday,"Jul 7, 2001"
5,BSC Young Boys,FC Lugano,1,1,Draw,1.Matchday,"Jul 7, 2001"
6,FC Basel 1893,Servette FC,3,1,HomeTeam,2.Matchday,"Jul 11, 2001"
7,FC Lausanne-Sport,BSC Young Boys,2,3,AwayTeam,2.Matchday,"Jul 11, 2001"
8,FC Aarau,FC Luzern,3,2,HomeTeam,2.Matchday,"Jul 14, 2001"
9,FC Lugano,Grasshopper Club Zurich,5,3,HomeTeam,2.Matchday,"Jul 14, 2001"
10,Neuchâtel Xamax,FC Sion,0,0,Draw,2.Matchday,"Jul 14, 2001"
11,FC Zürich,FC St. Gallen 1879,3,2,HomeTeam,2.Matchday,"Jul 14, 2001"
12,FC Sion,FC Aarau,0,1,AwayTeam,3.Matchday,"Jul 17, 2001"
13,Grasshopper Club Zurich,BSC Young Boys,1,1,Draw,3.Matchday,"Jul 18, 2001"
14,FC Lausanne-Sport,FC Zürich,1,1,Draw,3.Matchday,"Jul 18, 2001"
15,FC Luzern,FC Lugano,1,2,AwayTeam,3.Matchday,"Jul 18, 2001"
16,Servette FC,Neuchâtel Xamax,2,0,HomeTeam,3.Matchday,"Jul 18, 2001"
17,FC St. Gallen 1879,FC Basel 1893,3,3,Draw,3.Matchday,"Jul 18, 2001"
18,FC Lugano,FC Sion,0,1,AwayTeam,4.Matchday,"Jul 11, 2001"
19,FC Aarau,Servette FC,1,1,Draw,4.Matchday,"Jul 21, 2001"
20,Neuchâtel Xamax,FC St. Gallen 1879,3,0,HomeTeam,4.Matchday,"Jul 21, 2001"
21,Grasshopper Club Zurich,FC Luzern,6,0,HomeTeam,4.Matchday,"Jul 21, 2001"
22,BSC Young Boys,FC Zürich,1,1,Draw,4.Matchday,"Jul 22, 2001"
23,FC Basel 1893,FC Lausanne-Sport,3,1,HomeTeam,4.Matchday,"Sep 26, 2001"
24,FC Luzern,BSC Young Boys,0,4,AwayTeam,5.Matchday,"Jul 27, 2001"
25,FC Zürich,FC Basel 1893,2,0,HomeTeam,5.Matchday,"Jul 28, 2001"
26,FC St. Gallen 1879,FC Aarau,1,1,Draw,5.Matchday,"Jul 28, 2001"
27,Servette FC,FC Lugano,1,0,HomeTeam,5.Matchday,"Jul 28, 2001"
28,FC Sion,Grasshopper Club Zurich,2,1,HomeTeam,5.Matchday,"Jul 28, 2001"
29,FC Lausanne-Sport,Neuchâtel Xamax,1,1,Draw,5.Matchday,"Aug 21, 2001"
30,Grasshopper Club Zurich,FC St. Gallen 1879,6,1,HomeTeam,6.Matchday,"Aug 4, 2001"
31,FC Aarau,FC Zürich,2,3,AwayTeam,6.Matchday,"Aug 4, 2001"
32,BSC Young Boys,FC Sion,3,2,HomeTeam,6.Matchday,"Aug 4, 2001"
33,FC Luzern,Servette FC,1,1,Draw,6.Matchday,"Aug 4, 2001"
34,Neuchâtel Xamax,FC Basel 1893,1,0,HomeTeam,6.Matchday,"Aug 4, 2001"
35,FC Lugano,FC Lausanne-Sport,2,1,HomeTeam,6.Matchday,"Aug 8, 2001"
36,FC Basel 1893,BSC Young Boys,3,1,HomeTeam,7.Matchday,"Aug 11, 2001"
37,Servette FC,Grasshopper Club Zurich,1,1,Draw,7.Matchday,"Aug 11, 2001"
38,FC Lausanne-Sport,FC Aarau,0,3,AwayTeam,7.Matchday,"Aug 11, 2001"
39,FC Sion,FC Luzern,3,1,HomeTeam,7.Matchday,"Aug 11, 2001"
40,FC Zürich,Neuchâtel Xamax,1,1,Draw,7.Matchday,"Aug 11, 2001"
41,FC St. Gallen 1879,FC Lugano,0,1,AwayTeam,7.Matchday,"Aug 12, 2001"
42,BSC Young Boys,Neuchâtel Xamax,2,0,HomeTeam,8.Matchday,"Aug 17, 2001"
43,FC Aarau,FC Basel 1893,1,1,Draw,8.Matchday,"Aug 18, 2001"
44,Grasshopper Club Zurich,FC Lausanne-Sport,1,2,AwayTeam,8.Matchday,"Aug 18, 2001"
45,FC Luzern,FC St. Gallen 1879,1,3,AwayTeam,8.Matchday,"Aug 18, 2001"
46,FC Lugano,FC Zürich,1,1,Draw,8.Matchday,"Aug 21, 2001"
47,FC Sion,Servette FC,1,3,AwayTeam,8.Matchday,"Aug 21, 2001"
48,FC Zürich,Grasshopper Club Zurich,1,3,AwayTeam,9.Matchday,"Aug 25, 2001"
49,FC Basel 1893,FC Lugano,5,1,HomeTeam,9.Matchday,"Aug 25, 2001"
50,FC Lausanne-Sport,FC Luzern,3,2,HomeTeam,9.Matchday,"Aug 25, 2001"
51,Neuchâtel Xamax,FC Aarau,0,0,Draw,9.Matchday,"Aug 25, 2001"
52,Servette FC,BSC Young Boys,3,0,HomeTeam,9.Matchday,"Aug 25, 2001"
53,FC St. Gallen 1879,FC Sion,3,0,HomeTeam,9.Matchday,"Aug 26, 2001"
54,FC Lugano,Neuchâtel Xamax,3,1,HomeTeam,10.Matchday,"Sep 7, 2001"
55,BSC Young Boys,FC Aarau,2,1,HomeTeam,10.Matchday,"Sep 8, 2001"
56,Grasshopper Club Zurich,FC Basel 1893,1,0,HomeTeam,10.Matchday,"Sep 8, 2001"
57,FC Luzern,FC Zürich,3,0,HomeTeam,10.Matchday,"Sep 8, 2001"
58,Servette FC,FC St. Gallen 1879,1,2,AwayTeam,10.Matchday,"Sep 8, 2001"
59,FC Sion,FC Lausanne-Sport,1,0,HomeTeam,10.Matchday,"Sep 8, 2001"
60,FC Zürich,FC Sion,0,0,Draw,11.Matchday,"Sep 15, 2001"
61,FC Aarau,FC Lugano,3,1,HomeTeam,11.Matchday,"Sep 15, 2001"
62,FC St. Gallen 1879,BSC Young Boys,4,1,HomeTeam,11.Matchday,"Sep 15, 2001"
63,FC Basel 1893,FC Luzern,4,1,HomeTeam,11.Matchday,"Sep 16, 2001"
64,Neuchâtel Xamax,Grasshopper Club Zurich,1,4,AwayTeam,11.Matchday,"Sep 16, 2001"
65,FC Lausanne-Sport,Servette FC,0,3,AwayTeam,11.Matchday,"Sep 17, 2001"
66,FC Lugano,BSC Young Boys,0,0,Draw,12.Matchday,"Sep 22, 2001"
67,FC Basel 1893,FC Sion,2,1,HomeTeam,12.Matchday,"Sep 22, 2001"
68,Neuchâtel Xamax,FC Luzern,4,1,HomeTeam,12.Matchday,"Sep 22, 2001"
69,FC Lausanne-Sport,FC St. Gallen 1879,1,1,Draw,12.Matchday,"Sep 23, 2001"
70,FC Aarau,Grasshopper Club Zurich,1,0,HomeTeam,12.Matchday,"Sep 23, 2001"
71,FC Zürich,Servette FC,0,3,AwayTeam,12.Matchday,"Sep 23, 2001"
72,BSC Young Boys,FC Lausanne-Sport,7,0,HomeTeam,13.Matchday,"Sep 29, 2001"
73,FC Sion,Neuchâtel Xamax,0,4,AwayTeam,13.Matchday,"Sep 29, 2001"
74,Grasshopper Club Zurich,FC Lugano,2,5,AwayTeam,13.Matchday,"Sep 30, 2001"
75,FC St. Gallen 1879,FC Zürich,3,1,HomeTeam,13.Matchday,"Sep 30, 2001"
76,Servette FC,FC Basel 1893,1,4,AwayTeam,13.Matchday,"Oct 1, 2001"
77,FC Luzern,FC Aarau,2,1,HomeTeam,13.Matchday,"Oct 16, 2001"
78,FC Aarau,FC Sion,2,2,Draw,14.Matchday,"Oct 10, 2001"
79,BSC Young Boys,Grasshopper Club Zurich,1,3,AwayTeam,14.Matchday,"Oct 10, 2001"
80,FC Zürich,FC Lausanne-Sport,1,0,HomeTeam,14.Matchday,"Oct 10, 2001"
81,FC Lugano,FC Luzern,5,0,HomeTeam,14.Matchday,"Oct 10, 2001"
82,Neuchâtel Xamax,Servette FC,1,3,AwayTeam,14.Matchday,"Oct 10, 2001"
83,FC Basel 1893,FC St. Gallen 1879,2,2,Draw,14.Matchday,"Oct 10, 2001"
84,FC Luzern,Grasshopper Club Zurich,2,1,HomeTeam,15.Matchday,"Oct 13, 2001"
85,FC Sion,FC Lugano,5,0,HomeTeam,15.Matchday,"Oct 13, 2001"
86,Servette FC,FC Aarau,3,3,Draw,15.Matchday,"Oct 13, 2001"
87,FC St. Gallen 1879,Neuchâtel Xamax,4,3,HomeTeam,15.Matchday,"Oct 14, 2001"
88,FC Zürich,BSC Young Boys,0,0,Draw,15.Matchday,"Oct 14, 2001"
89,FC Lausanne-Sport,FC Basel 1893,2,4,AwayTeam,15.Matchday,"Oct 14, 2001"
90,FC Basel 1893,FC Zürich,2,1,HomeTeam,16.Matchday,"Oct 20, 2001"
91,BSC Young Boys,FC Luzern,5,1,HomeTeam,16.Matchday,"Oct 20, 2001"
92,Neuchâtel Xamax,FC Lausanne-Sport,2,1,HomeTeam,16.Matchday,"Oct 20, 2001"
93,FC Lugano,Servette FC,1,1,Draw,16.Matchday,"Oct 21, 2001"
94,FC Aarau,FC St. Gallen 1879,0,1,AwayTeam,16.Matchday,"Oct 21, 2001"
95,Grasshopper Club Zurich,FC Sion,0,3,AwayTeam,16.Matchday,"Oct 21, 2001"
96,FC St. Gallen 1879,Grasshopper Club Zurich,0,0,Draw,17.Matchday,"Oct 27, 2001"
97,Servette FC,FC Luzern,2,0,HomeTeam,17.Matchday,"Oct 27, 2001"
98,FC Basel 1893,Neuchâtel Xamax,5,1,HomeTeam,17.Matchday,"Oct 27, 2001"
99,FC Zürich,FC Aarau,1,0,HomeTeam,17.Matchday,"Oct 28, 2001"
100,FC Sion,BSC Young Boys,1,0,HomeTeam,17.Matchday,"Oct 28, 2001"
101,FC Lausanne-Sport,FC Lugano,1,2,AwayTeam,17.Matchday,"Oct 28, 2001"
102,BSC Young Boys,FC Basel 1893,2,2,Draw,18.Matchday,"Nov 3, 2001"
103,FC Aarau,FC Lausanne-Sport,2,0,HomeTeam,18.Matchday,"Nov 3, 2001"
104,FC Luzern,FC Sion,2,6,AwayTeam,18.Matchday,"Nov 3, 2001"
105,FC Lugano,FC St. Gallen 1879,1,1,Draw,18.Matchday,"Nov 4, 2001"
106,Grasshopper Club Zurich,Servette FC,3,0,HomeTeam,18.Matchday,"Nov 4, 2001"
107,Neuchâtel Xamax,FC Zürich,1,1,Draw,18.Matchday,"Nov 4, 2001"
108,FC Basel 1893,FC Aarau,1,0,HomeTeam,19.Matchday,"Nov 17, 2001"
109,FC Lausanne-Sport,Grasshopper Club Zurich,2,4,AwayTeam,19.Matchday,"Nov 17, 2001"
110,FC St. Gallen 1879,FC Luzern,1,1,Draw,19.Matchday,"Nov 17, 2001"
111,Servette FC,FC Sion,2,3,AwayTeam,19.Matchday,"Nov 17, 2001"
112,Neuchâtel Xamax,BSC Young Boys,0,0,Draw,19.Matchday,"Nov 18, 2001"
113,FC Zürich,FC Lugano,2,3,AwayTeam,19.Matchday,"Nov 18, 2001"
114,FC Sion,FC St. Gallen 1879,0,1,AwayTeam,20.Matchday,"Nov 24, 2001"
115,FC Luzern,FC Lausanne-Sport,1,3,AwayTeam,20.Matchday,"Nov 24, 2001"
116,FC Aarau,Neuchâtel Xamax,1,2,AwayTeam,20.Matchday,"Nov 24, 2001"
117,BSC Young Boys,Servette FC,0,1,AwayTeam,20.Matchday,"Nov 25, 2001"
118,FC Lugano,FC Basel 1893,1,2,AwayTeam,20.Matchday,"Nov 25, 2001"
119,Grasshopper Club Zurich,FC Zürich,0,0,Draw,20.Matchday,"Nov 25, 2001"
120,Neuchâtel Xamax,FC Lugano,1,3,AwayTeam,21.Matchday,"Dec 1, 2001"
121,FC Aarau,BSC Young Boys,2,0,HomeTeam,21.Matchday,"Dec 1, 2001"
122,FC Zürich,FC Luzern,1,1,Draw,21.Matchday,"Dec 1, 2001"
123,FC St. Gallen 1879,Servette FC,2,2,Draw,21.Matchday,"Dec 1, 2001"
124,FC Lausanne-Sport,FC Sion,2,1,HomeTeam,21.Matchday,"Dec 1, 2001"
125,FC Basel 1893,Grasshopper Club Zurich,4,5,AwayTeam,21.Matchday,"Dec 2, 2001"
126,FC Sion,FC Zürich,0,1,AwayTeam,22.Matchday,"Dec 9, 2001"
127,FC Lugano,FC Aarau,1,0,HomeTeam,22.Matchday,"Dec 9, 2001"
128,BSC Young Boys,FC St. Gallen 1879,1,0,HomeTeam,22.Matchday,"Dec 9, 2001"
129,FC Luzern,FC Basel 1893,0,1,AwayTeam,22.Matchday,"Dec 9, 2001"
130,Grasshopper Club Zurich,Neuchâtel Xamax,4,1,HomeTeam,22.Matchday,"Dec 9, 2001"
131,Servette FC,FC Lausanne-Sport,1,1,Draw,22.Matchday,"Dec 9, 2001"
132,FC St. Gallen 1879,Grasshopper Club Zurich,2,2,Draw,23.Matchday,"Feb 23, 2002"
133,FC Lugano,FC Basel 1893,2,5,AwayTeam,23.Matchday,"Feb 24, 2002"
134,BSC Young Boys,FC Sion,4,0,HomeTeam,23.Matchday,"Feb 24, 2002"
135,FC Zürich,Servette FC,0,2,AwayTeam,23.Matchday,"Feb 24, 2002"
136,FC Basel 1893,FC Zürich,1,0,HomeTeam,24.Matchday,"Mar 2, 2002"
137,Grasshopper Club Zurich,BSC Young Boys,1,1,Draw,24.Matchday,"Mar 2, 2002"
138,FC Sion,FC St. Gallen 1879,0,2,AwayTeam,24.Matchday,"Mar 3, 2002"
139,Servette FC,FC Lugano,1,0,HomeTeam,24.Matchday,"Mar 3, 2002"
140,FC Lugano,Grasshopper Club Zurich,1,0,HomeTeam,25.Matchday,"Mar 6, 2002"
141,BSC Young Boys,Servette FC,3,1,HomeTeam,25.Matchday,"Mar 6, 2002"
142,FC Zürich,FC Sion,2,1,HomeTeam,25.Matchday,"Mar 6, 2002"
143,FC St. Gallen 1879,FC Basel 1893,1,3,AwayTeam,25.Matchday,"Apr 4, 2002"
144,Grasshopper Club Zurich,FC Zürich,3,0,HomeTeam,26.Matchday,"Mar 9, 2002"
145,FC Basel 1893,BSC Young Boys,2,0,HomeTeam,26.Matchday,"Mar 9, 2002"
146,Servette FC,FC St. Gallen 1879,2,2,Draw,26.Matchday,"Mar 9, 2002"
147,FC Sion,FC Lugano,1,4,AwayTeam,26.Matchday,"Mar 20, 2002"
148,Servette FC,Grasshopper Club Zurich,1,5,AwayTeam,27.Matchday,"Mar 15, 2002"
149,FC Zürich,FC St. Gallen 1879,1,0,HomeTeam,27.Matchday,"Mar 16, 2002"
150,FC Basel 1893,FC Sion,4,0,HomeTeam,27.Matchday,"Mar 16, 2002"
151,FC Lugano,BSC Young Boys,2,1,HomeTeam,27.Matchday,"Mar 17, 2002"
152,FC St. Gallen 1879,FC Lugano,0,0,Draw,28.Matchday,"Mar 23, 2002"
153,FC Sion,Servette FC,2,3,AwayTeam,28.Matchday,"Mar 24, 2002"
154,BSC Young Boys,FC Zürich,3,2,HomeTeam,28.Matchday,"Mar 24, 2002"
155,Grasshopper Club Zurich,FC Basel 1893,1,0,HomeTeam,28.Matchday,"Mar 24, 2002"
156,BSC Young Boys,FC St. Gallen 1879,1,0,HomeTeam,29.Matchday,"Mar 30, 2002"
157,Grasshopper Club Zurich,FC Sion,1,0,HomeTeam,29.Matchday,"Mar 30, 2002"
158,FC Lugano,FC Zürich,2,0,HomeTeam,29.Matchday,"Mar 30, 2002"
159,Servette FC,FC Basel 1893,1,2,AwayTeam,29.Matchday,"Apr 1, 2002"
160,FC Sion,Grasshopper Club Zurich,0,2,AwayTeam,30.Matchday,"Apr 6, 2002"
161,FC Basel 1893,Servette FC,3,2,HomeTeam,30.Matchday,"Apr 7, 2002"
162,FC St. Gallen 1879,BSC Young Boys,3,1,HomeTeam,30.Matchday,"Apr 7, 2002"
163,FC Zürich,FC Lugano,0,2,AwayTeam,30.Matchday,"Apr 7, 2002"
164,FC Lugano,FC St. Gallen 1879,1,0,HomeTeam,31.Matchday,"Apr 13, 2002"
165,Servette FC,FC Sion,4,1,HomeTeam,31.Matchday,"Apr 13, 2002"
166,FC Basel 1893,Grasshopper Club Zurich,4,1,HomeTeam,31.Matchday,"Apr 14, 2002"
167,FC Zürich,BSC Young Boys,2,0,HomeTeam,31.Matchday,"Apr 14, 2002"
168,Grasshopper Club Zurich,Servette FC,2,2,Draw,32.Matchday,"Apr 19, 2002"
169,FC Sion,FC Basel 1893,0,3,AwayTeam,32.Matchday,"Apr 20, 2002"
170,FC St. Gallen 1879,FC Zürich,0,1,AwayTeam,32.Matchday,"Apr 20, 2002"
171,BSC Young Boys,FC Lugano,2,2,Draw,32.Matchday,"Apr 20, 2002"
172,FC St. Gallen 1879,Servette FC,1,3,AwayTeam,33.Matchday,"Apr 24, 2002"
173,BSC Young Boys,FC Basel 1893,0,3,AwayTeam,33.Matchday,"Apr 24, 2002"
174,FC Lugano,FC Sion,2,0,HomeTeam,33.Matchday,"Apr 25, 2002"
175,FC Zürich,Grasshopper Club Zurich,1,1,Draw,33.Matchday,"Apr 25, 2002"
176,FC Basel 1893,FC St. Gallen 1879,1,2,AwayTeam,34.Matchday,"Apr 27, 2002"
177,Servette FC,BSC Young Boys,0,0,Draw,34.Matchday,"Apr 27, 2002"
178,Grasshopper Club Zurich,FC Lugano,2,1,HomeTeam,34.Matchday,"Apr 28, 2002"
179,FC Sion,FC Zürich,1,1,Draw,34.Matchday,"Apr 28, 2002"
180,BSC Young Boys,Grasshopper Club Zurich,1,4,AwayTeam,35.Matchday,"May 4, 2002"
181,FC Lugano,Servette FC,1,3,AwayTeam,35.Matchday,"May 4, 2002"
182,FC St. Gallen 1879,FC Sion,2,1,HomeTeam,35.Matchday,"May 4, 2002"
183,FC Zürich,FC Basel 1893,3,1,HomeTeam,35.Matchday,"May 4, 2002"
184,FC Basel 1893,FC Lugano,4,3,HomeTeam,36.Matchday,"May 8, 2002"
185,Grasshopper Club Zurich,FC St. Gallen 1879,3,3,Draw,36.Matchday,"May 8, 2002"
186,FC Sion,BSC Young Boys,3,1,HomeTeam,36.Matchday,"May 8, 2002"
187,Servette FC,FC Zürich,0,1,AwayTeam,36.Matchday,"May 8, 2002"
