,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,FK Napredak Krusevac,FK Hajduk Kula,0,1,AwayTeam,1.Matchday,"Aug 16, 2008"
1,OFK Beograd,FK Jagodina,1,0,HomeTeam,1.Matchday,"Aug 16, 2008"
2,FK Borac Cacak,FK Cukaricki,0,0,Draw,1.Matchday,"Aug 17, 2008"
3,FK Rad,FK Javor-Matis Ivanjica,0,0,Draw,1.Matchday,"Aug 17, 2008"
4,FK Vojvodina Novi Sad,Red Star Belgrade,2,0,HomeTeam,1.Matchday,"Aug 17, 2008"
5,FK Partizan Belgrade,FK Banat Zrenjanin,1,0,HomeTeam,1.Matchday,"Aug 17, 2008"
6,FK Jagodina,FK Borac Cacak,1,1,Draw,2.Matchday,"Aug 22, 2008"
7,FK Partizan Belgrade,FK Napredak Krusevac,3,1,HomeTeam,2.Matchday,"Aug 22, 2008"
8,FK Banat Zrenjanin,Red Star Belgrade,0,0,Draw,2.Matchday,"Aug 23, 2008"
9,FK Javor-Matis Ivanjica,FK Vojvodina Novi Sad,1,0,HomeTeam,2.Matchday,"Aug 23, 2008"
10,FK Cukaricki,FK Rad,2,1,HomeTeam,2.Matchday,"Aug 23, 2008"
11,FK Hajduk Kula,OFK Beograd,0,0,Draw,2.Matchday,"Aug 23, 2008"
12,FK Napredak Krusevac,FK Banat Zrenjanin,2,0,HomeTeam,3.Matchday,"Aug 30, 2008"
13,FK Rad,FK Jagodina,0,1,AwayTeam,3.Matchday,"Aug 30, 2008"
14,FK Borac Cacak,FK Hajduk Kula,0,0,Draw,3.Matchday,"Aug 31, 2008"
15,OFK Beograd,FK Partizan Belgrade,0,3,AwayTeam,3.Matchday,"Aug 31, 2008"
16,FK Vojvodina Novi Sad,FK Cukaricki,2,1,HomeTeam,3.Matchday,"Aug 31, 2008"
17,Red Star Belgrade,FK Javor-Matis Ivanjica,0,2,AwayTeam,3.Matchday,"Aug 31, 2008"
18,FK Hajduk Kula,FK Rad,2,0,HomeTeam,4.Matchday,"Sep 13, 2008"
19,FK Napredak Krusevac,OFK Beograd,0,1,AwayTeam,4.Matchday,"Sep 13, 2008"
20,FK Banat Zrenjanin,FK Javor-Matis Ivanjica,2,0,HomeTeam,4.Matchday,"Sep 13, 2008"
21,FK Partizan Belgrade,FK Borac Cacak,2,0,HomeTeam,4.Matchday,"Sep 13, 2008"
22,FK Cukaricki,Red Star Belgrade,2,2,Draw,4.Matchday,"Sep 14, 2008"
23,FK Jagodina,FK Vojvodina Novi Sad,0,1,AwayTeam,4.Matchday,"Sep 14, 2008"
24,OFK Beograd,FK Banat Zrenjanin,1,0,HomeTeam,5.Matchday,"Sep 20, 2008"
25,FK Vojvodina Novi Sad,FK Hajduk Kula,2,0,HomeTeam,5.Matchday,"Sep 20, 2008"
26,FK Javor-Matis Ivanjica,FK Cukaricki,0,0,Draw,5.Matchday,"Sep 20, 2008"
27,Red Star Belgrade,FK Jagodina,3,0,HomeTeam,5.Matchday,"Sep 20, 2008"
28,FK Borac Cacak,FK Napredak Krusevac,2,2,Draw,5.Matchday,"Sep 21, 2008"
29,FK Rad,FK Partizan Belgrade,0,3,AwayTeam,5.Matchday,"Sep 21, 2008"
30,FK Banat Zrenjanin,FK Cukaricki,0,0,Draw,6.Matchday,"Sep 27, 2008"
31,FK Jagodina,FK Javor-Matis Ivanjica,3,2,HomeTeam,6.Matchday,"Sep 27, 2008"
32,FK Hajduk Kula,Red Star Belgrade,1,2,AwayTeam,6.Matchday,"Sep 27, 2008"
33,FK Napredak Krusevac,FK Rad,1,1,Draw,6.Matchday,"Sep 27, 2008"
34,FK Partizan Belgrade,FK Vojvodina Novi Sad,1,0,HomeTeam,6.Matchday,"Sep 27, 2008"
35,OFK Beograd,FK Borac Cacak,1,1,Draw,6.Matchday,"Sep 28, 2008"
36,FK Vojvodina Novi Sad,FK Napredak Krusevac,1,0,HomeTeam,7.Matchday,"Oct 4, 2008"
37,FK Javor-Matis Ivanjica,FK Hajduk Kula,1,1,Draw,7.Matchday,"Oct 4, 2008"
38,FK Cukaricki,FK Jagodina,4,1,HomeTeam,7.Matchday,"Oct 4, 2008"
39,FK Rad,OFK Beograd,0,0,Draw,7.Matchday,"Oct 5, 2008"
40,Red Star Belgrade,FK Partizan Belgrade,0,2,AwayTeam,7.Matchday,"Oct 5, 2008"
41,FK Borac Cacak,FK Banat Zrenjanin,1,2,AwayTeam,7.Matchday,"Oct 7, 2008"
42,FK Banat Zrenjanin,FK Jagodina,1,2,AwayTeam,8.Matchday,"Oct 18, 2008"
43,FK Hajduk Kula,FK Cukaricki,1,0,HomeTeam,8.Matchday,"Oct 18, 2008"
44,FK Partizan Belgrade,FK Javor-Matis Ivanjica,2,2,Draw,8.Matchday,"Oct 18, 2008"
45,FK Borac Cacak,FK Rad,1,1,Draw,8.Matchday,"Oct 18, 2008"
46,FK Napredak Krusevac,Red Star Belgrade,1,2,AwayTeam,8.Matchday,"Oct 19, 2008"
47,OFK Beograd,FK Vojvodina Novi Sad,2,1,HomeTeam,8.Matchday,"Oct 19, 2008"
48,FK Rad,FK Banat Zrenjanin,1,1,Draw,9.Matchday,"Oct 25, 2008"
49,Red Star Belgrade,OFK Beograd,5,1,HomeTeam,9.Matchday,"Oct 25, 2008"
50,FK Javor-Matis Ivanjica,FK Napredak Krusevac,2,1,HomeTeam,9.Matchday,"Oct 25, 2008"
51,FK Jagodina,FK Hajduk Kula,1,0,HomeTeam,9.Matchday,"Oct 25, 2008"
52,FK Vojvodina Novi Sad,FK Borac Cacak,1,0,HomeTeam,9.Matchday,"Oct 26, 2008"
53,FK Cukaricki,FK Partizan Belgrade,1,0,HomeTeam,9.Matchday,"Oct 26, 2008"
54,FK Banat Zrenjanin,FK Hajduk Kula,1,0,HomeTeam,10.Matchday,"Oct 29, 2008"
55,FK Napredak Krusevac,FK Cukaricki,2,0,HomeTeam,10.Matchday,"Oct 29, 2008"
56,OFK Beograd,FK Javor-Matis Ivanjica,0,1,AwayTeam,10.Matchday,"Oct 29, 2008"
57,FK Borac Cacak,Red Star Belgrade,1,0,HomeTeam,10.Matchday,"Oct 29, 2008"
58,FK Rad,FK Vojvodina Novi Sad,1,0,HomeTeam,10.Matchday,"Oct 29, 2008"
59,FK Partizan Belgrade,FK Jagodina,2,0,HomeTeam,10.Matchday,"Oct 29, 2008"
60,FK Vojvodina Novi Sad,FK Banat Zrenjanin,2,0,HomeTeam,11.Matchday,"Nov 1, 2008"
61,Red Star Belgrade,FK Rad,2,0,HomeTeam,11.Matchday,"Nov 1, 2008"
62,FK Javor-Matis Ivanjica,FK Borac Cacak,2,2,Draw,11.Matchday,"Nov 1, 2008"
63,FK Cukaricki,OFK Beograd,0,1,AwayTeam,11.Matchday,"Nov 1, 2008"
64,FK Jagodina,FK Napredak Krusevac,1,0,HomeTeam,11.Matchday,"Nov 1, 2008"
65,FK Hajduk Kula,FK Partizan Belgrade,1,1,Draw,11.Matchday,"Nov 1, 2008"
66,FK Hajduk Kula,FK Napredak Krusevac,1,0,HomeTeam,12.Matchday,"Nov 8, 2008"
67,FK Jagodina,OFK Beograd,2,0,HomeTeam,12.Matchday,"Nov 8, 2008"
68,FK Cukaricki,FK Borac Cacak,0,1,AwayTeam,12.Matchday,"Nov 8, 2008"
69,FK Javor-Matis Ivanjica,FK Rad,1,0,HomeTeam,12.Matchday,"Nov 8, 2008"
70,Red Star Belgrade,FK Vojvodina Novi Sad,3,1,HomeTeam,12.Matchday,"Nov 8, 2008"
71,FK Banat Zrenjanin,FK Partizan Belgrade,0,2,AwayTeam,12.Matchday,"Nov 9, 2008"
72,FK Vojvodina Novi Sad,FK Javor-Matis Ivanjica,1,0,HomeTeam,13.Matchday,"Nov 15, 2008"
73,FK Borac Cacak,FK Jagodina,2,1,HomeTeam,13.Matchday,"Nov 15, 2008"
74,OFK Beograd,FK Hajduk Kula,2,0,HomeTeam,13.Matchday,"Nov 15, 2008"
75,FK Napredak Krusevac,FK Partizan Belgrade,0,4,AwayTeam,13.Matchday,"Nov 15, 2008"
76,Red Star Belgrade,FK Banat Zrenjanin,2,1,HomeTeam,13.Matchday,"Nov 15, 2008"
77,FK Rad,FK Cukaricki,3,0,HomeTeam,13.Matchday,"Nov 16, 2008"
78,FK Hajduk Kula,FK Borac Cacak,2,0,HomeTeam,14.Matchday,"Nov 22, 2008"
79,FK Banat Zrenjanin,FK Napredak Krusevac,0,0,Draw,14.Matchday,"Nov 22, 2008"
80,FK Cukaricki,FK Vojvodina Novi Sad,0,1,AwayTeam,14.Matchday,"Nov 23, 2008"
81,FK Javor-Matis Ivanjica,Red Star Belgrade,1,1,Draw,14.Matchday,"Nov 23, 2008"
82,FK Jagodina,FK Rad,0,0,Draw,14.Matchday,"Nov 23, 2008"
83,FK Partizan Belgrade,OFK Beograd,5,1,HomeTeam,14.Matchday,"Nov 23, 2008"
84,OFK Beograd,FK Napredak Krusevac,0,2,AwayTeam,15.Matchday,"Nov 29, 2008"
85,FK Javor-Matis Ivanjica,FK Banat Zrenjanin,3,0,HomeTeam,15.Matchday,"Nov 29, 2008"
86,FK Vojvodina Novi Sad,FK Jagodina,3,0,HomeTeam,15.Matchday,"Nov 29, 2008"
87,Red Star Belgrade,FK Cukaricki,2,0,HomeTeam,15.Matchday,"Nov 29, 2008"
88,FK Rad,FK Hajduk Kula,1,1,Draw,15.Matchday,"Nov 30, 2008"
89,FK Borac Cacak,FK Partizan Belgrade,1,0,HomeTeam,15.Matchday,"Nov 30, 2008"
90,FK Banat Zrenjanin,OFK Beograd,4,2,HomeTeam,16.Matchday,"Dec 6, 2008"
91,FK Hajduk Kula,FK Vojvodina Novi Sad,1,2,AwayTeam,16.Matchday,"Dec 6, 2008"
92,FK Napredak Krusevac,FK Borac Cacak,1,1,Draw,16.Matchday,"Dec 6, 2008"
93,FK Jagodina,Red Star Belgrade,1,4,AwayTeam,16.Matchday,"Dec 6, 2008"
94,FK Partizan Belgrade,FK Rad,1,1,Draw,16.Matchday,"Dec 6, 2008"
95,FK Cukaricki,FK Javor-Matis Ivanjica,1,3,AwayTeam,16.Matchday,"Dec 7, 2008"
96,FK Javor-Matis Ivanjica,FK Jagodina,2,1,HomeTeam,17.Matchday,"Dec 10, 2008"
97,FK Rad,FK Napredak Krusevac,2,0,HomeTeam,17.Matchday,"Dec 10, 2008"
98,FK Borac Cacak,OFK Beograd,2,1,HomeTeam,17.Matchday,"Dec 10, 2008"
99,FK Cukaricki,FK Banat Zrenjanin,3,0,HomeTeam,17.Matchday,"Dec 10, 2008"
100,FK Vojvodina Novi Sad,FK Partizan Belgrade,0,0,Draw,17.Matchday,"Dec 10, 2008"
101,Red Star Belgrade,FK Hajduk Kula,1,2,AwayTeam,17.Matchday,"Dec 10, 2008"
102,OFK Beograd,FK Rad,1,1,Draw,18.Matchday,"Feb 28, 2009"
103,FK Napredak Krusevac,FK Vojvodina Novi Sad,2,1,HomeTeam,18.Matchday,"Feb 28, 2009"
104,FK Jagodina,FK Cukaricki,1,2,AwayTeam,18.Matchday,"Feb 28, 2009"
105,FK Banat Zrenjanin,FK Borac Cacak,0,0,Draw,18.Matchday,"Feb 28, 2009"
106,FK Partizan Belgrade,Red Star Belgrade,1,1,Draw,18.Matchday,"Feb 28, 2009"
107,FK Hajduk Kula,FK Javor-Matis Ivanjica,1,1,Draw,18.Matchday,"Mar 1, 2009"
