,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Aarhus GF,FC Midtjylland,0,2,AwayTeam,1.Matchday,"Jul 19, 2013"
1,Viborg FF,Randers FC,2,2,Draw,1.Matchday,"Jul 20, 2013"
2,Odense Boldklub,SönderjyskE,1,1,Draw,1.Matchday,"Jul 21, 2013"
3,Bröndby IF,FC Vestsjaelland,1,1,Draw,1.Matchday,"Jul 21, 2013"
4,Aalborg BK,FC Copenhagen,2,1,HomeTeam,1.Matchday,"Jul 21, 2013"
5,Esbjerg fB,FC Nordsjaelland,4,0,HomeTeam,1.Matchday,"Jul 22, 2013"
6,FC Nordsjaelland,Viborg FF,1,1,Draw,2.Matchday,"Jul 26, 2013"
7,FC Vestsjaelland,Aarhus GF,0,2,AwayTeam,2.Matchday,"Jul 27, 2013"
8,Randers FC,Odense Boldklub,1,1,Draw,2.Matchday,"Jul 28, 2013"
9,SönderjyskE,Bröndby IF,1,0,HomeTeam,2.Matchday,"Jul 28, 2013"
10,FC Midtjylland,FC Copenhagen,1,0,HomeTeam,2.Matchday,"Jul 28, 2013"
11,Esbjerg fB,Aalborg BK,1,2,AwayTeam,2.Matchday,"Jul 29, 2013"
12,FC Midtjylland,SönderjyskE,2,1,HomeTeam,3.Matchday,"Aug 2, 2013"
13,Aarhus GF,FC Nordsjaelland,2,1,HomeTeam,3.Matchday,"Aug 3, 2013"
14,Odense Boldklub,Viborg FF,4,2,HomeTeam,3.Matchday,"Aug 4, 2013"
15,FC Copenhagen,Randers FC,1,3,AwayTeam,3.Matchday,"Aug 4, 2013"
16,Bröndby IF,Esbjerg fB,0,2,AwayTeam,3.Matchday,"Aug 4, 2013"
17,FC Vestsjaelland,Aalborg BK,2,1,HomeTeam,3.Matchday,"Aug 5, 2013"
18,Viborg FF,Bröndby IF,2,2,Draw,4.Matchday,"Aug 9, 2013"
19,Esbjerg fB,Aarhus GF,5,1,HomeTeam,4.Matchday,"Aug 10, 2013"
20,Randers FC,FC Midtjylland,1,3,AwayTeam,4.Matchday,"Aug 11, 2013"
21,Aalborg BK,Odense Boldklub,0,0,Draw,4.Matchday,"Aug 11, 2013"
22,FC Nordsjaelland,FC Copenhagen,2,2,Draw,4.Matchday,"Aug 11, 2013"
23,SönderjyskE,FC Vestsjaelland,0,0,Draw,4.Matchday,"Aug 12, 2013"
24,FC Midtjylland,Bröndby IF,5,2,HomeTeam,5.Matchday,"Aug 16, 2013"
25,FC Nordsjaelland,Aalborg BK,2,1,HomeTeam,5.Matchday,"Aug 17, 2013"
26,FC Vestsjaelland,Odense Boldklub,1,1,Draw,5.Matchday,"Aug 18, 2013"
27,SönderjyskE,Viborg FF,0,3,AwayTeam,5.Matchday,"Aug 18, 2013"
28,FC Copenhagen,Aarhus GF,1,1,Draw,5.Matchday,"Aug 18, 2013"
29,Randers FC,Esbjerg fB,3,2,HomeTeam,5.Matchday,"Aug 19, 2013"
30,Aarhus GF,SönderjyskE,3,1,HomeTeam,6.Matchday,"Aug 23, 2013"
31,Odense Boldklub,FC Nordsjaelland,1,0,HomeTeam,6.Matchday,"Aug 25, 2013"
32,Viborg FF,Esbjerg fB,3,1,HomeTeam,6.Matchday,"Aug 25, 2013"
33,FC Copenhagen,FC Vestsjaelland,1,1,Draw,6.Matchday,"Aug 25, 2013"
34,Bröndby IF,Randers FC,0,0,Draw,6.Matchday,"Aug 25, 2013"
35,Aalborg BK,FC Midtjylland,1,1,Draw,6.Matchday,"Aug 26, 2013"
36,Odense Boldklub,Aarhus GF,3,6,AwayTeam,7.Matchday,"Aug 30, 2013"
37,FC Nordsjaelland,FC Vestsjaelland,1,2,AwayTeam,7.Matchday,"Sep 1, 2013"
38,Esbjerg fB,FC Midtjylland,1,1,Draw,7.Matchday,"Sep 1, 2013"
39,Viborg FF,FC Copenhagen,1,4,AwayTeam,7.Matchday,"Sep 1, 2013"
40,Aalborg BK,Bröndby IF,2,1,HomeTeam,7.Matchday,"Sep 1, 2013"
41,Randers FC,SönderjyskE,0,2,AwayTeam,7.Matchday,"Sep 2, 2013"
42,SönderjyskE,Aalborg BK,1,3,AwayTeam,8.Matchday,"Sep 13, 2013"
43,FC Copenhagen,Esbjerg fB,1,1,Draw,8.Matchday,"Sep 14, 2013"
44,Aarhus GF,Viborg FF,0,1,AwayTeam,8.Matchday,"Sep 15, 2013"
45,FC Vestsjaelland,Randers FC,2,0,HomeTeam,8.Matchday,"Sep 15, 2013"
46,Bröndby IF,Odense Boldklub,2,1,HomeTeam,8.Matchday,"Sep 15, 2013"
47,FC Midtjylland,FC Nordsjaelland,2,1,HomeTeam,8.Matchday,"Sep 16, 2013"
48,Randers FC,Aalborg BK,3,2,HomeTeam,9.Matchday,"Sep 20, 2013"
49,FC Midtjylland,Viborg FF,0,0,Draw,9.Matchday,"Sep 21, 2013"
50,SönderjyskE,FC Nordsjaelland,2,0,HomeTeam,9.Matchday,"Sep 22, 2013"
51,Aarhus GF,Bröndby IF,1,3,AwayTeam,9.Matchday,"Sep 22, 2013"
52,FC Copenhagen,Odense Boldklub,2,1,HomeTeam,9.Matchday,"Sep 22, 2013"
53,FC Vestsjaelland,Esbjerg fB,1,3,AwayTeam,9.Matchday,"Sep 23, 2013"
54,Viborg FF,FC Vestsjaelland,2,0,HomeTeam,10.Matchday,"Sep 27, 2013"
55,Bröndby IF,FC Copenhagen,3,2,HomeTeam,10.Matchday,"Sep 28, 2013"
56,Esbjerg fB,SönderjyskE,4,1,HomeTeam,10.Matchday,"Sep 29, 2013"
57,Aalborg BK,Aarhus GF,0,0,Draw,10.Matchday,"Sep 29, 2013"
58,Odense Boldklub,FC Midtjylland,1,1,Draw,10.Matchday,"Sep 29, 2013"
59,FC Nordsjaelland,Randers FC,1,0,HomeTeam,10.Matchday,"Sep 30, 2013"
60,Randers FC,Aarhus GF,2,2,Draw,11.Matchday,"Oct 5, 2013"
61,Esbjerg fB,Odense Boldklub,1,3,AwayTeam,11.Matchday,"Oct 6, 2013"
62,Aalborg BK,Viborg FF,3,1,HomeTeam,11.Matchday,"Oct 6, 2013"
63,FC Copenhagen,SönderjyskE,2,1,HomeTeam,11.Matchday,"Oct 6, 2013"
64,FC Nordsjaelland,Bröndby IF,1,1,Draw,11.Matchday,"Oct 6, 2013"
65,FC Midtjylland,FC Vestsjaelland,2,2,Draw,11.Matchday,"Oct 7, 2013"
66,Aarhus GF,FC Nordsjaelland,0,1,AwayTeam,12.Matchday,"Oct 18, 2013"
67,FC Midtjylland,Randers FC,1,1,Draw,12.Matchday,"Oct 19, 2013"
68,FC Vestsjaelland,Esbjerg fB,2,1,HomeTeam,12.Matchday,"Oct 20, 2013"
69,Bröndby IF,Viborg FF,0,0,Draw,12.Matchday,"Oct 20, 2013"
70,FC Copenhagen,Aalborg BK,3,0,HomeTeam,12.Matchday,"Oct 20, 2013"
71,SönderjyskE,Odense Boldklub,1,5,AwayTeam,12.Matchday,"Oct 21, 2013"
72,Viborg FF,FC Vestsjaelland,4,1,HomeTeam,13.Matchday,"Oct 25, 2013"
73,FC Nordsjaelland,FC Midtjylland,2,1,HomeTeam,13.Matchday,"Oct 26, 2013"
74,Aalborg BK,SönderjyskE,2,0,HomeTeam,13.Matchday,"Oct 27, 2013"
75,Randers FC,FC Copenhagen,1,1,Draw,13.Matchday,"Oct 27, 2013"
76,Odense Boldklub,Bröndby IF,0,0,Draw,13.Matchday,"Oct 27, 2013"
77,Esbjerg fB,Aarhus GF,0,2,AwayTeam,13.Matchday,"Oct 28, 2013"
78,SönderjyskE,Randers FC,1,3,AwayTeam,14.Matchday,"Nov 1, 2013"
79,FC Copenhagen,FC Nordsjaelland,4,0,HomeTeam,14.Matchday,"Nov 2, 2013"
80,Aalborg BK,Odense Boldklub,1,0,HomeTeam,14.Matchday,"Nov 2, 2013"
81,Aarhus GF,Viborg FF,2,1,HomeTeam,14.Matchday,"Nov 3, 2013"
82,FC Midtjylland,Esbjerg fB,3,0,HomeTeam,14.Matchday,"Nov 3, 2013"
83,FC Vestsjaelland,Bröndby IF,0,2,AwayTeam,14.Matchday,"Nov 4, 2013"
84,Viborg FF,FC Midtjylland,2,3,AwayTeam,15.Matchday,"Nov 8, 2013"
85,FC Nordsjaelland,SönderjyskE,3,0,HomeTeam,15.Matchday,"Nov 9, 2013"
