,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Büyüksehir Belediyespor,Besiktas JK,1,1,Draw,1.Matchday,"Aug 7, 2009"
1,Antalyaspor,Ankaraspor,3,0,HomeTeam,1.Matchday,"Aug 8, 2009"
2,Diyarbakirspor,MKE Ankaragücü,2,2,Draw,1.Matchday,"Aug 8, 2009"
3,Sivasspor,Trabzonspor,1,2,AwayTeam,1.Matchday,"Aug 8, 2009"
4,Gaziantepspor,Galatasaray SK,2,3,AwayTeam,1.Matchday,"Aug 9, 2009"
5,Genclerbirligi Ankara,Kayserispor,0,0,Draw,1.Matchday,"Aug 9, 2009"
6,Bursaspor,Kasimpasa,2,1,HomeTeam,1.Matchday,"Aug 9, 2009"
7,Manisaspor,Eskisehirspor,0,0,Draw,1.Matchday,"Aug 9, 2009"
8,Denizlispor,Fenerbahce SK,0,2,AwayTeam,1.Matchday,"Aug 9, 2009"
9,Trabzonspor,Diyarbakirspor,1,2,AwayTeam,2.Matchday,"Aug 15, 2009"
10,MKE Ankaragücü,Manisaspor,1,1,Draw,2.Matchday,"Aug 15, 2009"
11,Galatasaray SK,Denizlispor,4,1,HomeTeam,2.Matchday,"Aug 15, 2009"
12,Fenerbahce SK,Sivasspor,3,0,HomeTeam,2.Matchday,"Aug 16, 2009"
13,Ankaraspor,Genclerbirligi Ankara,0,3,AwayTeam,2.Matchday,"Aug 16, 2009"
14,Eskisehirspor,Bursaspor,3,2,HomeTeam,2.Matchday,"Aug 16, 2009"
15,Kayserispor,Gaziantepspor,1,1,Draw,2.Matchday,"Aug 16, 2009"
16,Kasimpasa,Büyüksehir Belediyespor,1,3,AwayTeam,2.Matchday,"Aug 16, 2009"
17,Besiktas JK,Antalyaspor,2,0,HomeTeam,2.Matchday,"Aug 17, 2009"
18,Genclerbirligi Ankara,Besiktas JK,0,0,Draw,3.Matchday,"Aug 22, 2009"
19,Bursaspor,MKE Ankaragücü,1,0,HomeTeam,3.Matchday,"Aug 22, 2009"
20,Büyüksehir Belediyespor,Eskisehirspor,0,0,Draw,3.Matchday,"Aug 22, 2009"
21,Gaziantepspor,Ankaraspor,3,0,HomeTeam,3.Matchday,"Aug 23, 2009"
22,Antalyaspor,Kasimpasa,2,0,HomeTeam,3.Matchday,"Aug 23, 2009"
23,Galatasaray SK,Kayserispor,4,1,HomeTeam,3.Matchday,"Aug 23, 2009"
24,Manisaspor,Trabzonspor,1,0,HomeTeam,3.Matchday,"Aug 23, 2009"
25,Diyarbakirspor,Fenerbahce SK,1,3,AwayTeam,3.Matchday,"Aug 24, 2009"
26,Denizlispor,Sivasspor,1,1,Draw,3.Matchday,"Sep 16, 2009"
27,Besiktas JK,Gaziantepspor,0,0,Draw,4.Matchday,"Aug 28, 2009"
28,Kayserispor,Denizlispor,3,0,HomeTeam,4.Matchday,"Aug 29, 2009"
29,MKE Ankaragücü,Büyüksehir Belediyespor,2,2,Draw,4.Matchday,"Aug 29, 2009"
30,Eskisehirspor,Antalyaspor,2,1,HomeTeam,4.Matchday,"Aug 29, 2009"
31,Trabzonspor,Bursaspor,1,1,Draw,4.Matchday,"Aug 30, 2009"
32,Fenerbahce SK,Manisaspor,2,1,HomeTeam,4.Matchday,"Aug 30, 2009"
33,Sivasspor,Diyarbakirspor,0,2,AwayTeam,4.Matchday,"Aug 30, 2009"
34,Kasimpasa,Genclerbirligi Ankara,0,4,AwayTeam,4.Matchday,"Aug 30, 2009"
35,Ankaraspor,Galatasaray SK,0,3,AwayTeam,4.Matchday,"Aug 31, 2009"
36,Galatasaray SK,Besiktas JK,3,0,HomeTeam,5.Matchday,"Sep 12, 2009"
37,Denizlispor,Diyarbakirspor,0,0,Draw,5.Matchday,"Sep 12, 2009"
38,Manisaspor,Sivasspor,3,1,HomeTeam,5.Matchday,"Sep 12, 2009"
39,Kayserispor,Ankaraspor,3,0,HomeTeam,5.Matchday,"Sep 13, 2009"
40,Büyüksehir Belediyespor,Trabzonspor,1,6,AwayTeam,5.Matchday,"Sep 13, 2009"
