,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
0,Feyenoord Rotterdam,Heart of Midlothian FC,3,0,HomeTeam,Group A,-,"Oct 21, 2004"
1,FC Schalke 04,FC Basel 1893,1,1,Draw,Group A,-,"Oct 21, 2004"
2,Heart of Midlothian FC,FC Schalke 04,0,1,AwayTeam,Group A,-,"Nov 4, 2004"
3,Ferencvárosi TC,Feyenoord Rotterdam,1,1,Draw,Group A,-,"Nov 4, 2004"
4,FC Schalke 04,Ferencvárosi TC,2,0,HomeTeam,Group A,-,"Nov 25, 2004"
5,FC Basel 1893,Heart of Midlothian FC,1,2,AwayTeam,Group A,-,"Nov 25, 2004"
6,Ferencvárosi TC,FC Basel 1893,1,2,AwayTeam,Group A,-,"Dec 1, 2004"
7,Feyenoord Rotterdam,FC Schalke 04,2,1,HomeTeam,Group A,-,"Dec 1, 2004"
8,Heart of Midlothian FC,Ferencvárosi TC,0,1,AwayTeam,Group A,-,"Dec 16, 2004"
9,FC Basel 1893,Feyenoord Rotterdam,1,0,HomeTeam,Group A,-,"Dec 16, 2004"
10,Steaua Bukarest,Standard Liège,2,0,HomeTeam,Group B,-,"Oct 21, 2004"
11,Athletic Bilbao,Parma FC,2,0,HomeTeam,Group B,-,"Oct 21, 2004"
12,Parma FC,Steaua Bukarest,1,0,HomeTeam,Group B,-,"Nov 4, 2004"
13,Besiktas JK,Athletic Bilbao,3,1,HomeTeam,Group B,-,"Nov 4, 2004"
14,Steaua Bukarest,Besiktas JK,2,1,HomeTeam,Group B,-,"Nov 25, 2004"
15,Standard Liège,Parma FC,2,1,HomeTeam,Group B,-,"Nov 25, 2004"
16,Athletic Bilbao,Steaua Bukarest,1,0,HomeTeam,Group B,-,"Dec 1, 2004"
17,Besiktas JK,Standard Liège,1,1,Draw,Group B,-,"Dec 1, 2004"
18,Parma FC,Besiktas JK,3,2,HomeTeam,Group B,-,"Dec 16, 2004"
19,Standard Liège,Athletic Bilbao,1,7,AwayTeam,Group B,-,"Dec 16, 2004"
20,Dnipro Dnipropetrovsk,Club Brugge KV,3,2,HomeTeam,Group C,-,"Oct 21, 2004"
21,Real Zaragoza,FC Utrecht,2,0,HomeTeam,Group C,-,"Oct 21, 2004"
22,FC Utrecht,Dnipro Dnipropetrovsk,1,2,AwayTeam,Group C,-,"Nov 4, 2004"
23,Austria Vienna,Real Zaragoza,1,0,HomeTeam,Group C,-,"Nov 4, 2004"
24,Dnipro Dnipropetrovsk,Austria Vienna,1,0,HomeTeam,Group C,-,"Nov 25, 2004"
25,Club Brugge KV,FC Utrecht,1,0,HomeTeam,Group C,-,"Nov 25, 2004"
26,Austria Vienna,Club Brugge KV,1,1,Draw,Group C,-,"Dec 1, 2004"
27,Real Zaragoza,Dnipro Dnipropetrovsk,2,1,HomeTeam,Group C,-,"Dec 1, 2004"
28,FC Utrecht,Austria Vienna,1,2,AwayTeam,Group C,-,"Dec 16, 2004"
29,Club Brugge KV,Real Zaragoza,1,1,Draw,Group C,-,"Dec 16, 2004"
30,Dinamo Tbilisi,FC Sochaux-Montbéliard,0,2,AwayTeam,Group D,-,"Oct 21, 2004"
31,Panionios Athens,Newcastle United,0,1,AwayTeam,Group D,-,"Oct 21, 2004"
32,Newcastle United,Dinamo Tbilisi,2,0,HomeTeam,Group D,-,"Nov 4, 2004"
33,Sporting CP,Panionios Athens,4,1,HomeTeam,Group D,-,"Nov 4, 2004"
34,Dinamo Tbilisi,Sporting CP,0,4,AwayTeam,Group D,-,"Nov 25, 2004"
35,FC Sochaux-Montbéliard,Newcastle United,0,4,AwayTeam,Group D,-,"Nov 25, 2004"
36,Panionios Athens,Dinamo Tbilisi,5,2,HomeTeam,Group D,-,"Dec 1, 2004"
37,Sporting CP,FC Sochaux-Montbéliard,0,1,AwayTeam,Group D,-,"Dec 1, 2004"
38,Newcastle United,Sporting CP,1,1,Draw,Group D,-,"Dec 16, 2004"
39,FC Sochaux-Montbéliard,Panionios Athens,1,0,HomeTeam,Group D,-,"Dec 16, 2004"
40,AO Egaleo,Middlesbrough FC,0,1,AwayTeam,Group E,-,"Oct 21, 2004"
41,SS Lazio,Villarreal CF,1,1,Draw,Group E,-,"Oct 21, 2004"
42,FK Partizan Belgrade,AO Egaleo,4,0,HomeTeam,Group E,-,"Nov 4, 2004"
43,Middlesbrough FC,SS Lazio,2,0,HomeTeam,Group E,-,"Nov 4, 2004"
44,SS Lazio,FK Partizan Belgrade,2,2,Draw,Group E,-,"Nov 25, 2004"
45,Villarreal CF,Middlesbrough FC,2,0,HomeTeam,Group E,-,"Nov 25, 2004"
46,AO Egaleo,SS Lazio,2,2,Draw,Group E,-,"Dec 2, 2004"
47,FK Partizan Belgrade,Villarreal CF,1,1,Draw,Group E,-,"Dec 2, 2004"
48,Villarreal CF,AO Egaleo,4,0,HomeTeam,Group E,-,"Dec 15, 2004"
49,Middlesbrough FC,FK Partizan Belgrade,3,0,HomeTeam,Group E,-,"Dec 15, 2004"
50,Amica Wronki,Rangers FC,0,5,AwayTeam,Group F,-,"Oct 21, 2004"
51,AJ Auxerre,Grazer AK,0,0,Draw,Group F,-,"Oct 21, 2004"
52,Grazer AK,Amica Wronki,3,1,HomeTeam,Group F,-,"Nov 4, 2004"
53,AZ Alkmaar,AJ Auxerre,2,0,HomeTeam,Group F,-,"Nov 4, 2004"
54,Amica Wronki,AZ Alkmaar,1,3,AwayTeam,Group F,-,"Nov 25, 2004"
55,Rangers FC,Grazer AK,3,0,HomeTeam,Group F,-,"Nov 25, 2004"
56,AZ Alkmaar,Rangers FC,1,0,HomeTeam,Group F,-,"Dec 2, 2004"
57,AJ Auxerre,Amica Wronki,5,1,HomeTeam,Group F,-,"Dec 2, 2004"
58,Grazer AK,AZ Alkmaar,2,0,HomeTeam,Group F,-,"Dec 15, 2004"
59,Rangers FC,AJ Auxerre,0,2,AwayTeam,Group F,-,"Dec 15, 2004"
60,KSK Beveren,VfB Stuttgart,1,5,AwayTeam,Group G,-,"Oct 21, 2004"
61,SL Benfica,SC Heerenveen,4,2,HomeTeam,Group G,-,"Oct 21, 2004"
62,VfB Stuttgart,SL Benfica,3,0,HomeTeam,Group G,-,"Nov 4, 2004"
63,GNK Dinamo Zagreb,KSK Beveren,6,1,HomeTeam,Group G,-,"Nov 4, 2004"
64,SL Benfica,GNK Dinamo Zagreb,2,0,HomeTeam,Group G,-,"Nov 25, 2004"
65,SC Heerenveen,VfB Stuttgart,1,0,HomeTeam,Group G,-,"Nov 25, 2004"
66,KSK Beveren,SL Benfica,0,3,AwayTeam,Group G,-,"Dec 2, 2004"
67,GNK Dinamo Zagreb,SC Heerenveen,2,2,Draw,Group G,-,"Dec 2, 2004"
68,VfB Stuttgart,GNK Dinamo Zagreb,2,1,HomeTeam,Group G,-,"Dec 15, 2004"
69,SC Heerenveen,KSK Beveren,1,0,HomeTeam,Group G,-,"Dec 15, 2004"
70,Zenit St. Petersburg,AEK Athens,5,1,HomeTeam,Group H,-,"Oct 21, 2004"
71,Alemannia Aachen,LOSC Lille,1,0,HomeTeam,Group H,-,"Oct 21, 2004"
72,LOSC Lille,Zenit St. Petersburg,2,1,HomeTeam,Group H,-,"Nov 4, 2004"
73,Sevilla FC,Alemannia Aachen,2,0,HomeTeam,Group H,-,"Nov 4, 2004"
74,Zenit St. Petersburg,Sevilla FC,1,1,Draw,Group H,-,"Nov 25, 2004"
75,AEK Athens,LOSC Lille,1,2,AwayTeam,Group H,-,"Nov 25, 2004"
76,Alemannia Aachen,Zenit St. Petersburg,2,2,Draw,Group H,-,"Dec 2, 2004"
77,Sevilla FC,AEK Athens,3,2,HomeTeam,Group H,-,"Dec 2, 2004"
78,LOSC Lille,Sevilla FC,1,0,HomeTeam,Group H,-,"Dec 15, 2004"
79,AEK Athens,Alemannia Aachen,0,2,AwayTeam,Group H,-,"Dec 15, 2004"
80,FK Partizan Belgrade,Dnipro Dnipropetrovsk,2,2,Draw,intermediate stage 1st leg,-,"Feb 16, 2005"
81,Shakhtar Donetsk,FC Schalke 04,1,1,Draw,intermediate stage 1st leg,-,"Feb 16, 2005"
82,Panathinaikos Athens,Sevilla FC,1,0,HomeTeam,intermediate stage 1st leg,-,"Feb 16, 2005"
83,Ajax Amsterdam,AJ Auxerre,1,0,HomeTeam,intermediate stage 1st leg,-,"Feb 16, 2005"
84,Parma FC,VfB Stuttgart,0,0,Draw,intermediate stage 1st leg,-,"Feb 16, 2005"
85,Valencia CF,Steaua Bukarest,2,0,HomeTeam,intermediate stage 1st leg,-,"Feb 16, 2005"
86,Sporting CP,Feyenoord Rotterdam,2,1,HomeTeam,intermediate stage 1st leg,-,"Feb 16, 2005"
87,Dynamo Kyiv,Villarreal CF,0,0,Draw,intermediate stage 1st leg,-,"Feb 17, 2005"
88,Grazer AK,Middlesbrough FC,2,2,Draw,intermediate stage 1st leg,-,"Feb 17, 2005"
89,Fenerbahce SK,Real Zaragoza,0,1,AwayTeam,intermediate stage 1st leg,-,"Feb 17, 2005"
90,CSKA Moscow,SL Benfica,2,0,HomeTeam,intermediate stage 1st leg,-,"Feb 17, 2005"
91,Alemannia Aachen,AZ Alkmaar,0,0,Draw,intermediate stage 1st leg,-,"Feb 17, 2005"
92,FC Basel 1893,LOSC Lille,0,0,Draw,intermediate stage 1st leg,-,"Feb 17, 2005"
