,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,StageWinner,Date
0,GNK Dinamo Zagreb,FC Porto,0,2,AwayTeam,Group A,-,"Sep 18, 2012"
1,Paris Saint-Germain,Dynamo Kyiv,4,1,HomeTeam,Group A,-,"Sep 18, 2012"
2,Dynamo Kyiv,GNK Dinamo Zagreb,2,0,HomeTeam,Group A,-,"Oct 3, 2012"
3,FC Porto,Paris Saint-Germain,1,0,HomeTeam,Group A,-,"Oct 3, 2012"
4,GNK Dinamo Zagreb,Paris Saint-Germain,0,2,AwayTeam,Group A,-,"Oct 24, 2012"
5,FC Porto,Dynamo Kyiv,3,2,HomeTeam,Group A,-,"Oct 24, 2012"
6,Paris Saint-Germain,GNK Dinamo Zagreb,4,0,HomeTeam,Group A,-,"Nov 6, 2012"
7,Dynamo Kyiv,FC Porto,0,0,Draw,Group A,-,"Nov 6, 2012"
8,FC Porto,GNK Dinamo Zagreb,3,0,HomeTeam,Group A,-,"Nov 21, 2012"
9,Dynamo Kyiv,Paris Saint-Germain,0,2,AwayTeam,Group A,-,"Nov 21, 2012"
10,GNK Dinamo Zagreb,Dynamo Kyiv,1,1,Draw,Group A,-,"Dec 4, 2012"
11,Paris Saint-Germain,FC Porto,2,1,HomeTeam,Group A,-,"Dec 4, 2012"
12,HSC Montpellier,Arsenal FC,1,2,AwayTeam,Group B,-,"Sep 18, 2012"
13,Olympiacos Piraeus,FC Schalke 04,1,2,AwayTeam,Group B,-,"Sep 18, 2012"
14,FC Schalke 04,HSC Montpellier,2,2,Draw,Group B,-,"Oct 3, 2012"
15,Arsenal FC,Olympiacos Piraeus,3,1,HomeTeam,Group B,-,"Oct 3, 2012"
16,HSC Montpellier,Olympiacos Piraeus,1,2,AwayTeam,Group B,-,"Oct 24, 2012"
17,Arsenal FC,FC Schalke 04,0,2,AwayTeam,Group B,-,"Oct 24, 2012"
18,Olympiacos Piraeus,HSC Montpellier,3,1,HomeTeam,Group B,-,"Nov 6, 2012"
19,FC Schalke 04,Arsenal FC,2,2,Draw,Group B,-,"Nov 6, 2012"
20,Arsenal FC,HSC Montpellier,2,0,HomeTeam,Group B,-,"Nov 21, 2012"
21,FC Schalke 04,Olympiacos Piraeus,1,0,HomeTeam,Group B,-,"Nov 21, 2012"
22,HSC Montpellier,FC Schalke 04,1,1,Draw,Group B,-,"Dec 4, 2012"
23,Olympiacos Piraeus,Arsenal FC,2,1,HomeTeam,Group B,-,"Dec 4, 2012"
24,Málaga CF,Zenit St. Petersburg,3,0,HomeTeam,Group C,-,"Sep 18, 2012"
25,AC Milan,RSC Anderlecht,0,0,Draw,Group C,-,"Sep 18, 2012"
26,Zenit St. Petersburg,AC Milan,2,3,AwayTeam,Group C,-,"Oct 3, 2012"
27,RSC Anderlecht,Málaga CF,0,3,AwayTeam,Group C,-,"Oct 3, 2012"
28,Zenit St. Petersburg,RSC Anderlecht,1,0,HomeTeam,Group C,-,"Oct 24, 2012"
29,Málaga CF,AC Milan,1,0,HomeTeam,Group C,-,"Oct 24, 2012"
30,AC Milan,Málaga CF,1,1,Draw,Group C,-,"Nov 6, 2012"
31,RSC Anderlecht,Zenit St. Petersburg,1,0,HomeTeam,Group C,-,"Nov 6, 2012"
32,Zenit St. Petersburg,Málaga CF,2,2,Draw,Group C,-,"Nov 21, 2012"
33,RSC Anderlecht,AC Milan,1,3,AwayTeam,Group C,-,"Nov 21, 2012"
34,Málaga CF,RSC Anderlecht,2,2,Draw,Group C,-,"Dec 4, 2012"
35,AC Milan,Zenit St. Petersburg,0,1,AwayTeam,Group C,-,"Dec 4, 2012"
36,Real Madrid,Manchester City,3,2,HomeTeam,Group D,-,"Sep 18, 2012"
37,Borussia Dortmund,Ajax Amsterdam,1,0,HomeTeam,Group D,-,"Sep 18, 2012"
38,Manchester City,Borussia Dortmund,1,1,Draw,Group D,-,"Oct 3, 2012"
39,Ajax Amsterdam,Real Madrid,1,4,AwayTeam,Group D,-,"Oct 3, 2012"
40,Ajax Amsterdam,Manchester City,3,1,HomeTeam,Group D,-,"Oct 24, 2012"
41,Borussia Dortmund,Real Madrid,2,1,HomeTeam,Group D,-,"Oct 24, 2012"
42,Real Madrid,Borussia Dortmund,2,2,Draw,Group D,-,"Nov 6, 2012"
43,Manchester City,Ajax Amsterdam,2,2,Draw,Group D,-,"Nov 6, 2012"
44,Ajax Amsterdam,Borussia Dortmund,1,4,AwayTeam,Group D,-,"Nov 21, 2012"
45,Manchester City,Real Madrid,1,1,Draw,Group D,-,"Nov 21, 2012"
46,Real Madrid,Ajax Amsterdam,4,1,HomeTeam,Group D,-,"Dec 4, 2012"
47,Borussia Dortmund,Manchester City,1,0,HomeTeam,Group D,-,"Dec 4, 2012"
48,Chelsea FC,Juventus FC,2,2,Draw,Group E,-,"Sep 19, 2012"
49,Shakhtar Donetsk,FC Nordsjaelland,2,0,HomeTeam,Group E,-,"Sep 19, 2012"
50,Juventus FC,Shakhtar Donetsk,1,1,Draw,Group E,-,"Oct 2, 2012"
51,FC Nordsjaelland,Chelsea FC,0,4,AwayTeam,Group E,-,"Oct 2, 2012"
52,Shakhtar Donetsk,Chelsea FC,2,1,HomeTeam,Group E,-,"Oct 23, 2012"
53,FC Nordsjaelland,Juventus FC,1,1,Draw,Group E,-,"Oct 23, 2012"
54,Juventus FC,FC Nordsjaelland,4,0,HomeTeam,Group E,-,"Nov 7, 2012"
55,Chelsea FC,Shakhtar Donetsk,3,2,HomeTeam,Group E,-,"Nov 7, 2012"
56,FC Nordsjaelland,Shakhtar Donetsk,2,5,AwayTeam,Group E,-,"Nov 20, 2012"
57,Juventus FC,Chelsea FC,3,0,HomeTeam,Group E,-,"Nov 20, 2012"
58,Shakhtar Donetsk,Juventus FC,0,1,AwayTeam,Group E,-,"Dec 5, 2012"
59,Chelsea FC,FC Nordsjaelland,6,1,HomeTeam,Group E,-,"Dec 5, 2012"
60,Bayern Munich,Valencia CF,2,1,HomeTeam,Group F,-,"Sep 19, 2012"
61,LOSC Lille,BATE Borisov,1,3,AwayTeam,Group F,-,"Sep 19, 2012"
62,Valencia CF,LOSC Lille,2,0,HomeTeam,Group F,-,"Oct 2, 2012"
63,BATE Borisov,Bayern Munich,3,1,HomeTeam,Group F,-,"Oct 2, 2012"
64,BATE Borisov,Valencia CF,0,3,AwayTeam,Group F,-,"Oct 23, 2012"
65,LOSC Lille,Bayern Munich,0,1,AwayTeam,Group F,-,"Oct 23, 2012"
66,Valencia CF,BATE Borisov,4,2,HomeTeam,Group F,-,"Nov 7, 2012"
67,Bayern Munich,LOSC Lille,6,1,HomeTeam,Group F,-,"Nov 7, 2012"
68,BATE Borisov,LOSC Lille,0,2,AwayTeam,Group F,-,"Nov 20, 2012"
69,Valencia CF,Bayern Munich,1,1,Draw,Group F,-,"Nov 20, 2012"
70,LOSC Lille,Valencia CF,0,1,AwayTeam,Group F,-,"Dec 5, 2012"
71,Bayern Munich,BATE Borisov,4,1,HomeTeam,Group F,-,"Dec 5, 2012"
72,Celtic FC,SL Benfica,0,0,Draw,Group G,-,"Sep 19, 2012"
73,FC Barcelona,Spartak Moscow,3,2,HomeTeam,Group G,-,"Sep 19, 2012"
74,Spartak Moscow,Celtic FC,2,3,AwayTeam,Group G,-,"Oct 2, 2012"
75,SL Benfica,FC Barcelona,0,2,AwayTeam,Group G,-,"Oct 2, 2012"
76,Spartak Moscow,SL Benfica,2,1,HomeTeam,Group G,-,"Oct 23, 2012"
77,FC Barcelona,Celtic FC,2,1,HomeTeam,Group G,-,"Oct 23, 2012"
78,SL Benfica,Spartak Moscow,2,0,HomeTeam,Group G,-,"Nov 7, 2012"
79,Celtic FC,FC Barcelona,2,1,HomeTeam,Group G,-,"Nov 7, 2012"
80,Spartak Moscow,FC Barcelona,0,3,AwayTeam,Group G,-,"Nov 20, 2012"
81,SL Benfica,Celtic FC,2,1,HomeTeam,Group G,-,"Nov 20, 2012"
82,Celtic FC,Spartak Moscow,2,1,HomeTeam,Group G,-,"Dec 5, 2012"
83,FC Barcelona,SL Benfica,0,0,Draw,Group G,-,"Dec 5, 2012"
84,Manchester United,Galatasaray SK,1,0,HomeTeam,Group H,-,"Sep 19, 2012"
85,SC Braga,CFR Cluj,0,2,AwayTeam,Group H,-,"Sep 19, 2012"
86,Galatasaray SK,SC Braga,0,2,AwayTeam,Group H,-,"Oct 2, 2012"
87,CFR Cluj,Manchester United,1,2,AwayTeam,Group H,-,"Oct 2, 2012"
88,Galatasaray SK,CFR Cluj,1,1,Draw,Group H,-,"Oct 23, 2012"
89,Manchester United,SC Braga,3,2,HomeTeam,Group H,-,"Oct 23, 2012"
90,CFR Cluj,Galatasaray SK,1,3,AwayTeam,Group H,-,"Nov 7, 2012"
91,SC Braga,Manchester United,1,3,AwayTeam,Group H,-,"Nov 7, 2012"
92,CFR Cluj,SC Braga,3,1,HomeTeam,Group H,-,"Nov 20, 2012"
93,Galatasaray SK,Manchester United,1,0,HomeTeam,Group H,-,"Nov 20, 2012"
94,Manchester United,CFR Cluj,0,1,AwayTeam,Group H,-,"Dec 5, 2012"
95,SC Braga,Galatasaray SK,1,2,AwayTeam,Group H,-,"Dec 5, 2012"
96,Celtic FC,Juventus FC,0,3,AwayTeam,last 16 1st leg,-,"Feb 12, 2013"
97,Valencia CF,Paris Saint-Germain,1,2,AwayTeam,last 16 1st leg,-,"Feb 12, 2013"
98,Real Madrid,Manchester United,1,1,Draw,last 16 1st leg,-,"Feb 13, 2013"
99,Shakhtar Donetsk,Borussia Dortmund,2,2,Draw,last 16 1st leg,-,"Feb 13, 2013"
100,FC Porto,Málaga CF,1,0,HomeTeam,last 16 1st leg,-,"Feb 19, 2013"
101,Arsenal FC,Bayern Munich,1,3,AwayTeam,last 16 1st leg,-,"Feb 19, 2013"
102,Galatasaray SK,FC Schalke 04,1,1,Draw,last 16 1st leg,-,"Feb 20, 2013"
103,AC Milan,FC Barcelona,2,0,HomeTeam,last 16 1st leg,-,"Feb 20, 2013"
104,Manchester United,Real Madrid,1,2,AwayTeam,last 16 2nd leg,Real Madrid,"Mar 5, 2013"
105,Borussia Dortmund,Shakhtar Donetsk,3,0,HomeTeam,last 16 2nd leg,Borussia Dortmund,"Mar 5, 2013"
106,Juventus FC,Celtic FC,2,0,HomeTeam,last 16 2nd leg,Juventus FC,"Mar 6, 2013"
107,Paris Saint-Germain,Valencia CF,1,1,Draw,last 16 2nd leg,Paris Saint-Germain,"Mar 6, 2013"
108,FC Schalke 04,Galatasaray SK,2,3,AwayTeam,last 16 2nd leg,Galatasaray SK,"Mar 12, 2013"
109,FC Barcelona,AC Milan,4,0,HomeTeam,last 16 2nd leg,FC Barcelona,"Mar 12, 2013"
110,Málaga CF,FC Porto,2,0,HomeTeam,last 16 2nd leg,Málaga CF,"Mar 13, 2013"
