,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Turun Palloseura,FC Honka,2,0,HomeTeam,1.Matchday,"Apr 13, 2013"
1,Kuopion Palloseura,Myllykosken Pallo -47,1,1,Draw,1.Matchday,"Apr 14, 2013"
2,Rovaniemen Palloseura,IFK Mariehamn,1,3,AwayTeam,1.Matchday,"Apr 14, 2013"
3,FC Inter Turku,HJK Helsinki,2,2,Draw,1.Matchday,"May 2, 2013"
4,Vaasan Palloseura,FC Lahti,0,3,AwayTeam,1.Matchday,"Jul 31, 2013"
5,JJK Jyväskylä,FF Jaro,0,0,Draw,1.Matchday,"Jul 31, 2013"
6,Turun Palloseura,Vaasan Palloseura,0,1,AwayTeam,2.Matchday,"Apr 20, 2013"
7,Rovaniemen Palloseura,FC Lahti,3,0,HomeTeam,2.Matchday,"Apr 21, 2013"
8,Myllykosken Pallo -47,FC Inter Turku,1,0,HomeTeam,2.Matchday,"Apr 21, 2013"
9,FF Jaro,Kuopion Palloseura,2,1,HomeTeam,2.Matchday,"Apr 21, 2013"
10,IFK Mariehamn,JJK Jyväskylä,2,2,Draw,2.Matchday,"Apr 21, 2013"
11,FC Honka,HJK Helsinki,0,2,AwayTeam,2.Matchday,"Apr 22, 2013"
12,Rovaniemen Palloseura,Turun Palloseura,1,0,HomeTeam,3.Matchday,"Apr 28, 2013"
13,JJK Jyväskylä,FC Lahti,0,0,Draw,3.Matchday,"Apr 28, 2013"
14,Kuopion Palloseura,IFK Mariehamn,0,1,AwayTeam,3.Matchday,"Apr 28, 2013"
15,Vaasan Palloseura,FC Honka,0,0,Draw,3.Matchday,"Apr 28, 2013"
16,HJK Helsinki,Myllykosken Pallo -47,2,0,HomeTeam,3.Matchday,"Apr 29, 2013"
17,FC Inter Turku,FF Jaro,1,0,HomeTeam,3.Matchday,"Apr 29, 2013"
18,FF Jaro,HJK Helsinki,2,3,AwayTeam,4.Matchday,"May 5, 2013"
19,IFK Mariehamn,FC Inter Turku,1,2,AwayTeam,4.Matchday,"May 5, 2013"
