,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,Isloch Minskiy Rayon,Naftan Novopolotsk,2,0,HomeTeam,1.Matchday,"Apr 1, 2016"
1,Dynamo Brest,BATE Borisov,1,4,AwayTeam,1.Matchday,"Apr 2, 2016"
2,Belshina Bobruisk,Krumkachi Minsk,1,1,Draw,1.Matchday,"Apr 2, 2016"
3,Slavia Mozyr,FK Slutsk,1,1,Draw,1.Matchday,"Apr 2, 2016"
4,Torpedo-BelAZ Zhodino,Dinamo Minsk,0,2,AwayTeam,1.Matchday,"Apr 2, 2016"
5,FK Gorodeya,Shakhtjor Soligorsk,0,1,AwayTeam,1.Matchday,"Apr 2, 2016"
6,FK Minsk,FK Vitebsk,1,0,HomeTeam,1.Matchday,"Apr 2, 2016"
7,Neman Grodno,Granit Mikashevichi,1,1,Draw,1.Matchday,"Apr 3, 2016"
8,Granit Mikashevichi,Isloch Minskiy Rayon,0,1,AwayTeam,2.Matchday,"Apr 9, 2016"
9,Krumkachi Minsk,Neman Grodno,2,1,HomeTeam,2.Matchday,"Apr 9, 2016"
10,Naftan Novopolotsk,Slavia Mozyr,0,1,AwayTeam,2.Matchday,"Apr 10, 2016"
11,Dinamo Minsk,FK Gorodeya,2,0,HomeTeam,2.Matchday,"Apr 10, 2016"
12,FK Slutsk,Torpedo-BelAZ Zhodino,1,1,Draw,2.Matchday,"Apr 10, 2016"
13,Dynamo Brest,FK Minsk,0,3,AwayTeam,2.Matchday,"Apr 10, 2016"
14,Belshina Bobruisk,FK Vitebsk,0,1,AwayTeam,2.Matchday,"Apr 11, 2016"
15,BATE Borisov,Shakhtjor Soligorsk,2,0,HomeTeam,2.Matchday,"Apr 11, 2016"
16,Slavia Mozyr,Granit Mikashevichi,1,3,AwayTeam,3.Matchday,"Apr 15, 2016"
17,Neman Grodno,FK Vitebsk,0,0,Draw,3.Matchday,"Apr 15, 2016"
18,Belshina Bobruisk,Dynamo Brest,4,2,HomeTeam,3.Matchday,"Apr 16, 2016"
19,Torpedo-BelAZ Zhodino,Naftan Novopolotsk,2,1,HomeTeam,3.Matchday,"Apr 16, 2016"
20,FK Minsk,BATE Borisov,2,3,AwayTeam,3.Matchday,"Apr 16, 2016"
21,Shakhtjor Soligorsk,Dinamo Minsk,0,0,Draw,3.Matchday,"Apr 16, 2016"
22,FK Gorodeya,FK Slutsk,2,0,HomeTeam,3.Matchday,"Apr 17, 2016"
23,Isloch Minskiy Rayon,Krumkachi Minsk,0,0,Draw,3.Matchday,"Apr 17, 2016"
24,FK Vitebsk,Isloch Minskiy Rayon,1,2,AwayTeam,4.Matchday,"Apr 23, 2016"
25,Krumkachi Minsk,Slavia Mozyr,1,0,HomeTeam,4.Matchday,"Apr 23, 2016"
26,Dynamo Brest,Neman Grodno,2,0,HomeTeam,4.Matchday,"Apr 23, 2016"
27,Naftan Novopolotsk,FK Gorodeya,0,0,Draw,4.Matchday,"Apr 24, 2016"
28,FK Slutsk,Shakhtjor Soligorsk,1,0,HomeTeam,4.Matchday,"Apr 24, 2016"
29,FK Minsk,Belshina Bobruisk,1,1,Draw,4.Matchday,"Apr 24, 2016"
30,BATE Borisov,Dinamo Minsk,3,3,Draw,4.Matchday,"Apr 24, 2016"
31,Granit Mikashevichi,Torpedo-BelAZ Zhodino,1,1,Draw,4.Matchday,"Apr 25, 2016"
