,HomeTeam,AwayTeam,HomeScore,AwayScore,Winner,Stage,Date
0,FK Vitosha Bistritsa,FK Dunav Ruse,2,1,HomeTeam,1.Matchday,"Jul 20, 2018"
1,Cherno More Varna,POFK Botev Vratsa,2,1,HomeTeam,1.Matchday,"Jul 20, 2018"
2,PFK Ludogorets Razgrad,Etar Veliko Tarnovo,1,0,HomeTeam,1.Matchday,"Jul 21, 2018"
3,Botev Plovdiv,Levski Sofia,0,1,AwayTeam,1.Matchday,"Jul 21, 2018"
4,Slavia Sofia,PFC Beroe Stara Zagora,1,1,Draw,1.Matchday,"Jul 22, 2018"
5,CSKA Sofia,Lokomotiv Plovdiv,2,0,HomeTeam,1.Matchday,"Jul 22, 2018"
6,FK Vereya Stara Zagora,Septemvri Sofia,0,0,Draw,1.Matchday,"Jul 23, 2018"
7,Etar Veliko Tarnovo,FK Vereya Stara Zagora,1,0,HomeTeam,2.Matchday,"Jul 27, 2018"
8,FK Dunav Ruse,POFK Botev Vratsa,3,1,HomeTeam,2.Matchday,"Jul 27, 2018"
9,Septemvri Sofia,Botev Plovdiv,0,2,AwayTeam,2.Matchday,"Jul 28, 2018"
10,PFC Beroe Stara Zagora,PFK Ludogorets Razgrad,1,1,Draw,2.Matchday,"Jul 28, 2018"
11,Lokomotiv Plovdiv,Slavia Sofia,2,4,AwayTeam,2.Matchday,"Jul 29, 2018"
12,FK Vitosha Bistritsa,CSKA Sofia,0,2,AwayTeam,2.Matchday,"Jul 29, 2018"
13,Levski Sofia,Cherno More Varna,2,2,Draw,2.Matchday,"Jul 30, 2018"
14,Botev Plovdiv,Etar Veliko Tarnovo,2,0,HomeTeam,3.Matchday,"Aug 3, 2018"
15,FK Vereya Stara Zagora,PFC Beroe Stara Zagora,0,2,AwayTeam,3.Matchday,"Aug 3, 2018"
16,Cherno More Varna,Septemvri Sofia,1,5,AwayTeam,3.Matchday,"Aug 4, 2018"
17,PFK Ludogorets Razgrad,Lokomotiv Plovdiv,0,1,AwayTeam,3.Matchday,"Aug 4, 2018"
18,POFK Botev Vratsa,Levski Sofia,0,2,AwayTeam,3.Matchday,"Aug 5, 2018"
19,CSKA Sofia,FK Dunav Ruse,3,0,HomeTeam,3.Matchday,"Aug 5, 2018"
20,Slavia Sofia,FK Vitosha Bistritsa,0,2,AwayTeam,3.Matchday,"Aug 6, 2018"
21,Etar Veliko Tarnovo,Cherno More Varna,1,1,Draw,4.Matchday,"Aug 10, 2018"
22,Lokomotiv Plovdiv,FK Vereya Stara Zagora,3,0,HomeTeam,4.Matchday,"Aug 10, 2018"
23,PFC Beroe Stara Zagora,Botev Plovdiv,2,1,HomeTeam,4.Matchday,"Aug 11, 2018"
24,FK Dunav Ruse,Levski Sofia,1,2,AwayTeam,4.Matchday,"Aug 11, 2018"
25,FK Vitosha Bistritsa,PFK Ludogorets Razgrad,0,2,AwayTeam,4.Matchday,"Aug 12, 2018"
26,CSKA Sofia,Slavia Sofia,2,1,HomeTeam,4.Matchday,"Aug 12, 2018"
27,Septemvri Sofia,POFK Botev Vratsa,1,2,AwayTeam,4.Matchday,"Aug 13, 2018"
28,Slavia Sofia,FK Dunav Ruse,2,0,HomeTeam,5.Matchday,"Aug 17, 2018"
29,Cherno More Varna,PFC Beroe Stara Zagora,0,0,Draw,5.Matchday,"Aug 17, 2018"
30,Botev Plovdiv,Lokomotiv Plovdiv,0,1,AwayTeam,5.Matchday,"Aug 18, 2018"
31,POFK Botev Vratsa,Etar Veliko Tarnovo,2,0,HomeTeam,5.Matchday,"Aug 18, 2018"
32,Levski Sofia,Septemvri Sofia,2,0,HomeTeam,5.Matchday,"Aug 19, 2018"
33,PFK Ludogorets Razgrad,CSKA Sofia,1,0,HomeTeam,5.Matchday,"Aug 19, 2018"
34,FK Vereya Stara Zagora,FK Vitosha Bistritsa,0,1,AwayTeam,5.Matchday,"Aug 20, 2018"
35,FK Dunav Ruse,Septemvri Sofia,2,0,HomeTeam,6.Matchday,"Aug 24, 2018"
36,Lokomotiv Plovdiv,Cherno More Varna,0,2,AwayTeam,6.Matchday,"Aug 24, 2018"
37,Etar Veliko Tarnovo,Levski Sofia,1,2,AwayTeam,6.Matchday,"Aug 25, 2018"
38,FK Vitosha Bistritsa,Botev Plovdiv,0,2,AwayTeam,6.Matchday,"Aug 25, 2018"
39,Slavia Sofia,PFK Ludogorets Razgrad,0,0,Draw,6.Matchday,"Aug 26, 2018"
40,CSKA Sofia,FK Vereya Stara Zagora,4,0,HomeTeam,6.Matchday,"Aug 26, 2018"
41,PFC Beroe Stara Zagora,POFK Botev Vratsa,4,0,HomeTeam,6.Matchday,"Aug 27, 2018"
42,FK Vereya Stara Zagora,Slavia Sofia,0,0,Draw,7.Matchday,"Aug 31, 2018"
43,Cherno More Varna,FK Vitosha Bistritsa,1,0,HomeTeam,7.Matchday,"Aug 31, 2018"
44,Septemvri Sofia,Etar Veliko Tarnovo,0,2,AwayTeam,7.Matchday,"Sep 1, 2018"
45,Botev Plovdiv,CSKA Sofia,0,0,Draw,7.Matchday,"Sep 1, 2018"
46,Levski Sofia,PFC Beroe Stara Zagora,1,0,HomeTeam,7.Matchday,"Sep 1, 2018"
47,POFK Botev Vratsa,Lokomotiv Plovdiv,0,0,Draw,7.Matchday,"Sep 2, 2018"
48,PFK Ludogorets Razgrad,FK Dunav Ruse,3,1,HomeTeam,7.Matchday,"Sep 2, 2018"
49,FK Vitosha Bistritsa,POFK Botev Vratsa,1,1,Draw,8.Matchday,"Sep 14, 2018"
50,PFK Ludogorets Razgrad,FK Vereya Stara Zagora,2,1,HomeTeam,8.Matchday,"Sep 14, 2018"
51,FK Dunav Ruse,Etar Veliko Tarnovo,2,4,AwayTeam,8.Matchday,"Sep 15, 2018"
52,PFC Beroe Stara Zagora,Septemvri Sofia,1,0,HomeTeam,8.Matchday,"Sep 15, 2018"
53,CSKA Sofia,Cherno More Varna,3,1,HomeTeam,8.Matchday,"Sep 15, 2018"
54,Slavia Sofia,Botev Plovdiv,0,0,Draw,8.Matchday,"Sep 16, 2018"
55,Lokomotiv Plovdiv,Levski Sofia,1,0,HomeTeam,8.Matchday,"Sep 16, 2018"
56,Etar Veliko Tarnovo,PFC Beroe Stara Zagora,1,1,Draw,9.Matchday,"Sep 21, 2018"
57,Levski Sofia,FK Vitosha Bistritsa,4,1,HomeTeam,9.Matchday,"Sep 21, 2018"
58,Septemvri Sofia,Lokomotiv Plovdiv,1,3,AwayTeam,9.Matchday,"Sep 22, 2018"
59,POFK Botev Vratsa,CSKA Sofia,0,2,AwayTeam,9.Matchday,"Sep 22, 2018"
60,FK Vereya Stara Zagora,FK Dunav Ruse,1,1,Draw,9.Matchday,"Sep 23, 2018"
61,Cherno More Varna,Slavia Sofia,1,2,AwayTeam,9.Matchday,"Sep 23, 2018"
62,Botev Plovdiv,PFK Ludogorets Razgrad,2,3,AwayTeam,9.Matchday,"Sep 23, 2018"
63,FK Vitosha Bistritsa,Septemvri Sofia,2,1,HomeTeam,10.Matchday,"Sep 28, 2018"
64,CSKA Sofia,Levski Sofia,0,1,AwayTeam,10.Matchday,"Sep 29, 2018"
65,PFK Ludogorets Razgrad,Cherno More Varna,5,1,HomeTeam,10.Matchday,"Sep 29, 2018"
66,FK Dunav Ruse,PFC Beroe Stara Zagora,1,1,Draw,10.Matchday,"Sep 30, 2018"
67,FK Vereya Stara Zagora,Botev Plovdiv,1,2,AwayTeam,10.Matchday,"Sep 30, 2018"
68,Lokomotiv Plovdiv,Etar Veliko Tarnovo,0,0,Draw,10.Matchday,"Sep 30, 2018"
69,Slavia Sofia,POFK Botev Vratsa,0,1,AwayTeam,10.Matchday,"Oct 1, 2018"
70,Cherno More Varna,FK Vereya Stara Zagora,4,2,HomeTeam,11.Matchday,"Oct 5, 2018"
71,Botev Plovdiv,FK Dunav Ruse,4,1,HomeTeam,11.Matchday,"Oct 6, 2018"
72,Septemvri Sofia,CSKA Sofia,0,3,AwayTeam,11.Matchday,"Oct 6, 2018"
73,PFC Beroe Stara Zagora,Lokomotiv Plovdiv,1,0,HomeTeam,11.Matchday,"Oct 6, 2018"
74,Etar Veliko Tarnovo,FK Vitosha Bistritsa,1,0,HomeTeam,11.Matchday,"Oct 7, 2018"
75,POFK Botev Vratsa,PFK Ludogorets Razgrad,1,4,AwayTeam,11.Matchday,"Oct 7, 2018"
76,Levski Sofia,Slavia Sofia,2,0,HomeTeam,11.Matchday,"Oct 7, 2018"
77,FK Vereya Stara Zagora,POFK Botev Vratsa,2,2,Draw,12.Matchday,"Oct 19, 2018"
78,Slavia Sofia,Septemvri Sofia,3,1,HomeTeam,12.Matchday,"Oct 20, 2018"
79,Botev Plovdiv,Cherno More Varna,2,1,HomeTeam,12.Matchday,"Oct 20, 2018"
80,PFK Ludogorets Razgrad,Levski Sofia,2,1,HomeTeam,12.Matchday,"Oct 20, 2018"
81,FK Dunav Ruse,Lokomotiv Plovdiv,1,0,HomeTeam,12.Matchday,"Oct 21, 2018"
82,CSKA Sofia,Etar Veliko Tarnovo,3,0,HomeTeam,12.Matchday,"Oct 21, 2018"
83,FK Vitosha Bistritsa,PFC Beroe Stara Zagora,1,2,AwayTeam,12.Matchday,"Oct 22, 2018"
84,Cherno More Varna,FK Dunav Ruse,3,2,HomeTeam,13.Matchday,"Oct 26, 2018"
85,Levski Sofia,FK Vereya Stara Zagora,7,0,HomeTeam,13.Matchday,"Oct 26, 2018"
86,Lokomotiv Plovdiv,FK Vitosha Bistritsa,2,1,HomeTeam,13.Matchday,"Oct 27, 2018"
87,PFC Beroe Stara Zagora,CSKA Sofia,1,1,Draw,13.Matchday,"Oct 27, 2018"
88,POFK Botev Vratsa,Botev Plovdiv,0,1,AwayTeam,13.Matchday,"Oct 27, 2018"
89,Etar Veliko Tarnovo,Slavia Sofia,3,0,HomeTeam,13.Matchday,"Oct 28, 2018"
90,Septemvri Sofia,PFK Ludogorets Razgrad,1,4,AwayTeam,13.Matchday,"Oct 28, 2018"
91,FK Dunav Ruse,FK Vitosha Bistritsa,3,0,HomeTeam,14.Matchday,"Nov 3, 2018"
92,Lokomotiv Plovdiv,CSKA Sofia,0,1,AwayTeam,14.Matchday,"Nov 3, 2018"
93,Septemvri Sofia,FK Vereya Stara Zagora,1,0,HomeTeam,14.Matchday,"Nov 3, 2018"
94,POFK Botev Vratsa,Cherno More Varna,2,1,HomeTeam,14.Matchday,"Nov 4, 2018"
