,Home,Away,Home Score,Away Score,Tournament,Year,City,Country
169,John Isner,Yen-Hsun Lu,2,0,Auckland,2014,Auckland,New Zealand
170,Yen-Hsun Lu,David Ferrer,2,0,Auckland,2014,Auckland,New Zealand
171,John Isner,Roberto Bautista Agut,2,1,Auckland,2014,Auckland,New Zealand
172,David Ferrer,Guillermo Garcia-Lopez,2,1,Auckland,2014,Auckland,New Zealand
173,John Isner,Philipp Kohlschreiber,2,1,Auckland,2014,Auckland,New Zealand
174,Roberto Bautista Agut,Jack Sock,2,0,Auckland,2014,Auckland,New Zealand
175,Yen-Hsun Lu,Steve Johnson,2,0,Auckland,2014,Auckland,New Zealand
176,David Ferrer,Donald Young,2,1,Auckland,2014,Auckland,New Zealand
177,Jack Sock,Tommy Haas,2,0,Auckland,2014,Auckland,New Zealand
178,John Isner,Lukas Lacko,2,1,Auckland,2014,Auckland,New Zealand
179,Steve Johnson,Kevin Anderson,2,0,Auckland,2014,Auckland,New Zealand
180,Philipp Kohlschreiber,Horacio Zeballos,2,0,Auckland,2014,Auckland,New Zealand
181,Roberto Bautista Agut,Benoit Paire,2,0,Auckland,2014,Auckland,New Zealand
182,Guillermo Garcia-Lopez,Santiago Giraldo,2,1,Auckland,2014,Auckland,New Zealand
183,Yen-Hsun Lu,Bradley Klahn,2,1,Auckland,2014,Auckland,New Zealand
184,Philipp Kohlschreiber,Pablo Carreno Busta,2,1,Auckland,2014,Auckland,New Zealand
185,Benoit Paire,Michal Przysiezny,2,0,Auckland,2014,Auckland,New Zealand
186,Guillermo Garcia-Lopez,Robin Haase,2,1,Auckland,2014,Auckland,New Zealand
187,Bradley Klahn,Daniel Brands,2,1,Auckland,2014,Auckland,New Zealand
188,Roberto Bautista Agut,Daniel Gimeno-Traver,2,1,Auckland,2014,Auckland,New Zealand
189,Santiago Giraldo,Albert Montanes,2,0,Auckland,2014,Auckland,New Zealand
190,Steve Johnson,Marcos Baghdatis,2,1,Auckland,2014,Auckland,New Zealand
191,Lukas Lacko,Rubin Statham,2,0,Auckland,2014,Auckland,New Zealand
192,Yen-Hsun Lu,Igor Sijsling,2,0,Auckland,2014,Auckland,New Zealand
193,Jack Sock,Adrian Mannarino,2,0,Auckland,2014,Auckland,New Zealand
194,Donald Young,Federico Delbonis,2,0,Auckland,2014,Auckland,New Zealand
195,Horacio Zeballos,Filippo Volandri,2,0,Auckland,2014,Auckland,New Zealand
196,Daniel Gimeno-Traver,Sebastian Lavie,2,0,Auckland,2014,Auckland,New Zealand
197,Lukas Lacko,Michael Venus,2,0,Auckland,2014,Auckland,New Zealand
198,Donald Young,Artem Sitak,2,1,Auckland,2014,Auckland,New Zealand
199,Bradley Klahn,Steve Johnson,2,0,Auckland,2014,Auckland,New Zealand
200,Daniel Gimeno-Traver,Lukas Dlouhy,2,0,Auckland,2014,Auckland,New Zealand
201,Lukas Lacko,Cameron Norrie,2,0,Auckland,2014,Auckland,New Zealand
202,Donald Young,Alexander Zverev,2,0,Auckland,2014,Auckland,New Zealand
203,Bradley Klahn,Marcus Daniell,2,0,Auckland,2014,Auckland,New Zealand
204,Steve Johnson,Maxime Chazal,2,0,Auckland,2014,Auckland,New Zealand
205,Artem Sitak,Hiroki Kondo,2,0,Auckland,2014,Auckland,New Zealand
206,Sebastian Lavie,Rubin Statham,0,0,Auckland,2014,Auckland,New Zealand
207,Michael Venus,Rhett Purcell,2,0,Auckland,2014,Auckland,New Zealand
208,Maxime Chazal,Ross Hutchins,2,0,Auckland,2014,Auckland,New Zealand
209,Marcus Daniell,Enzo Couacaud,2,1,Auckland,2014,Auckland,New Zealand
210,Lukas Dlouhy,Alexander Klintcharov,2,1,Auckland,2014,Auckland,New Zealand
211,Sebastian Lavie,Ben McLachlan,2,1,Auckland,2014,Auckland,New Zealand
212,Cameron Norrie,Finn Tearney,2,0,Auckland,2014,Auckland,New Zealand
213,Rhett Purcell,Eric Sock,2,0,Auckland,2014,Auckland,New Zealand
214,Artem Sitak,Martin Colenbrander,2,0,Auckland,2014,Auckland,New Zealand
215,Alexander Zverev,Daniel Brown,2,0,Auckland,2014,Auckland,New Zealand
216,Juan Martin del Potro,Bernard Tomic,2,0,Sydney,2014,Sydney,Australia
217,Juan Martin del Potro,Dmitry Tursunov,2,0,Sydney,2014,Sydney,Australia
218,Bernard Tomic,Sergiy Stakhovsky,2,1,Sydney,2014,Sydney,Australia
