,Home,Away,Home Score,Away Score,Tournament,Year,City,Country
0,Roger Federer,Ivan Ljubicic,2,0,Doha,2005,Doha,Empty
1,Roger Federer,Nikolay Davydenko,2,0,Doha,2005,Doha,Empty
2,Ivan Ljubicic,Albert Costa,2,0,Doha,2005,Doha,Empty
3,Roger Federer,Feliciano Lopez,2,0,Doha,2005,Doha,Empty
4,Nikolay Davydenko,Sebastien Grosjean,2,1,Doha,2005,Doha,Empty
5,Ivan Ljubicic,Rafael Nadal,2,1,Doha,2005,Doha,Empty
6,Albert Costa,Fabrice Santoro,2,0,Doha,2005,Doha,Empty
7,Roger Federer,Greg Rusedski,2,0,Doha,2005,Doha,Empty
8,Sebastien Grosjean,Hyung-Taik Lee,2,0,Doha,2005,Doha,Empty
9,Ivan Ljubicic,Marc Lopez,2,0,Doha,2005,Doha,Empty
10,Feliciano Lopez,Uros Vico,2,0,Doha,2005,Doha,Empty
11,Nikolay Davydenko,Karol Beck,2,0,Doha,2005,Doha,Empty
12,Albert Costa,Marco Chiudinelli,2,0,Doha,2005,Doha,Empty
13,Rafael Nadal,Fernando Verdasco,2,0,Doha,2005,Doha,Empty
14,Fabrice Santoro,Gael Monfils,2,1,Doha,2005,Doha,Empty
15,Roger Federer,David Ferrer,2,0,Doha,2005,Doha,Empty
16,Gael Monfils,Gaston Gaudio,2,0,Doha,2005,Doha,Empty
17,Sebastien Grosjean,Gilles Muller,2,0,Doha,2005,Doha,Empty
18,Rafael Nadal,Mikhail Youzhny,2,0,Doha,2005,Doha,Empty
19,Marco Chiudinelli,Andrei Pavel,2,1,Doha,2005,Doha,Empty
20,Ivan Ljubicic,Stan Wawrinka,2,0,Doha,2005,Doha,Empty
21,Feliciano Lopez,Filippo Volandri,2,0,Doha,2005,Doha,Empty
22,Nikolay Davydenko,Ivo Karlovic,2,0,Doha,2005,Doha,Empty
23,Karol Beck,Igor Andreev,2,0,Doha,2005,Doha,Empty
24,Albert Costa,David Sanchez,2,0,Doha,2005,Doha,Empty
25,Hyung-Taik Lee,Sergiy Stakhovsky,2,0,Doha,2005,Doha,Empty
26,Marc Lopez,Bohdan Ulihrach,2,0,Doha,2005,Doha,Empty
27,Greg Rusedski,Jan Hernych,2,0,Doha,2005,Doha,Empty
28,Fabrice Santoro,Thomas Johansson,2,0,Doha,2005,Doha,Empty
29,Fernando Verdasco,Mohammed Abdulla,2,0,Doha,2005,Doha,Empty
30,Uros Vico,Nicolas Mahut,2,1,Doha,2005,Doha,Empty
31,Joachim Johansson,Taylor Dent,2,0,Adelaide,2005,Adelaide,Empty
32,Joachim Johansson,Olivier Rochus,2,0,Adelaide,2005,Adelaide,Empty
33,Taylor Dent,Juan Ignacio Chela,2,0,Adelaide,2005,Adelaide,Empty
34,Taylor Dent,Lleyton Hewitt,2,0,Adelaide,2005,Adelaide,Empty
35,Joachim Johansson,Thomas Enqvist,2,1,Adelaide,2005,Adelaide,Empty
36,Olivier Rochus,Nicolas Kiefer,2,1,Adelaide,2005,Adelaide,Empty
37,Juan Ignacio Chela,Jurgen Melzer,2,1,Adelaide,2005,Adelaide,Empty
38,Lleyton Hewitt,Agustin Calleri,2,0,Adelaide,2005,Adelaide,Empty
39,Joachim Johansson,Xavier Malisse,2,1,Adelaide,2005,Adelaide,Empty
40,Nicolas Kiefer,Cyril Saulnier,2,0,Adelaide,2005,Adelaide,Empty
41,Juan Ignacio Chela,Jean-Rene Lisnard,2,0,Adelaide,2005,Adelaide,Empty
42,Taylor Dent,Julien Benneteau,2,1,Adelaide,2005,Adelaide,Empty
43,Olivier Rochus,Radek Stepanek,2,0,Adelaide,2005,Adelaide,Empty
44,Thomas Enqvist,Florian Mayer,2,0,Adelaide,2005,Adelaide,Empty
45,Jurgen Melzer,Amer Delic,2,0,Adelaide,2005,Adelaide,Empty
46,Lleyton Hewitt,Arnaud Clement,2,1,Adelaide,2005,Adelaide,Empty
47,Joachim Johansson,Marc Kimmich,2,0,Adelaide,2005,Adelaide,Empty
48,Nicolas Kiefer,Sjeng Schalken,2,1,Adelaide,2005,Adelaide,Empty
49,Juan Ignacio Chela,Sargis Sargsian,2,0,Adelaide,2005,Adelaide,Empty
50,Taylor Dent,Robby Ginepri,2,1,Adelaide,2005,Adelaide,Empty
