,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
0,Brisbane,Brisbane,Australia,2015.01.04,"$494,310",Roger Federer,Hard,/en/scores/archive/brisbane/339/2015/results,2015
1,Doha,Doha,Qatar,2015.01.05,"$1,221,320",David Ferrer,Hard,/en/scores/archive/doha/451/2015/results,2015
2,Chennai,Chennai,India,2015.01.05,"$458,400",Stan Wawrinka,Hard,/en/scores/archive/chennai/891/2015/results,2015
3,Sydney,Sydney,Australia,2015.01.11,"$494,310",Viktor Troicki,Hard,/en/scores/archive/sydney/338/2015/results,2015
4,Auckland,Auckland,New Zealand,2015.01.12,"$519,395",Jiri Vesely,Hard,/en/scores/archive/auckland/301/2015/results,2015
5,Australian Open,Melbourne,Australia,2015.01.19,"A$17,748,600",Novak Djokovic,Hard,/en/scores/archive/australian-open/580/2015/results,2015
6,Montpellier,Montpellier,France,2015.02.02,"€494,310",Richard Gasquet,Hard,/en/scores/archive/montpellier/375/2015/results,2015
7,Quito,Quito,Ecuador,2015.02.02,"$494,310",Victor Estrella Burgos,Clay,/en/scores/archive/quito/7161/2015/results,2015
8,Zagreb,Zagreb,Croatia,2015.02.02,"€494,310",Guillermo Garcia-Lopez,Hard,/en/scores/archive/zagreb/2276/2015/results,2015
9,Rotterdam,Rotterdam,Netherlands,2015.02.09,"€1,600,855",Stan Wawrinka,Hard,/en/scores/archive/rotterdam/407/2015/results,2015
10,Memphis,Memphis,United States,2015.02.09,"$659,070",Kei Nishikori,Hard,/en/scores/archive/memphis/424/2015/results,2015
11,Sao Paulo,Sao Paulo,Brazil,2015.02.09,"$505,655",Pablo Cuevas,Clay,/en/scores/archive/sao-paulo/533/2015/results,2015
12,Rio de Janeiro,Rio de Janeiro,Brazil,2015.02.16,"$1,548,755",David Ferrer,Clay,/en/scores/archive/rio-de-janeiro/6932/2015/results,2015
13,Marseille,Marseille,France,2015.02.16,"€632,840",Gilles Simon,Hard,/en/scores/archive/marseille/496/2015/results,2015
14,Delray Beach,Delray Beach,United States,2015.02.16,"$549,230",Ivo Karlovic,Hard,/en/scores/archive/delray-beach/499/2015/results,2015
15,Dubai,Dubai,United Arab Emirates,2015.02.23,"$2,503,810",Roger Federer,Hard,/en/scores/archive/dubai/495/2015/results,2015
16,Acapulco,Acapulco,Mexico,2015.02.23,"$1,548,755",David Ferrer,Hard,/en/scores/archive/acapulco/807/2015/results,2015
17,Buenos Aires,Buenos Aires,Argentina,2015.02.23,"$573,750",Rafael Nadal,Clay,/en/scores/archive/buenos-aires/506/2015/results,2015
18,ATP Masters 1000 Indian Wells,Indian Wells,United States,2015.03.12,"$7,107,445",Novak Djokovic,Hard,/en/scores/archive/indian-wells/404/2015/results,2015
19,ATP Masters 1000 Miami,Miami,United States,2015.03.25,"$6,267,755",Novak Djokovic,Hard,/en/scores/archive/miami/403/2015/results,2015
20,Houston,Houston,United States,2015.04.06,"$549,230",Jack Sock,Clay,/en/scores/archive/houston/717/2015/results,2015
21,Casablanca,Casablanca,Morocco,2015.04.06,"€494,310",Martin Klizan,Clay,/en/scores/archive/casablanca/360/2015/results,2015
22,ATP Masters 1000 Monte Carlo,Monte-Carlo,Monaco,2015.04.12,"€3,624,045",Novak Djokovic,Clay,/en/scores/archive/monte-carlo/410/2015/results,2015
23,Barcelona,Barcelona,Spain,2015.04.20,"€2,265,235",Kei Nishikori,Clay,/en/scores/archive/barcelona/425/2015/results,2015
24,Bucharest,Bucharest,Romania,2015.04.20,"€494,310",Guillermo Garcia-Lopez,Clay,/en/scores/archive/bucharest/773/2015/results,2015
25,Estoril,Estoril,Portugal,2015.04.27,"€494,310",Richard Gasquet,Clay,/en/scores/archive/estoril/7290/2015/results,2015
