,ChampionshipWinner,Season,Championship,CoachWinner
0,Liverpool FC,2018/2019,UEFAChampionsLeague_2018/2019,Jürgen Klopp
1,Real Madrid,2017/2018,UEFAChampionsLeague_2017/2018,Zinédine Zidane
2,Real Madrid,2016/2017,UEFAChampionsLeague_2016/2017,Zinédine Zidane
3,Real Madrid,2015/2016,UEFAChampionsLeague_2015/2016,Zinédine Zidane
4,FC Barcelona,2014/2015,UEFAChampionsLeague_2014/2015,Luis Enrique
5,Real Madrid,2013/2014,UEFAChampionsLeague_2013/2014,Carlo Ancelotti
6,Bayern Munich,2012/2013,UEFAChampionsLeague_2012/2013,Jupp Heynckes
7,Chelsea FC,2011/2012,UEFAChampionsLeague_2011/2012,Roberto Di Matteo
8,FC Barcelona,2010/2011,UEFAChampionsLeague_2010/2011,Pep Guardiola
9,FC Internazionale,2009/2010,UEFAChampionsLeague_2009/2010,José Mourinho
10,FC Barcelona,2008/2009,UEFAChampionsLeague_2008/2009,Pep Guardiola
11,Manchester United,2007/2008,UEFAChampionsLeague_2007/2008,Sir Alex Ferguson
12,AC Milan,2006/2007,UEFAChampionsLeague_2006/2007,Carlo Ancelotti
13,FC Barcelona,2005/2006,UEFAChampionsLeague_2005/2006,Frank Rijkaard
14,Liverpool FC,2004/2005,UEFAChampionsLeague_2004/2005,Rafael Benítez
15,FC Porto,2003/2004,UEFAChampionsLeague_2003/2004,José Mourinho
16,Milan AC,2002/2003,UEFAChampionsLeague_2002/2003,Carlo Ancelotti
17,Real Madrid,2001/2002,UEFAChampionsLeague_2001/2002,Vicente del Bosque
18,Bayern Munich,2000/2001,UEFAChampionsLeague_2000/2001,Ottmar Hitzfeld
19,Real Madrid,1999/1900,UEFAChampionsLeague_1999/1900,Vicente del Bosque
20,Manchester United,1998/1999,UEFAChampionsLeague_1998/1999,Sir Alex Ferguson
21,Real Madrid,1997/1998,UEFAChampionsLeague_1997/1998,Jupp Heynckes
22,Borussia Dortmund,1996/1997,UEFAChampionsLeague_1996/1997,Ottmar Hitzfeld
23,Juventus FC,1995/1996,UEFAChampionsLeague_1995/1996,Marcello Lippi
24,Ajax Amsterdam,1994/1995,UEFAChampionsLeague_1994/1995,Louis van Gaal
25,Milan AC,1993/1994,UEFAChampionsLeague_1993/1994,Fabio Capello
26,Olympique Marseille,1992/1993,UEFAChampionsLeague_1992/1993,Raymond Goethals
27,FC Barcelona,1991/1992,EuropeanChampionClubs'Cup_1991/1992,Johan Cruyff
28,Red Star Belgrade,1990/1991,EuropeanChampionClubs'Cup_1990/1991,Ljupko Petrovic
29,Milan AC,1989/1990,EuropeanChampionClubs'Cup_1989/1990,Arrigo Sacchi
30,Milan AC,1988/1989,EuropeanChampionClubs'Cup_1988/1989,Arrigo Sacchi
31,PSV Eindhoven,1987/1988,EuropeanChampionClubs'Cup_1987/1988,Guus Hiddink
32,FC Porto,1986/1987,EuropeanChampionClubs'Cup_1986/1987,Artur Jorge
33,Steaua Bukarest,1985/1986,EuropeanChampionClubs'Cup_1985/1986,Emerich Jenei
34,CSA Steaua,1985/1986,EuropeanChampionClubs'Cup_1985/1986,Emerich Jenei
35,Juventus FC,1984/1985,EuropeanChampionClubs'Cup_1984/1985,Giovanni Trapattoni
36,Liverpool FC,1983/1984,EuropeanChampionClubs'Cup_1983/1984,Joe Fagan
