,ChampionshipWinner,Season,Championship,Country,CoachWinner
0,Red Bull Salzburg,2018/2019,BundesligaAustria_2018/2019,Austria,Marco Rose
1,Red Bull Salzburg,2017/2018,BundesligaAustria_2017/2018,Austria,Marco Rose
2,Red Bull Salzburg,2016/2017,BundesligaAustria_2016/2017,Austria,Óscar García
3,Red Bull Salzburg,2015/2016,BundesligaAustria_2015/2016,Austria,Óscar García
4,Red Bull Salzburg,2014/2015,BundesligaAustria_2014/2015,Austria,Adi Hütter
5,Red Bull Salzburg,2013/2014,BundesligaAustria_2013/2014,Austria,Roger Schmidt
6,Austria Vienna,2012/2013,BundesligaAustria_2012/2013,Austria,Peter Stöger
7,Red Bull Salzburg,2011/2012,BundesligaAustria_2011/2012,Austria,Ricardo Moniz
8,SK Sturm Graz,2010/2011,BundesligaAustria_2010/2011,Austria,Franco Foda
9,Red Bull Salzburg,2009/2010,BundesligaAustria_2009/2010,Austria,Huub Stevens
10,Red Bull Salzburg,2008/2009,BundesligaAustria_2008/2009,Austria,Co Adriaanse
11,Rapid Vienna,2007/2008,BundesligaAustria_2007/2008,Austria,Peter Pacult
12,Red Bull Salzburg,2006/2007,BundesligaAustria_2006/2007,Austria,Giovanni Trapattoni
13,Austria Vienna,2005/2006,BundesligaAustria_2005/2006,Austria,Peter Stöger
14,Rapid Vienna,2004/2005,BundesligaAustria_2004/2005,Austria,Josef Hickersberger
15,Grazer AK,2003/2004,BundesligaAustria_2003/2004,Austria,Walter Schachner
16,Austria Vienna,2002/2003,BundesligaAustria_2002/2003,Austria,Christoph Daum
17,FC Tirol Innsbruck,2001/2002,BundesligaAustria_2001/2002,Austria,Joachim Löw
18,FC Tirol Innsbruck,2000/2001,BundesligaAustria_2000/2001,Austria,Kurt Jara
19,FC Tirol Innsbruck,1999/1900,BundesligaAustria_1999/1900,Austria,Kurt Jara
20,SK Sturm Graz,1998/1999,BundesligaAustria_1998/1999,Austria,Ivica Osim
21,SK Sturm Graz,1997/1998,BundesligaAustria_1997/1998,Austria,Ivica Osim
22,SV Casino Salzburg,1996/1997,BundesligaAustria_1996/1997,Austria,Heribert Weber
23,Rapid Vienna,1995/1996,BundesligaAustria_1995/1996,Austria,Ernst Dokupil
24,SV Casino Salzburg,1994/1995,BundesligaAustria_1994/1995,Austria,Otto Baric
25,SV Casino Salzburg,1993/1994,BundesligaAustria_1993/1994,Austria,Otto Baric
26,Austria Vienna,1992/1993,BundesligaAustria_1992/1993,Austria,Hermann Stessl
27,Austria Vienna,1991/1992,BundesligaAustria_1991/1992,Austria,Herbert Prohaska
28,Austria Vienna,1990/1991,BundesligaAustria_1990/1991,Austria,Herbert Prohaska
29,FC Swarovski Tirol,1989/1990,BundesligaAustria_1989/1990,Austria,Ernst Happel
30,FC Swarovski Tirol,1988/1989,BundesligaAustria_1988/1989,Austria,Ernst Happel
31,Rapid Vienna,1987/1988,BundesligaAustria_1987/1988,Austria,Otto Baric
32,Rapid Vienna,1986/1987,BundesligaAustria_1986/1987,Austria,Otto Baric
33,Austria Vienna,1985/1986,BundesligaAustria_1985/1986,Austria,Hermann Stessl
34,Austria Vienna,1984/1985,BundesligaAustria_1984/1985,Austria,Thomas Parits
35,Austria Vienna,1983/1984,BundesligaAustria_1983/1984,Austria,Václav Halama
36,Rapid Vienna,1982/1983,BundesligaAustria_1982/1983,Austria,Otto Baric
37,Rapid Vienna,1981/1982,BundesligaAustria_1981/1982,Austria,-
38,Austria Vienna,1980/1981,BundesligaAustria_1980/1981,Austria,Erich Hof
39,Austria Vienna,1979/1980,BundesligaAustria_1979/1980,Austria,Erich Hof
40,Austria Vienna,1978/1979,BundesligaAustria_1978/1979,Austria,Hermann Stessl
41,Austria Vienna,1977/1978,BundesligaAustria_1977/1978,Austria,Hermann Stessl
42,SpG WSG Wattens-FC Wacker Tirol,1976/1977,BundesligaAustria_1976/1977,Austria,-
43,FK Austria W.A.C.,1975/1976,BundesligaAustria_1975/1976,Austria,Karl Stotz
44,SpG WSG Wattens-FC Wacker Tirol,1974/1975,BundesligaAustria_1974/1975,Austria,-
45,SK VOEST Linz,1973/1974,BundesligaAustria_1973/1974,Austria,-
46,SpG WSG Wattens-FC Wacker Tirol,1972/1973,BundesligaAustria_1972/1973,Austria,-
