,ChampionshipWinner,Season,Championship,CoachWinner
0,Chelsea FC,2018/2019,EuropaLeague_2018/2019,Maurizio Sarri
1,Atlético Madrid,2017/2018,EuropaLeague_2017/2018,Diego Simeone
2,Manchester United,2016/2017,EuropaLeague_2016/2017,José Mourinho
3,Sevilla FC,2015/2016,EuropaLeague_2015/2016,Unai Emery
4,Sevilla FC,2014/2015,EuropaLeague_2014/2015,Unai Emery
5,Sevilla FC,2013/2014,EuropaLeague_2013/2014,Unai Emery
6,Chelsea FC,2012/2013,EuropaLeague_2012/2013,Steve Holland
7,Atlético Madrid,2011/2012,EuropaLeague_2011/2012,Diego Simeone
8,FC Porto,2010/2011,EuropaLeague_2010/2011,André Villas-Boas
9,Atlético Madrid,2009/2010,EuropaLeague_2009/2010,Quique Sánchez Flores
10,Shakhtar Donetsk,2008/2009,UEFA-Cup_2008/2009,Mircea Lucescu
11,Zenit St. Petersburg,2007/2008,UEFA-Cup_2007/2008,Dick Advocaat
12,Sevilla FC,2006/2007,UEFA-Cup_2006/2007,Juande Ramos
13,Sevilla FC,2005/2006,UEFA-Cup_2005/2006,Juande Ramos
14,CSKA Moscow,2004/2005,UEFA-Cup_2004/2005,Valeri Gazzaev
15,Valencia CF,2003/2004,UEFA-Cup_2003/2004,Rafael Benítez
16,FC Porto,2002/2003,UEFA-Cup_2002/2003,José Mourinho
17,Feyenoord Rotterdam,2001/2002,UEFA-Cup_2001/2002,Bert van Marwijk
18,Liverpool FC,2000/2001,UEFA-Cup_2000/2001,Gérard Houllier
19,Galatasaray SK,1999/1900,UEFA-Cup_1999/1900,Fatih Terim
20,AC Parma,1998/1999,UEFA-Cup_1998/1999,Alberto Malesani
21,FC Internazionale,1997/1998,UEFA-Cup_1997/1998,Luigi Simoni
22,FC Schalke 04,1996/1997,UEFA-Cup_1996/1997,Huub Stevens
23,Bayern Munich,1995/1996,UEFA-Cup_1995/1996,Klaus Augenthaler
24,AC Parma,1994/1995,UEFA-Cup_1994/1995,Nevio Scala
25,FC Internazionale,1993/1994,UEFA-Cup_1993/1994,Gianpiero Marini
26,Juventus FC,1992/1993,UEFA-Cup_1992/1993,Giovanni Trapattoni
27,Ajax Amsterdam,1991/1992,UEFA-Cup_1991/1992,Louis van Gaal
28,FC Internazionale,1990/1991,UEFA-Cup_1990/1991,Giovanni Trapattoni
29,Juventus FC,1989/1990,UEFA-Cup_1989/1990,Dino Zoff
30,SSC Napoli,1988/1989,UEFA-Cup_1988/1989,Ottavio Bianchi
31,Bayer 04 Leverkusen,1987/1988,UEFA-Cup_1987/1988,Erich Ribbeck
32,IFK Göteborg,1986/1987,UEFA-Cup_1986/1987,Gunder Bengtsson
33,Real Madrid,1985/1986,UEFA-Cup_1985/1986,Luis Molowny
34,Real Madrid,1984/1985,UEFA-Cup_1984/1985,Luis Molowny
35,Tottenham Hotspur,1983/1984,UEFA-Cup_1983/1984,Keith Burkinshaw
36,RSC Anderlecht,1982/1983,UEFA-Cup_1982/1983,Paul Van Himst
37,IFK Göteborg,1981/1982,UEFA-Cup_1981/1982,Sven-Göran Eriksson
38,Ipswich Town,1980/1981,UEFA-Cup_1980/1981,Sir Bobby Robson
39,Eintracht Frankfurt,1979/1980,UEFA-Cup_1979/1980,Friedel Rausch
40,Borussia Mönchengladbach,1978/1979,UEFA-Cup_1978/1979,Udo Lattek
41,PSV Eindhoven,1977/1978,UEFA-Cup_1977/1978,Kees Rijvers
42,Juventus FC,1976/1977,UEFA-Cup_1976/1977,Giovanni Trapattoni
43,Liverpool FC,1975/1976,UEFA-Cup_1975/1976,Bob Paisley
44,Borussia Mönchengladbach,1974/1975,UEFA-Cup_1974/1975,Hennes Weisweiler
45,SC Feyenoord,1973/1974,UEFA-Cup_1973/1974,Wiel Coerver
46,Liverpool FC,1972/1973,UEFA-Cup_1972/1973,Bill Shankly
47,Tottenham Hotspur,1971/1972,UEFA-Cup_1971/1972,Bill Nicholson
