,Tournament,City,Country,Start Date,Prize,Champion,Surface,URL,Year
0,Australian Open,Melbourne,Empty,1974.12.21,"$62,500",John Newcombe,Grass,/en/scores/archive/australian-open/580/1975/results,1975
1,Auckland,Auckland,Empty,1975.01.06,"$25,000",Onny Parun,Grass,/en/scores/archive/auckland/301/1975/results,1975
2,San Juan WCT,San Juan,Empty,1975.01.13,"$60,000",Rod Laver,Clay,/en/scores/archive/san-juan/9208/1975/results,1975
3,Bahamas,Nassau,Empty,1975.01.13,"$50,000",Jimmy Connors,Hard,/en/scores/archive/nassau/2021/1975/results,1975
4,Baltimore,Baltimore,Empty,1975.01.13,"$30,000",Brian Gottfried,Carpet,/en/scores/archive/baltimore/816/1975/results,1975
5,Philadelphia WCT,Philadelphia,Empty,1975.01.20,"$115,000",Marty Riessen,Carpet,/en/scores/archive/philadelphia/401/1975/results,1975
6,Birmingham,Birmingham,Empty,1975.01.20,"$25,000",Jimmy Connors,Carpet,/en/scores/archive/birmingham/650/1975/results,1975
7,Richmond-WCT,Richmond,Empty,1975.01.27,"$60,000",Bjorn Borg,Carpet,/en/scores/archive/richmond/802/1975/results,1975
8,Dayton,Dayton,Empty,1975.01.28,"$30,000",Brian Gottfried,Carpet,/en/scores/archive/dayton/716/1975/results,1975
9,Roanoke,Roanoke,Empty,1975.01.29,"$25,000",Roger Taylor,Carpet,/en/scores/archive/roanoke/2022/1975/results,1975
10,St. Petersburg WCT,St. Petersburg,Empty,1975.02.03,"$60,000",Raul Ramirez,Carpet,/en/scores/archive/st-petersburg/1603/1975/results,1975
11,Little Rock,Little Rock,Empty,1975.02.03,"$25,000",Billy Martin,Hard,/en/scores/archive/little-rock/660/1975/results,1975
12,Basel,Basel,Empty,1975.02.05,"$25,000",Jiri Hrebec,Carpet,/en/scores/archive/basel/328/1975/results,1975
13,Bologna WCT,Bologna,Empty,1975.02.06,"$60,000",Bjorn Borg,Carpet,/en/scores/archive/bologna/312/1975/results,1975
14,Toronto WCT,Toronto,Empty,1975.02.10,"$60,000",Harold Solomon,Carpet,/en/scores/archive/toronto/302/1975/results,1975
15,Salisbury,Salisbury,Empty,1975.02.10,"$50,000",Jimmy Connors,Carpet,/en/scores/archive/salisbury/355/1975/results,1975
16,Barcelona WCT,Barcelona,Empty,1975.02.17,"$60,000",Arthur Ashe,Carpet,/en/scores/archive/barcelona/267/1975/results,1975
17,Fort Worth WCT,Fort Worth,Empty,1975.02.17,"$60,000",John Alexander,Hard,/en/scores/archive/fort-worth/653/1975/results,1975
18,La Costa WCT,La Costa,Empty,1975.02.17,"$60,000",Rod Laver,Hard,/en/scores/archive/la-costa/813/1975/results,1975
19,Boca Raton,Boca Raton,Empty,1975.02.17,"$30,000",Jimmy Connors,Clay,/en/scores/archive/boca-raton/718/1975/results,1975
20,Algiers,Algiers,Empty,1975.02.17,"$25,000",Birger Andersson,Clay,/en/scores/archive/algiers/9207/1975/results,1975
21,Rotterdam WCT,Rotterdam,Empty,1975.02.24,"$60,000",Arthur Ashe,Carpet,/en/scores/archive/rotterdam/407/1975/results,1975
22,San Antonio WCT,San Antonio,Empty,1975.02.24,"$60,000",Dick Stockton,Carpet,/en/scores/archive/san-antonio/1602/1975/results,1975
23,Fairfield,Fairfield,Empty,1975.02.24,"$30,000",Roger Taylor,Carpet,/en/scores/archive/fairfield/2023/1975/results,1975
24,Cairo,Cairo,Empty,1975.03.03,"$25,000",Manuel Orantes,Clay,/en/scores/archive/cairo/206/1975/results,1975
25,London WCT,London,Empty,1975.03.04,"$60,000",Mark Cox,Carpet,/en/scores/archive/london/262/1975/results,1975
26,Shreveport,Shreveport,Empty,1975.03.04,"$15,000",Juan Gisbert Sr,Carpet,/en/scores/archive/shreveport/2024/1975/results,1975
27,Munich WCT,Munich,Empty,1975.03.10,"$60,000",Arthur Ashe,Carpet,/en/scores/archive/munich/804/1975/results,1975
28,Sao Paulo WCT,Sao Paulo,Empty,1975.03.10,"$60,000",Rod Laver,Carpet,/en/scores/archive/sao-paulo/237/1975/results,1975
29,Washington WCT,Washington,Empty,1975.03.10,"$60,000",Mark Cox,Carpet,/en/scores/archive/washington/9211/1975/results,1975
30,Washington WCT,Washington,Empty,1975.03.10,"$60,000",Mark Cox,Carpet,/en/scores/archive/washington/710/1975/results,1975
31,Dusseldorf Indoor,Dusseldorf,Germany,1975.03.10,"$25,000",Jurgen Fassbender,Hard,/en/scores/archive/dusseldorf/9209/1975/results,1975
32,Hampton,Hampton,Empty,1975.03.11,"$37,500",Jimmy Connors,Carpet,/en/scores/archive/hampton/657/1975/results,1975
33,Caracas WCT,Caracas,Empty,1975.03.17,"$60,000",Rod Laver,Hard,/en/scores/archive/caracas/344/1975/results,1975
34,Memphis WCT,Memphis,Empty,1975.03.17,"$60,000",Harold Solomon,Carpet,/en/scores/archive/memphis/7299/1975/results,1975
35,New York,New York,Empty,1975.03.17,"$30,000",Vitas Gerulaitis,Hard,/en/scores/archive/new-york/2025/1975/results,1975
36,Atlanta WCT,Atlanta,Empty,1975.03.24,"$60,000",Mark Cox,Carpet,/en/scores/archive/atlanta/412/1975/results,1975
37,Monte Carlo WCT,Monte Carlo,Empty,1975.03.24,"$60,000",Manuel Orantes,Clay,/en/scores/archive/monte-carlo/410/1975/results,1975
38,Orlando WCT,Orlando,Empty,1975.03.24,"$60,000",Rod Laver,Hard,/en/scores/archive/orlando/409/1975/results,1975
39,Jackson,Jackson,Empty,1975.03.26,"$35,000",Ken Rosewall,Carpet,/en/scores/archive/jackson/656/1975/results,1975
40,Tuscon,Tuscon,Empty,1975.03.31,"$175,000",John Alexander,Hard,/en/scores/archive/tuscon/729/1975/results,1975
41,Washington Indoor,Washington,United States,1975.04.03,"$10,000",Alex Metreveli,Carpet,/en/scores/archive/washington/2040/1975/results,1975
