,TeamName,Country,NoPlayers,AvgAge,NoForeigners,TotalPlayersValue,Coach,AgeCouch,Stadium,StadiumCapacity
0,Red Bull Salzburg,Austria,25,"24,1",19,€113.60m,Jesse Marsch,46 Years,Red Bull Arena Salzburg,30.188 Seats
1,Rapid Vienna,Austria,29,"24,7",7,€32.45m,Dietmar Kühbauer,49 Years,Allianz-Stadion,28.345 Seats
2,LASK,Austria,25,"25,5",5,€31.28m,Valérien Ismaël,44 Years,Raiffeisen Arena,6.009 Seats
3,SK Sturm Graz,Austria,26,"25,9",7,€20.20m,Nestor El Maestro,37 Years,Merkur Arena,16.364 Seats
4,Austria Vienna,Austria,27,"24,8",6,€19.70m,Christian Ilzer,42 Years,Generali Arena,17.500 Seats
5,Wolfsberger AC,Austria,27,"26,5",6,€13.90m,Ferdinand Feldhofer,40 Years,Lavanttal-Arena,7.300 Seats
6,FC Admira Wacker Mödling,Austria,31,"24,7",8,€11.43m,Zvonimir Soldo,52 Years,BSFZ-Arena,12.000 Seats
7,SKN St. Pölten,Austria,29,"25,3",9,€10.05m,Robert Ibertsberger,43 Years,NV Arena,8.000 Seats
8,SC Rheindorf Altach,Austria,29,"24,9",9,€9.95m,Alex Pastoor,53 Years,CASHPOINT-Arena,8.500 Seats
9,TSV Hartberg,Austria,26,"26,8",5,€9.08m,Markus Schopp,46 Years,Profertil Arena Hartberg,4.500 Seats
10,SV Mattersburg,Austria,24,"26,2",2,€7.75m,Franz Ponweiser,44 Years,Pappelstadion,15.700 Seats
11,WSG Tirol,Austria,26,"28,2",10,€7.35m,Thomas Silberberger,46 Years,Tivoli Stadion Tirol,15.400 Seats
12,FC Liefering,Austria,25,"18,8",16,€17.23m,Bo Svensson,40 Years,Red Bull Arena,31.800 Seats
13,SV Ried,Austria,27,"24,6",8,€6.20m,Gerald Baumgartner,55 Years,Josko Arena,7.600 Seats
14,SK Austria Klagenfurt,Austria,28,"23,9",18,€4.88m,Robert Micheu,44 Years,Wörtherseestadion,32.000 Seats
15,FC Wacker Innsbruck,Austria,27,"21,5",4,€4.70m,Thomas Grumser,40 Years,Tivoli Stadion Tirol,16.005 Seats
16,SV Lafnitz,Austria,32,"25,7",8,€4.65m,Philipp Semlic,36 Years,Fußballarena Lafnitz,3.000 Seats
17,SC Austria Lustenau,Austria,26,"23,3",12,€4.55m,Roman Mählich,48 Years,Planet Pure Stadion,8.800 Seats
18,FC Juniors OÖ,Austria,26,"21,6",8,€4.53m,Gerald Scheiblehner,43 Years,Raiffeisen Arena,8.968 Seats
19,FC Blau Weiss Linz,Austria,26,"23,3",7,€4.28m,Ronald Brunmayr,45 Years,Linzer Gugl,21.001 Seats
20,SKU Amstetten,Austria,26,"25,2",1,€4.18m,Jochen Fallmann,41 Years,Ertl-Glas-Stadion Amstetten,3.000 Seats
21,SV Horn,Austria,28,"23,2",6,€3.93m,Hans Kleer,50 Years,Sparkasse Horn Arena,3.500 Seats
22,Grazer AK 1902,Austria,26,"25,0",5,€3.68m,Gernot Plassnegger,42 Years,Merkur Arena,15.322 Seats
23,Floridsdorfer AC,Austria,21,"23,6",5,€3.60m,Mario Handl,45 Years,FAC Platz,3.000 Seats
24,FC Dornbirn,Austria,24,"24,2",4,€3.40m,Markus Mader,51 Years,Birkenwiese,12.000 Seats
25,SV Kapfenberg,Austria,31,"22,1",12,€3.25m,Kurt Russ,55 Years,Franz Fekete Stadion,10.000 Seats
26,SK Vorwärts Steyr,Austria,22,"24,5",6,€3.05m,Wilhelm Wahlmüller,53 Years,EK Kammerhofer-Arena,9.000 Seats
27,Young Violets Austria Wien,Austria,26,"19,5",4,€2.85m,Harald Suchard,43 Years,Generali Arena,17.500 Seats
28,Qarabağ Ağdam,Azerbaijan,22,"26,9",9,€14.35m,Qurban Qurbanov,47 Years,Tofiq Bahramov Stadion,31.200 Seats
29,Neftchi Baku,Azerbaijan,23,"26,7",10,€11.65m,Fuzuli Mammadov,42 Years,Bakcell Arena,11.000 Seats
30,Sabah FK,Azerbaijan,32,"25,9",13,€9.43m,Zeljko Sopic,45 Years,Bank Respublika Arena,13.000 Seats
31,Zira FC,Azerbaijan,25,"26,1",12,€8.53m,Zaur Hashimov,38 Years,Zira Olympic Sport Complex Stadium,1.500 Seats
32,Keshla FK,Azerbaijan,27,"27,1",8,€7.25m,Tarlan Ahmadov,48 Years,ASK Arena,8.152 Seats
33,Sumgayit PFC,Azerbaijan,22,"25,3",5,€6.85m,Aykhan Abbasov,38 Years,Kapital Bank Arena,1.500 Seats
34,FK Sabail,Azerbaijan,25,"26,9",6,€6.35m,Aftandil Hadzhiyev,38 Years,Bayil Arena,5.000 Seats
35,FK Qabala,Azerbaijan,24,"25,3",8,€5.18m,Azar Bagyrov,35 Years,Qabala City Stadium,4.500 Seats
36,FC Santa Coloma,Andorra,23,"28,4",14,€2.20m,Marc Rodríguez Rebull,"Jul 1, 2018",Camp d’Esports del M.I. Consell General,3.306 Seats
37,UE Engordany,Andorra,22,"28,5",14,€1.55m,Filipe Busto,36 Years,18. Matchday,8                    .
38,UE Escale Santa Coloma,Andorra,25,"27,7",4,€1.43m,Emilio Gomez,62 Years,Estadi Comunal,838 Seats
39,Inter Club d'Escaldes,Andorra,25,"31,3",13,€1.28m,Adolfo Baines,48 Years,18. Matchday,6                    .
40,UE Sant Julia,Andorra,22,"31,9",20,€1.00m,Luis Blanco Torrado,60 Years,Estadi Comunal d'Andorra la Vella,1.900 Seats
