,FootballTeam,Country,City,Stadium,Capacity
0,SCR Altach,Austria,Altach,CASHPOINT Arena Altach,"8,500"
1,Grazer AK Sturm Graz,Austria,Graz,Merkur-Arena,"15,312"
2,Wacker Innsbruck,Austria,Innsbruck,Tivoli Stadion Tirol,"16,008"
3,Austria Klagenfurt,Austria,Klagenfurt,Worthersee Stadion,"30,000"
4,Admira Wacker Modling,Austria,Maria Enzersdorf,BSFZ-Arena,"10,600"
5,Red Bull Salzburg,Austria,Salzburg,Red Bull Arena,"30,188"
6,St. Polten,Austria,St. Polten,NV Arena,"8,000"
7,Austria Wien,Austria,Vienna,Generali Arena,"13,000"
8,Rapid Wien,Austria,Vienna,Allianz Stadion,"28,600"
9,--,Austria,Vienna,Ernst Happel Stadion,"50,865"
10,Beerschot Wilrijk,Belgium,Antwerp,Olympisch Stadion,"12,771"
11,Royal Antwerp,Belgium,Antwerp,Bosuilstadion,"16,649"
12,Cercle Brugge Club Brugge,Belgium,Bruges,Jan Breydel Stadion,"29,042"
13,Anderlecht,Belgium,Brussels,Constant Vanden Stock Stadion,"21,500"
14,--,Belgium,Brussels,Stade Roi Baudouin,"50,093"
15,Sporting Charleroi,Belgium,Charleroi,Stade du Pays Charleroi,"17,824"
16,KAS Eupen,Belgium,Eupen,Kehrweg-Stadion,"8,363"
17,KRC Genk,Belgium,Genk,Cristal Arena,"24,604"
18,KAA Gent,Belgium,Ghent,Ghelamco Arena,"20,000"
19,KV Kortrijk,Belgium,Kortrijk,Guldensporenstadion,"9,399"
20,OH Leuven,Belgium,Leuven,Stadion den Dreef,"9,313"
21,Standard de Liege,Belgium,Liege,Stade de Sclessin,"30,023"
22,KSC Lokeren,Belgium,Lokeren,Daknamstadion,"9,560"
23,Royal Excel Mouscron,Belgium,Mouscron,Stade du Cannonier,"10,800"
24,Sint-Truidense VV,Belgium,Sint-Truiden,Stayen,"14,600"
25,SV Zulte Waregem,Belgium,Waregem,Regenboogstadion,"12,250"
26,NK Osijek,Croatia,Osijek,Stadion Gradski vrt,"19,500"
27,HNK Rijeka,Croatia,Rijeka,Stadion Kantrida,"10,600"
28,Hajduk Split,Croatia,Split,Stadion Poljud,"35,000"
29,Dinamo Zagreb,Croatia,Zagreb,Stadion Maksimir,"35,981"
30,Inter Zapresic,Croatia,Zapresic,Stadion SRC Zapresic,"4,528"
31,Slovan Liberec,Czech-republic,Liberec,Stadion U Nisy,"9,900"
32,Mlada Boleslav,Czech-republic,Mlada Boleslav,Mestsky Stadion,"5,000"
33,Sigma Olomouc,Czech-republic,Olomouc,Andruv Stadion,"12,541"
34,Banik Ostrava,Czech-republic,Ostrava,Stadion Bazaly,"17,372"
35,Viktoria Plzen,Czech-republic,Pilsen,DOOSAN Arena,"11,700"
36,Sparta Prague,Czech-republic,Prague,GENERALI Arena,"19,784"
37,Dukla Prague,Czech-republic,Prague,Stadion Na Julisce,"4,560"
38,Slavia Prague,Czech-republic,Prague,Eden Arena,"20,800"
39,Aarhus GF,Denmark,Aarhus,Ceres Park,"19,433"
40,Brondby IF,Denmark,Brondby,Brondby Stadion,"29,000"
41,FC Copenhagen,Denmark,Copenhagen,Telia Parken,"38,065"
42,FC Nordsjaelland,Denmark,Farum,Farum Park,"10,300"
43,SonderjyskE,Denmark,Haderslev,Sydbank Park,"10,000"
44,FC Midtjylland,Denmark,Herning,MCH Arena,"11,544"
45,Odense Boldklub,Denmark,Odense,TRE-FOR Park,"15,790"
46,Barnsley,England,Barnsley,Oakwell Stadium,"23,287"
47,Aston Villa,England,Birmingham,Villa Park,"42,785"
48,Birmingham City,England,Birmingham,St Andrew's Stadium,"30,009"
49,Blackburn Rovers,England,Blackburn,Ewood Park,"31,154"
50,Blackpool,England,Blackpool,Bloomfield Road,"16,007"
51,Bolton Wanderers,England,Bolton,University of Bolton Stadium,"28,100"
52,Bournemouth,England,Bournemouth,Vitality Stadium,"11,464"
53,Bradford City,England,Bradford,Coral Windows Stadium,"25,136"
54,Brighton & Hove Albion,England,Brighton,The Amex,"30,500"
55,Bristol City,England,Bristol,Ashton Gate Stadium,"27,000"
56,Bristol Rovers,England,Bristol,Memorial Stadium,"11,000"
57,Burnley,England,Burnley,Turf Moor,"21,401"
58,Bury,England,Bury,Gigg Lane,"11,840"
59,Coventry City,England,Coventry,Ricoh Arena,"32,604"
60,Dagenham & Redbridge,England,Dagenham,Victoria Road,"6,078"
61,Derby County,England,Derby,The iPro Stadium,"33,010"
62,Doncaster Rovers,England,Doncaster,Keepmoat Stadium,"15,231"
63,Fleetwood Town,England,Fleetwood,Highbury Stadium,"5,094"
64,Gillingham FC,England,Gillingham,Priestfield Stadium,"10,500"
65,Huddersfield Town,England,Huddersfield,John Smith's Stadium,"24,554"
66,Hull City,England,Hull,KCOM Stadium,"25,586"
67,Ipswich Town,England,Ipswich,Portman Road,"30,311"
68,Leeds United,England,Leeds,Elland Road,"39,460"
69,Leicester City,England,Leicester,King Power Stadium,"32,312"
70,Everton,England,Liverpool,Goodison Park,"40,157"
71,Liverpool,England,Liverpool,Anfield,"54,074"
